stream,source_system,mimic_code,mimic_display,expected_code,expected_system,reason,comment
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,C4651,Kaposi's sarcoma of right lung,,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,C4652,Kaposi's sarcoma of left lung,,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,C50821,Malignant neoplasm of overlapping sites of right male breast,,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,C7B00,"Secondary carcinoid tumors, unspecified site",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,C8175,"Other Hodgkin lymphoma, lymph nodes of inguinal region and lower limb",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,C863,Subcutaneous panniculitis-like T-cell lymphoma,,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,D1431,Benign neoplasm of right bronchus and lung,,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,D2361,"Other benign neoplasm of skin of right upper limb, including shoulder",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,D3614,Benign neoplasm of peripheral nerves and autonomic nervous system of thorax,,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,D429,"Neoplasm of uncertain behavior of meninges, unspecified",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,D443,Neoplasm of uncertain behavior of pituitary gland,,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,D489,"Neoplasm of uncertain behavior, unspecified",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,D49519,Neoplasm of unspecified behavior of unspecified kidney,,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E0800,Diabetes mellitus due to underlying condition with hyperosmolarity without nonketotic hyperglycemic-hyperosmolar coma (NKHHC),,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E113522,"Type 2 diabetes mellitus with proliferative diabetic retinopathy with traction retinal detachment involving the macula, left eye",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E619,"Deficiency of nutrient element, unspecified",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E7400,"Glycogen storage disease, unspecified",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,E7511,Mucolipidosis IV,,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,F489,"Nonpsychotic mental disorder, unspecified",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,G43001,"Migraine without aura, not intractable, with status migrainosus",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,G5630,"Lesion of radial nerve, unspecified upper limb",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,G702,Congenital and developmental myasthenia,,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,H04201,"Unspecified epiphora, right side",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,H05121,"Orbital myositis, right orbit",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,H05129,"Orbital myositis, unspecified orbit",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,H15012,"Anterior scleritis, left eye",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,H211X9,"Other vascular disorders of iris and ciliary body, unspecified eye",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,H401193,"Primary open-angle glaucoma, unspecified eye, severe stage",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,H47299,"Other optic atrophy, unspecified eye",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,H5202,"Hypermetropia, left eye",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,H59021,"Cataract (lens) fragmt in eye fol cataract surgery, r eye",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,H7010,"Chronic mastoiditis, unspecified ear",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,H9122,"Sudden idiopathic hearing loss, left ear",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I25711,Atherosclerosis of autologous vein coronary artery bypass graft(s) with angina pectoris with documented spasm,,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I25721,Atherosclerosis of autologous artery coronary artery bypass graft(s) with angina pectoris with documented spasm,,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I42,Cardiomyopathy,,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I515,Myocardial degeneration,,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I6910,Unsp sequelae of nontraumatic intracerebral hemorrhage,,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I70498,"Other atherosclerosis of autologous vein bypass graft(s) of the extremities, other extremity",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I70712,"Atherosclerosis of other type of bypass graft(s) of the extremities with intermittent claudication, left leg",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I825Y1,Chronic embolism and thrombosis of unspecified deep veins of right proximal lower extremity,,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,I83003,Varicose veins of unspecified lower extremity with ulcer of ankle,,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
diagnosis-icd10,http://mimic.mit.edu/fhir/mimic/CodeSystem/mimic-diagnosis-icd10,K0511,"Chronic gingivitis, non-plaque induced",,http://hl7.org/fhir/sid/icd-10-cm,not-observed-in-data,"Recorded on no bound element in the warehouse extract the committed occurrence counts describe. Deliberately not resolved rather than declined: nothing was searched for and no target was refused. Its absence from the target ValueSet is the point — that ValueSet enumerates the codes this warehouse actually contains. If you are translating it, that assumption does not hold for your data: for a table stream, extend the table's generation population; for a notation stream the rule would resolve it unchanged."
