element,system,code,display,occurrences
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,403.90,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified",22892
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Z79.4,Long term (current) use of insulin,22716
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V58.67,Long-term (current) use of insulin,22638
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,786.50,"Chest pain, unspecified",22178
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Z79.01,Long term (current) use of anticoagulants,20764
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,493.90,"Asthma,unspecified type, unspecified",19048
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,E03.9,"Hypothyroidism, unspecified",18342
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,305.00,"Alcohol abuse, unspecified",17542
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,585.9,"Chronic kidney disease, unspecified",17274
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,I48.91,Unspecified atrial fibrillation,16854
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,327.23,Obstructive sleep apnea (adult)(pediatric),16616
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R07.9,"Chest pain, unspecified",16551
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,N39.0,"Urinary tract infection, site not specified",16484
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,D64.9,"Anemia, unspecified",15610
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,486,"Pneumonia, organism unspecified",15434
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,F17.210,"Nicotine dependence, cigarettes, uncomplicated",14846
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V45.82,Percutaneous transluminal coronary angioplasty status,14840
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Y92.9,Unspecified place or not applicable,14819
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,496,"Chronic airway obstruction, not elsewhere classified",14631
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,412,Old myocardial infarction,14411
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,414.00,"Coronary atherosclerosis of unspecified type of vessel, native or graft",14212
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V58.66,Long-term (current) use of aspirin,13786
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,G47.33,Obstructive sleep apnea (adult) (pediatric),13770
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,278.00,"Obesity, unspecified",13526
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,E66.9,"Obesity, unspecified",13504
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,J45.909,"Unspecified asthma, uncomplicated",13330
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,276.1,Hyposmolality and/or hyponatremia,13321
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Z79.02,Long term (current) use of antithrombotics/antiplatelets,13264
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V45.81,Aortocoronary bypass status,13168
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R10.9,Unspecified abdominal pain,12810
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,276.51,Dehydration,12710
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,E888.9,Unspecified fall,12320
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,J44.9,"Chronic obstructive pulmonary disease, unspecified",11943
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V62.84,Suicidal ideation,11837
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,338.29,Other chronic pain,11762
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,733.00,"Osteoporosis, unspecified",11364
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V12.51,Personal history of venous thrombosis and embolism,11272
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,787.91,Diarrhea,11078
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,784.0,Headache,11053
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,789.09,"Abdominal pain, other specified site",11037
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,585.6,End stage renal disease,10955
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Z66,Do not resuscitate,10895
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,274.9,"Gout, unspecified",10539
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,I12.9,"Hypertensive chronic kidney disease with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",10505
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,D62,Acute posthemorrhagic anemia,10502
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V12.54,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits",10493
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,J18.9,"Pneumonia, unspecified organism",10424
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,F10.129,"Alcohol abuse with intoxication, unspecified",10423
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,E11.22,Type 2 diabetes mellitus with diabetic chronic kidney disease,10323
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,786.59,Other chest pain,10125
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,780.2,Syncope and collapse,10110
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,N18.9,"Chronic kidney disease, unspecified",10089
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V49.86,Do not resuscitate status,10029
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V27.0,"Outcome of delivery, single liveborn",10023
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,564.00,"Constipation, unspecified",10021
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,787.01,Nausea with vomiting,9859
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,285.1,Acute posthemorrhagic anemia,9804
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R45.851,Suicidal ideations,9747
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,I25.2,Old myocardial infarction,9732
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,427.89,Other specified cardiac dysrhythmias,9701
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Z86.73,"Personal history of transient ischemic attack (TIA), and cerebral infarction without residual deficits",9550
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R51,Headache,9522
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,W18.30XA,"Fall on same level, unspecified, initial encounter",9443
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,600.00,Hypertrophy (benign) of prostate without urinary obstruction and other lower urinary tract symptom (LUTS),9423
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,E87.1,Hypo-osmolality and hyponatremia,9373
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,276.2,Acidosis,9347
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,724.2,Lumbago,9253
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,G89.29,Other chronic pain,9192
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,357.2,Polyneuropathy in diabetes,9024
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,403.91,"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease",8964
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Z95.5,Presence of coronary angioplasty implant and graft,8928
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,E78.00,"Pure hypercholesterolemia, unspecified",8901
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,287.5,"Thrombocytopenia, unspecified",8744
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Z86.718,Personal history of other venous thrombosis and embolism,8741
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,E87.2,Acidosis,8591
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R55,Syncope and collapse,8375
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R06.00,"Dyspnea, unspecified",8268
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,K59.00,"Constipation, unspecified",8253
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V10.3,Personal history of malignant neoplasm of breast,8189
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,I11.0,Hypertensive heart disease with heart failure,8184
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,780.60,"Fever, unspecified",8177
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,780.97,Altered mental status,8164
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,M54.5,Low back pain,8140
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,276.7,Hyperpotassemia,8106
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R53.1,Weakness,8009
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,428.32,Chronic diastolic heart failure,7876
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,724.5,"Backache, unspecified",7782
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,729.5,Pain in limb,7652
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,I48.0,Paroxysmal atrial fibrillation,7651
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R42,Dizziness and giddiness,7500
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R19.7,"Diarrhea, unspecified",7495
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,345.90,"Epilepsy, unspecified, without mention of intractable epilepsy",7482
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,276.8,Hypopotassemia,7460
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,N40.0,Enlarged prostate without lower urinary tract symptoms,7349
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,715.90,"Osteoarthrosis, unspecified whether generalized or localized, site unspecified",7336
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R11.2,"Nausea with vomiting, unspecified",7334
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,E849.7,Accidents occurring in residential institution,7327
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,E86.0,Dehydration,7262
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,346.90,"Migraine, unspecified, without mention of intractable migraine without mention of status migrainosus",7259
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,N18.3,"Chronic kidney disease, stage 3 (moderate)",7237
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,416.8,Other chronic pulmonary heart diseases,7230
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,518.81,Acute respiratory failure,7182
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R50.9,"Fever, unspecified",7157
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Z95.1,Presence of aortocoronary bypass graft,7126
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,280.9,"Iron deficiency anemia, unspecified",7099
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,585.3,"Chronic kidney disease, Stage III (moderate)",7038
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R07.89,Other chest pain,7010
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,780.4,Dizziness and giddiness,6970
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,D69.6,"Thrombocytopenia, unspecified",6963
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R41.82,"Altered mental status, unspecified",6954
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,780.79,Other malaise and fatigue,6943
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,443.9,"Peripheral vascular disease, unspecified",6928
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,I13.0,"Hypertensive heart and chronic kidney disease with heart failure and stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",6894
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Y83.8,"Other surgical procedures as the cause of abnormal reaction of the patient, or of later complication, without mention of misadventure at the time of the procedure",6877
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,250.60,"Diabetes with neurological manifestations, type II or unspecified type, not stated as uncontrolled",6857
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,G47.00,"Insomnia, unspecified",6839
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,M10.9,"Gout, unspecified",6817
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,E885.9,"Fall from other slipping, tripping, or stumbling",6800
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,788.20,"Retention of urine, unspecified",6726
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,288.60,"Leukocytosis, unspecified",6686
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V45.01,Cardiac pacemaker in situ,6669
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,E878.8,"Other specified surgical operations and procedures causing abnormal patient reaction, or later complication, without mention of misadventure at time of operation",6654
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,X58.XXXA,"Exposure to other specified factors, initial encounter",6630
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,682.6,"Cellulitis and abscess of leg, except foot",6578
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,428.22,Chronic systolic heart failure,6573
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,E87.5,Hyperkalemia,6486
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,571.5,Cirrhosis of liver without mention of alcohol,6443
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,458.9,"Hypotension, unspecified",6434
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,278.01,Morbid obesity,6403
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,424.1,Aortic valve disorders,6336
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,E11.65,Type 2 diabetes mellitus with hyperglycemia,6311
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,799.02,Hypoxemia,6266
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,N18.6,End stage renal disease,6220
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V43.65,Knee joint replacement,6206
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Z23,Encounter for immunization,6204
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,E849.0,Home accidents,6158
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,424.0,Mitral valve disorders,6137
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,J96.01,Acute respiratory failure with hypoxia,6119
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Y92.239,Unspecified place in hospital as the place of occurrence of the external cause,6092
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,285.21,Anemia in chronic kidney disease,6062
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,070.70,Unspecified viral hepatitis C without hepatic coma,6001
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,E87.6,Hypokalemia,5959
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,I50.32,Chronic diastolic (congestive) heart failure,5923
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,E879.8,"Other specified procedures as the cause of abnormal reaction of patient, or of later complication, without mention of misadventure at time of procedure",5907
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,A41.9,"Sepsis, unspecified organism",5893
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,I95.9,"Hypotension, unspecified",5852
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Z86.711,Personal history of pulmonary embolism,5822
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V10.46,Personal history of malignant neoplasm of prostate,5801
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,G40.909,"Epilepsy, unspecified, not intractable, without status epilepticus",5786
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V15.81,"Personal history of noncompliance with medical treatment, presenting hazards to health",5786
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,D72.829,"Elevated white blood cell count, unspecified",5758
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,296.80,"Bipolar disorder, unspecified",5723
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Y92.230,Patient room in hospital as the place of occurrence of the external cause,5703
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,511.9,Unspecified pleural effusion,5647
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,300.4,Dysthymic disorder,5566
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,I50.9,"Heart failure, unspecified",5541
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,070.54,Chronic hepatitis C without mention of hepatic coma,5536
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,M81.0,Age-related osteoporosis without current pathological fracture,5406
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,038.9,Unspecified septicemia,5403
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,425.4,Other primary cardiomyopathies,5395
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V15.3,"Personal history of irradiation, presenting hazards to health",5395
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,D50.9,"Iron deficiency anemia, unspecified",5383
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,789.59,Other ascites,5349
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R00.0,"Tachycardia, unspecified",5296
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R09.02,Hypoxemia,5295
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,995.92,Severe sepsis,5275
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Z37.0,Single live birth,5234
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,786.09,Other respiratory abnormalities,5231
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,790.92,Abnormal coagulation profile,5190
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,428.33,Acute on chronic diastolic heart failure,5183
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V45.11,Renal dialysis status,5183
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,365.9,Unspecified glaucoma,5140
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R33.9,"Retention of urine, unspecified",5136
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,E928.9,Unspecified accident,5117
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,362.01,Background diabetic retinopathy,5116
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Y92.009,Unspecified place in unspecified non-institutional (private) residence as the place of occurrence of the external cause,5107
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,577.0,Acute pancreatitis,5045
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Y92.89,Other specified places as the place of occurrence of the external cause,5031
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,780.52,"Insomnia, unspecified",5024
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V43.64,Hip joint replacement,5021
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,G92,Toxic encephalopathy,5001
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V87.41,Personal history of antineoplastic chemotherapy,4989
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V58.65,Long-term (current) use of steroids,4949
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,789.00,"Abdominal pain, unspecified site",4937
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Z99.2,Dependence on renal dialysis,4816
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V45.89,Other postprocedural status,4809
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,729.1,"Myalgia and myositis, unspecified",4802
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,578.9,"Hemorrhage of gastrointestinal tract, unspecified",4784
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,E933.1,Antineoplastic and immunosuppressive drugs causing adverse effects in therapeutic use,4778
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,787.02,Nausea alone,4776
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,M19.90,"Unspecified osteoarthritis, unspecified site",4745
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V08,Asymptomatic human immunodeficiency virus [HIV] infection status,4741
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,I50.33,Acute on chronic diastolic (congestive) heart failure,4736
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,789.06,"Abdominal pain, epigastric",4655
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,309.81,Posttraumatic stress disorder,4604
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,571.2,Alcoholic cirrhosis of liver,4574
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,I21.4,Non-ST elevation (NSTEMI) myocardial infarction,4538
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Z51.5,Encounter for palliative care,4515
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Z78.1,Physical restraint status,4493
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,F31.9,"Bipolar disorder, unspecified",4481
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R10.13,Epigastric pain,4428
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,562.10,Diverticulosis of colon (without mention of hemorrhage),4404
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Z91.81,History of falling,4395
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Z82.49,Family history of ischemic heart disease and other diseases of the circulatory system,4384
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,F03.90,Unspecified dementia without behavioral disturbance,4380
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Z85.828,Personal history of other malignant neoplasm of skin,4345
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,276.52,Hypovolemia,4327
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,785.0,"Tachycardia, unspecified",4316
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V10.83,Personal history of other malignant neoplasm of skin,4308
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,E86.1,Hypovolemia,4297
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,410.71,"Subendocardial infarction, initial episode of care",4297
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,959.01,"Head injury, unspecified",4297
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,998.59,Other postoperative infection,4292
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V60.0,Lack of housing,4292
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Z85.3,Personal history of malignant neoplasm of breast,4288
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,F43.10,"Post-traumatic stress disorder, unspecified",4284
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,507.0,Pneumonitis due to inhalation of food or vomitus,4264
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,733.90,"Disorder of bone and cartilage, unspecified",4255
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V15.88,History of fall,4255
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,I50.22,Chronic systolic (congestive) heart failure,4243
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,E849.9,Accidents occurring in unspecified place,4242
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,428.23,Acute on chronic systolic heart failure,4241
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,782.0,Disturbance of skin sensation,4197
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,276.0,Hyperosmolality and/or hypernatremia,4196
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,E43,Unspecified severe protein-calorie malnutrition,4184
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,250.40,"Diabetes with renal manifestations, type II or unspecified type, not stated as uncontrolled",4182
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,Z79.82,Long term (current) use of aspirin,4177
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,458.29,Other iatrogenic hypotension,4144
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,E11.40,"Type 2 diabetes mellitus with diabetic neuropathy, unspecified",4117
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,G43.909,"Migraine, unspecified, not intractable, without status migrainosus",4108
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,786.2,Cough,4070
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,198.5,Secondary malignant neoplasm of bone and bone marrow,4056
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,M54.9,"Dorsalgia, unspecified",4054
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R74.0,Nonspecific elevation of levels of transaminase and lactic acid dehydrogenase [LDH],4053
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,R05,Cough,4045
Condition.code,http://hl7.org/fhir/sid/icd-10-cm,E66.01,Morbid (severe) obesity due to excess calories,4034
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,E878.1,"Surgical operation with implant of artificial internal device causing abnormal patient reaction, or later complication,without mention of misadventure at time of operation",4022
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,786.05,Shortness of breath,4009
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,V45.86,Bariatric surgery status,3993
Condition.code,http://hl7.org/fhir/sid/icd-9-cm,518.0,Pulmonary collapse,3987
