mimic_code,mimic_display,snomed_code,snomed_display,comment,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
00000117,Antineoplastic - Selective Retinoid X Receptor Agonists,387023000,Bexarotene,,387023000,Bexarotene,0.80,ok,Bexarotene is the selective retinoid X receptor agonist antineoplastic
00000123,Mineralocorticoids,419478000,Mineralocorticoid,,419478000,Mineralocorticoid,0.85,ok,
00000131,Estrogen-Androgen,,,"code-search proposed 1052201004 'Estrogen receptor agonist' at 0.75, below the 0.8 threshold.",1052201004,Estrogen receptor agonist,0.75,below-threshold,No combined substance exists; Estrogen (synonym) as primary component
00000134,Estrogen-Progestin,,,"code-search proposed 419430000 'Synthetic progestogen' at 0.70, below the 0.8 threshold.",419430000,Synthetic progestogen,0.70,below-threshold,No single code for combination; primary component of Estrogen-Progestin
00000137,Contraceptive Oral - Progestin,,,code-search returned no match within SNOMED CT <<105590001.,,,,no-match,Agentic eval matched 0 candidate(s) after 2 tool call(s)
00000145,Contraceptive Oral - Monophasic,,,code-search returned no match within SNOMED CT <<105590001.,,,,no-match,Agentic eval matched 0 candidate(s) after 8 tool call(s)
00000146,Contraceptive Oral - Triphasic,,,code-search returned no match within SNOMED CT <<105590001.,,,,no-match,Agentic eval matched 0 candidate(s) after 4 tool call(s)
00000147,Progestins,419430000,Synthetic progestogen,,419430000,Synthetic progestogen,0.81,ok,
00000156,Insulin Response Enhancers - Biguanides,1363127000,Biguanide hypoglycaemic agent,,1363127000,Biguanide hypoglycemic agent,0.85,ok,Biguanide hypoglycaemic agent matches insulin response enhancer biguanides
00000157,Antihyperglycemic - Meglitinide Analogs,372566000,Meglitinide,,372566000,Meglitinide,0.85,ok,Meglitinide substance represents the analog class in substance VS
00000161,Antihyperglycemic - Alpha-Glucosidase Inhibitors,762432004,Alpha-glucosidase inhibitor,,762432004,Alpha-glucosidase inhibitor (substance),0.90,ok,FSN matches the antihyperglycemic alpha-glucosidase inhibitor drug class
00000163,Insulin Response Enhancers - Thiazolidinediones (PPAR-gamma agonists),725744007,Peroxisome proliferator-activated gamma receptor agonist,,725744007,Substance with peroxisome proliferator-activated gamma receptor agonist mechanism of action,0.85,ok,FSN captures PPAR-gamma agonist class meaning
00000166,Thyroid Hormone Combinations - Synthetic T3 and T4,,,"code-search proposed 18220004 'Thyroid hormone' at 0.70, below the 0.8 threshold.",18220004,Thyroid hormone,0.70,below-threshold,No combination code exists; broader parent substance captures meaning
00000176,Bone Resorption Inhibitors - Bisphosphonates,372907000,Bisphosphonate,,372907000,Bisphosphonate,0.85,ok,Bisphosphonates are the specific class; bone resorption inhibitor is broader parent
00000177,Calcitonins,63730009,Calcitonin,,63730009,Calcitonin,0.85,ok,
00000180,Selective Estrogen Receptor Modulators (SERMs),415515000,Selective estrogen receptor modulator,,415515000,Selective estrogen receptor modulator,0.81,ok,
00000183,Fertility Enhancer - Ovulation Stimulant - Synthetic (Non-FSH),387166005,Clomifene,,387166005,Clomifene,0.85,ok,Synthetic non-FSH ovulation stimulant; clomifene matches
00000184,LHRH (GnRH) Agonist Analog Pituitary Suppressants,,,code-search returned no match within SNOMED CT <<105590001.,,,,no-match,Agentic eval matched 0 candidate(s) after 10 tool call(s)
00000185,Growth Hormones,713492005,Somatotropin,,713492005,Somatotropin,0.85,ok,Generic growth hormone substance; matches input meaning
00000186,Growth Hormone Releasing Hormones (GHRH),16628008,Somatotropin releasing factor,,16628008,Somatotropin releasing factor,0.81,ok,
00000187,Somatostatic Agents,395985006,Somatostatin analogue,,395985006,Somatostatin analogue,0.85,ok,Somatostatic agents = class of somatostatin-like agents; analogue captures the class
00000189,Antidiuretic and Vasopressor Hormones,77671006,Antidiuretic hormone,,77671006,Antidiuretic hormone,0.85,ok,ADH/vasopressin is both antidiuretic and vasopressor; captures meaning
00000190,Adrenocorticotrophic Hormones,40789008,ACTH - Adrenocorticotrophic hormone,,40789008,ACTH - Adrenocorticotrophic hormone,0.81,ok,
00000194,Menopausal Symptoms Supressant - Hormonal Agents,,,"code-search proposed 312263009 'Sex hormone' at 0.72, below the 0.8 threshold.",312263009,Sex hormone,0.72,below-threshold,Broadest class for menopausal HRT hormonal agents; no exact code exists
00000197,Metabolic Modifier - Carnitine Replenisher Agents,372601001,Levocarnitine,,372601001,Levocarnitine,0.85,ok,Carnitine replenisher agent corresponds to levocarnitine (L-carnitine)
00000198,Metabolic Modifier - Homocystinuria Treatment Agents,,,"code-search proposed 43356007 'Betaine' at 0.60, below the 0.8 threshold.",43356007,Betaine,0.60,below-threshold,Primary homocystinuria treatment agent; class has no single code
00000202,Cardiac Inotropes - Phosphodiesterase Inhibitors,373692009,Phosphodiesterase inhibitor,,373692009,Phosphodiesterase inhibitor,0.85,ok,FSN matches drug class; cardiac inotrope is use context
00000203,Digitalis Glycosides,406759007,Digitalis glycoside,,406759007,Digitalis glycoside,0.85,ok,
00000206,Antianginal - Coronary Vasodilators (Nitrates),,,"code-search proposed 372787008 'Vasodilator' at 0.75, below the 0.8 threshold.",372787008,Vasodilator,0.75,below-threshold,Broadest match for antianginal coronary vasodilator class
00000214,Alpha-Beta Blockers,372506003,Alpha/beta-adrenergic blocking agent,,372506003,Alpha/beta-adrenergic blocking agent,0.95,ok,FSN matches input exactly; same specificity
00000218,Antiarrhythmic - Class Ia,373269000,Class Ia antiarrhythmic agent,,373269000,Class Ia antiarrhythmic agent,0.98,ok,FSN matches input exactly; same specificity
00000219,Antiarrhythmic - Class Ib,373286006,Class Ib antiarrhythmic agent,,373286006,Class Ib antiarrhythmic agent,0.98,ok,FSN matches input exactly
00000220,Antiarrhythmic - Class Ic,373290008,Class Ic antiarrhythmic agent,,373290008,Class Ic antiarrhythmic agent,0.97,ok,FSN matches input exactly
00000221,Antiarrhythmic - Class II,373278006,Class II antiarrhythmic agent,,373278006,Class II antiarrhythmic agent,0.98,ok,FSN matches input exactly
00000222,Antiarrhythmic Others,372813008,Antiarrhythmic agent,,372813008,Antiarrhythmic agent,0.80,ok,Broad antiarrhythmic agent captures 'Others' category
00000224,ACE Inhibitors,372733002,Angiotensin-converting enzyme inhibitor,,372733002,Angiotensin-converting enzyme inhibitor,0.97,ok,FSN matches ACE inhibitor exactly
00000225,Angiotensin II Receptor Blockers (ARBs),372913009,Angiotensin II receptor antagonist,,372913009,Angiotensin II receptor antagonist,0.95,ok,FSN matches ARBs exactly; same meaning and specificity
00000230,Peripheral Alpha-1 Receptor Blockers,372842000,Alpha-1 adrenergic receptor antagonist,,372842000,Alpha-1 adrenergic receptor antagonist,0.90,ok,FSN matches alpha-1 adrenergic receptor antagonist class; 'peripheral' is non-coded qualifier
00000238,ACE Inhibitor and Calcium Channel Blocker Combinations,,,"code-search proposed 372733002 'Angiotensin-converting enzyme inhibitor' at 0.70, below the 0.8 threshold.",372733002,Angiotensin-converting enzyme inhibitor,0.70,below-threshold,Combination product; primary class is ACE inhibitor
00000239,ACE Inhibitor and Diuretic Combinations,,,"code-search proposed 372733002 'Angiotensin-converting enzyme inhibitor' at 0.50, below the 0.8 threshold.",372733002,Angiotensin-converting enzyme inhibitor,0.50,below-threshold,No combination code exists; ACE inhibitor is the primary component
00000242,Angiotensin II Receptor Blocker (ARB)-Diuretic Combinations,,,"code-search proposed 372913009 'Angiotensin II receptor antagonist' at 0.70, below the 0.8 threshold.",372913009,Angiotensin II receptor antagonist,0.70,below-threshold,No combined ARB-diuretic substance exists; ARB is the primary component
00000249,Diuretic - Carbonic Anhydrase Inhibitors,372816000,Carbonic anhydrase inhibitor,,372816000,Carbonic anhydrase inhibitor,0.90,ok,FSN matches carbonic anhydrase inhibitor substance; diuretic is class qualifier
00000250,Diuretic - Loop,372691009,Loop diuretic,,372691009,Loop diuretic,0.92,ok,
00000253,Diuretic - Potassium Sparing,372753003,Potassium-sparing diuretic,,372753003,Potassium-sparing diuretic,0.97,ok,FSN matches input exactly
00000254,Diuretic - Thiazides and Related,372747003,Thiazide diuretic,,372747003,Thiazide diuretic,0.80,ok,Closest substance match for thiazide/related diuretic class
00000255,Diuretic - Miscellaneous,372695000,Diuretic,,372695000,Diuretic,0.85,ok,Miscellaneous diuretic maps to general Diuretic substance
00000264,Antihyperlipidemic - Bile Acid Sequestrants,372872006,Bile acid sequestrant antilipaemic agent,,372872006,Bile acid sequestrant antilipemic agent,0.95,ok,FSN matches input class exactly
00000265,Antihyperlipidemic - Fibric Acid Derivatives,860926007,Fibric acid and/or fibric acid derivative,,860926007,Fibric acid and/or fibric acid derivative,0.90,ok,FSN matches fibric acid derivatives; antihyperlipidemic is class qualifier
00000268,Antihyperlipidemic - Nicotinic Acid Derivatives,273943001,Nicotinic acid,,273943001,Nicotinic acid,0.82,ok,Niacin/nicotinic acid is the antihyperlipidemic nicotinic acid derivative; closest specific referent
00000280,Erectile Dysfunction (ED) Drugs - Prostaglandins,26351002,Prostaglandin,,26351002,Prostaglandin,0.85,ok,"FSN matches drug class; ED use is context, not codeable here"
00000281,Erectile Dysfunction (ED) Drugs-Sel.cGMP Phosphodiesterase Type5 Inhib,407313002,Phosphodiesterase 5 inhibitor,,407313002,Phosphodiesterase 5 inhibitor,0.85,ok,FSN matches cGMP phosphodiesterase type 5 inhibitor class
00000285,Antihistamine - 1st Generation - Alkylamines,373268008,Propylamine derivative antihistamine,,373268008,Propylamine derivative antihistamine,0.85,ok,Alkylamine antihistamines are propylamine derivatives; FSN matches class
00000286,Antihistamine - 1st Generation - Ethanolamines,373248002,Ethanolamine derivative antihistamine,,373248002,Ethanolamine derivative antihistamine,0.85,ok,FSN matches input exactly
00000288,Antihistamine - 1st Generation - Phenothiazines,,,"code-search proposed 782605007 'Phenothiazine derivative (substance)' at 0.60, below the 0.8 threshold.",782605007,Phenothiazine derivative (substance),0.60,below-threshold,"No exact 'phenothiazine antihistamine' concept; phenothiazine derivative is closest class, though broader (includes non-antihistamines)"
00000289,Antihistamine - 1st Generation - Piperidines,438942000,Piperidine derivative antihistamine,,438942000,Piperidine derivative antihistamine,0.80,ok,FSN matches piperidine antihistamine; generation qualifier not captured
00000290,Antihistamines - 2nd Generation,,,code-search returned no match within SNOMED CT <<105590001.,,,,no-match,"The candidate table contains only second-generation *cephalosporins* (antibiotics), which are a complete type mismatch for ""Antihistamines - 2nd Generation."" My searches found individual second-generation antihistamines (cetirizine, loratadine, fexofenadine, desloratadine, levocetirizine substances), but no single SNOMED concept exists for the class ""second generation antihistamines"" — and none of the individual drugs captures the group meaning."
00000298,Systemic Sympathomimetic Decongestants,,,"code-search proposed 417901007 'Decongestant' at 0.75, below the 0.8 threshold.",417901007,Decongestant,0.75,below-threshold,Closest substance class; systemic sympathomimetic is unstated qualifier
00000299,Nasal Sympathomimetic Decongestants (Intranasal),,,"code-search proposed 417901007 'Decongestant' at 0.75, below the 0.8 threshold.",417901007,Decongestant,0.75,below-threshold,Closest broader match; sympathomimetic/intranasal qualifiers not separately coded
00000301,Nasal Corticosteroids,,,"code-search proposed 255877006 'Corticosteroid series' at 0.70, below the 0.8 threshold.",255877006,Corticosteroid series,0.70,below-threshold,"No nasal-specific substance code; broadest corticosteroid match, nasal is route qualifier"
00000303,Nasal Antibiotics,,,"code-search proposed 419241000 'Antibacterial' at 0.70, below the 0.8 threshold.",419241000,Antibacterial,0.70,below-threshold,"Substance VS; nasal is route qualifier, base concept is antibacterial"
00000304,Nasal Anticholinergics,,,code-search returned no match within SNOMED CT <<105590001.,,,,no-match,Agentic eval matched 0 candidate(s) after 4 tool call(s)
00000306,Nasal Antihistamines,372806008,Histamine receptor antagonist,,372806008,Histamine receptor antagonist,0.85,ok,"Antihistamine substance matches; 'nasal' is route, not substance attribute"
00000307,Nasal Mast Cell Stabilizers,372553000,Mast cell stabiliser,,372553000,Mast cell stabiliser,0.85,ok,"Substance with mast cell stabilizer mechanism; 'nasal' is a route qualifier, not substance property"
00000313,Nasal Decongestant Combinations Other,,,"code-search proposed 417901007 'Decongestant' at 0.70, below the 0.8 threshold.",417901007,Decongestant,0.70,below-threshold,Input is a drug class; core substance is decongestant
00000320,Antitussives - Non-Opioid,372791003,Antitussive agent,,372791003,Antitussive agent,0.85,ok,FSN matches antitussive; non-opioid qualifier not separately coded
00000321,"Expectorants - Single Agents, General",372849009,Expectorant agent,,372849009,Expectorant agent,0.95,ok,FSN matches general expectorant class; precise fit
00000324,Mucolytics,,,code-search returned no match within SNOMED CT <<105590001.,,,,no-match,Agentic eval matched 0 candidate(s) after 10 tool call(s)
00000326,Aromatic Antitussives for Vaporization,,,"code-search proposed 372791003 'Antitussive agent' at 0.75, below the 0.8 threshold.",372791003,Antitussive agent,0.75,below-threshold,No specific code for aromatic vaporization antitussives; closest broader match is antitussive agent
00000337,Opioid Antitussive-Decongestant Combinations,,,code-search returned no match within SNOMED CT <<105590001.,,,,no-match,"<｜｜DSML｜｜tool_calls>
<｜｜DSML｜｜invoke name=""search"">
<｜｜DSML｜｜parameter name=""filter"" string=""true"">Opioid</｜｜DSML｜｜parameter>
</｜｜DSML｜｜invoke>
<｜｜DSML｜｜invoke name=""search"">
<｜｜DSML｜｜parameter name=""filter"" string=""true"">antitussive AND decongestant</｜｜DSML｜｜parameter>
</｜｜DSML｜｜invoke>
<｜｜DSML｜｜invoke name=""search"">
<｜｜DSML｜｜parameter name=""filter"" string=""true"">Cough AND/OR decongestant</｜｜DSML｜｜parameter>
</｜｜DSML｜｜invoke>
</｜｜DSML｜｜tool_calls>"
00000342,Non-Opioid Antitussive-Decongestant Combinations,,,"code-search proposed 372791003 'Antitussive agent' at 0.70, below the 0.8 threshold.",372791003,Antitussive agent,0.70,below-threshold,No single combination code exists; antitussive is the primary component
00000343,Non-Opioid Antitussive-Antihistamine Combinations,,,"code-search proposed 372791003 'Antitussive agent' at 0.70, below the 0.8 threshold.",372791003,Antitussive agent,0.70,below-threshold,No single combination code; primary component of the combination
00000347,Decongestant-Expectorant Combinations,,,"code-search proposed 417901007 'Decongestant' at 0.70, below the 0.8 threshold.",417901007,Decongestant,0.70,below-threshold,Combination product; primary component decongestant
00000360,Antitussive-Antihistamine-Analgesic-Expectorant Combinations,,,code-search returned no match within SNOMED CT <<105590001.,,,,no-match,Agentic eval matched 0 candidate(s) after 8 tool call(s)
00000365,Asthma Therapy - Mast Cell Stabilizers,372553000,Mast cell stabiliser,,372553000,Mast cell stabiliser (substance),0.95,ok,FSN 'Mast cell stabilizer mechanism of action' matches the therapeutic category exactly
00000367,Asthma/COPD Therapy - Beta Adrenergic Agents,373227004,Beta adrenergic receptor agonist,,373227004,Beta adrenergic receptor agonist,0.85,ok,FSN matches beta adrenergic agonist class used for asthma/COPD therapy
00000370,Asthma Therapy - Xanthines,46843002,Xanthine,,46843002,Xanthine,0.80,ok,Substance VS; xanthine is the substance class for asthma therapy
00000371,Asthma Therapy - Inhaled Corticosteroids (Glucocorticoids),,,"code-search proposed 419933005 'Glucocorticoid' at 0.75, below the 0.8 threshold.",419933005,Glucocorticoid,0.75,below-threshold,Substance matching corticosteroid/glucocorticoid class; therapy/inhaled are non-substance qualifiers
00000373,Asthma Therapy - 5-Lipoxygenase Inhibitors,108934000,5-lipoxygenase inhibitor,,108934000,5-lipoxygenase inhibitor,0.90,ok,FSN matches the 5-lipoxygenase inhibitor class; specific drugs would overstep
00000374,Asthma Therapy - Leukotriene Receptor Antagonists,372517002,Leukotriene receptor antagonist,,372517002,Leukotriene receptor antagonist,0.90,ok,FSN matches substance class; asthma therapy is context
00000404,Elastase Inhibitors,433271007,Elastase inhibitor,,433271007,Elastase inhibitor,0.85,ok,
00000409,Laxative - Saline and Osmotic,,,"code-search proposed 372800002 'Laxative' at 0.75, below the 0.8 threshold.",372800002,Laxative,0.75,below-threshold,No specific saline/osmotic laxative code; broad Laxative captures meaning
00000411,Laxative - Stimulant,,,"code-search proposed 372800002 'Laxative' at 0.75, below the 0.8 threshold.",372800002,Laxative,0.75,below-threshold,No exact 'stimulant laxative' substance code; Laxative is closest broader match
00000412,Laxative - Bulk Forming,418497006,Bulk-forming laxative,,418497006,Bulk-forming laxative,0.87,ok,
00000413,Laxative - Lubricant,,,"code-search proposed 372800002 'Laxative' at 0.75, below the 0.8 threshold.",372800002,Laxative,0.75,below-threshold,No specific lubricant laxative code; Laxative is closest broader match
00000414,Laxative - Surfactant,418700002,Docusate,,418700002,Docusate,0.85,ok,"Surfactant laxative class maps to docusate (dioctyl sulfosuccinate); general substance, not salt-specific"
00000420,Antidiarrheal - Antiperistaltic Agents,,,"code-search proposed 387040009 'Loperamide' at 0.55, below the 0.8 threshold.",387040009,Loperamide,0.55,below-threshold,No class concept exists; loperamide is the canonical antiperistaltic antidiarrheal substance
00000422,Antidiarrheal - Bismuth Agents,52720007,Bismuth compound,,52720007,Bismuth compound,0.80,ok,Bismuth agents used as antidiarrheals; best broad substance match
00000424,Antidiarrheal Antiperistaltic-Anticholinergic Combinations,,,code-search returned no match within SNOMED CT <<105590001.,,,,no-match,Agentic eval matched 0 candidate(s) after 6 tool call(s)
00000425,Antidiarrheal GI Adsorbent Mixtures,,,code-search returned no match within SNOMED CT <<105590001.,,,,no-match,"<｜｜DSML｜｜tool_calls>
<｜｜DSML｜｜invoke name=""search"">
<｜｜DSML｜｜parameter name=""filter"" string=""true"">antidiarrheal drug</｜｜DSML｜｜parameter>
</｜｜DSML｜｜invoke>
<｜｜DSML｜｜invoke name=""search"">
<｜｜DSML｜｜parameter name=""filter"" string=""true"">gastrointestinal adsorbent</｜｜DSML｜｜parameter>
</｜｜DSML｜｜invoke>
<｜｜DSML｜｜invoke name=""search"">
<｜｜DSML｜｜parameter name=""filter"" string=""true"">Attapulgite</｜｜DSML｜｜parameter>
</｜｜DSML｜｜invoke>
</｜｜DSML｜｜tool_calls>"
00000427,Antacid - Aluminum,41433005,Aluminium compound,,41433005,Aluminium compound,0.80,ok,Substance replacement for 'Aluminium-based antacid'; matches aluminum antacid in Substance VS
00000428,Antacid - Bicarbonate,,,code-search proposed 57376006 'Sodium bicarbonate' at 0.85 but that code is not a member of SNOMED CT <<105590001.,57376006,Sodium bicarbonate,0.85,out-of-constraint,Best match for sodium bicarbonate antacid; broader generic product representing the historical antacid concept
00000430,Antacid - Calcium,387307005,Calcium carbonate,,387307005,Calcium carbonate,0.80,ok,Calcium carbonate is the standard calcium-based antacid; precise substance match
00000431,Antacid - Magnesium,31539008,Magnesium compound,,31539008,Magnesium compound,0.80,ok,Active replacement concept for inactive 'Magnesium-based antacid'
00000434,Antacid - Simethicone Combinations,372794006,Antacid,,372794006,Antacid,0.85,ok,"Combination product of antacid and simethicone; no single code exists, antacid is primary component"
00000435,Antacid - Antacid Combinations,372794006,Antacid,,372794006,Antacid,0.85,ok,FSN matches primary concept; combination qualifier not separately coded
00000438,GI Antispasmodic - Belladonna Alkaloids,391816007,Belladonna alkaloid,,391816007,Belladonna alkaloid,0.85,ok,FSN captures the substance class; levorotatory subtype oversteps
00000439,GI Antispasmodic - Quaternary Ammonium Compounds,108659006,Quaternary ammonium anticholinergic,,108659006,Quaternary ammonium anticholinergic,0.82,ok,FSN captures quaternary ammonium + anticholinergic class; GI-specificity implicit
00000443,Gastric Acid Secretion Reducers - Histamine H2-Receptor Antagonists,372524001,Histamine H2 receptor antagonist,,372524001,Histamine H2 receptor antagonist,0.95,ok,"FSN matches the class described; general concept, not narrower drug"
00000444,Gastric Mucosa - Cytoprotective Prostaglandin Analogs,417971006,Prostaglandin analogue,,417971006,Prostaglandin analog,0.85,ok,Class of cytoprotective prostaglandin analogs; clinical use qualifier not part of substance
00000445,Gastric Acid Secretion Reducing Agents - Proton Pump Inhibitors (PPIs),372525000,Proton pump inhibitor,,372525000,Proton pump inhibitor,0.85,ok,Class concept matching PPI gastric acid secretion reducing agents
00000449,Peptic Ulcer - Treatment of H. Pylori: Antibiotic-Bismuth Combinations,,,"code-search proposed 426607001 'Bismuth anti-infective agent' at 0.60, below the 0.8 threshold.",426607001,Bismuth anti-infective agent,0.60,below-threshold,Closest substance capturing bismuth component of H. pylori regimen
00000450,Peptic Ulcer-Treatment H. Pylori-Proton Pump Inhibitor and Antibiotics,372525000,Proton pump inhibitor,,372525000,Proton pump inhibitor,0.85,ok,PPI substance matches treatment component
00000451,Gastric Acid Secretion Reducing-H2 Antagonist and Antacid Combinations,372524001,Histamine H2 receptor antagonist,,372524001,Histamine H2 receptor antagonist,0.85,ok,Combination product; no single code captures both components
00000456,Antiemetic - Anticholinergics,,,"code-search proposed 372679000 'Muscarinic receptor antagonist' at 0.70, below the 0.8 threshold.",372679000,Muscarinic receptor antagonist,0.70,below-threshold,"Anticholinergic class; no combined antiemetic subclass exists, this is closest without overstepping"
00000457,Antiemetic - Selective Serotonin 5-HT3 Antagonists,372486003,5-HT3 receptor antagonist,,372486003,5-HT3 receptor antagonist (substance),0.92,ok,FSN 'Substance with 5-hydroxytryptamine-3-receptor antagonist mechanism of action' matches the class meaning exactly
00000462,Digestive Enzymes,21891005,Digestive enzyme,,21891005,Digestive enzyme,0.83,ok,
00000464,Digestive Enzyme Mixtures,21891005,Digestive enzyme,,21891005,Digestive enzyme,0.90,ok,FSN matches input meaning; mixtures is general plural
00000478,Colonic Acidifier (Ammonia Inhibitor),273945008,Lactulose,,273945008,Lactulose,0.85,ok,Lactulose is the colonic acidifier/ammonia inhibitor
00000480,Inflammatory Bowel Agent - Tumor Necrosis Factor Alpha Blockers,420693002,Tumour necrosis factor alpha inhibitor,,420693002,Tumour necrosis factor alpha inhibitor,0.90,ok,FSN captures TNF-alpha blocker class; 'inflammatory bowel agent' is indication context
00000483,Phosphate Binders,,,code-search returned no match within SNOMED CT <<105590001.,,,,no-match,Agentic eval matched 0 candidate(s) after 9 tool call(s)
00000497,Vaginal Corticosteroids,304275008,Corticosteroid and/or corticosteroid derivative,,304275008,Corticosteroid and/or corticosteroid derivative,0.85,ok,"Corticosteroid substance matches; 'vaginal' is route qualifier, not substance attribute"
00000499,Vaginal Douche Products,,,code-search returned no match within SNOMED CT <<105590001.,,,,no-match,"The search context is a Substance ValueSet. ""Vaginal Douche Products"" refers to products/devices, not substances. The candidates are all metronidazole-containing products — none is a douche product. No substance matches. Type mismatch → empty."
00000500,Spermicides,,,code-search returned no match within SNOMED CT <<105590001.,,,,no-match,"No candidate matches ""Spermicides"" (a contraceptive substance). The Substance value set contains no spermicide concept. No reasonable match exists."
