mimic_code,mimic_display,target_system,target_code,target_display,comment,method,join_rung,query,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
ACET3IRR,Acetic Acid 3% (For Topical Irrigation),http://www.nlm.nih.gov/research/umls/rxnorm,2204415,acetic acid 3 % Irrigation Solution,,code-search,,Acetic Acid 3% (For Topical Irrigation),2204415,acetic acid 3 % Irrigation Solution,0.95,ok,FSN matches input exactly
ACET500D,Acetazolamide 500 mg / 25 mL 5% Dextrose,http://www.nlm.nih.gov/research/umls/rxnorm,307702,acetaZOLAMIDE 500 MG Injection,,code-search,,Acetazolamide 500 mg / 25 mL 5% Dextrose,307702,acetaZOLAMIDE 500 MG Injection,0.80,ok,Primary drug component; no combined code exists
ACET500I,Acetaminophen IV 500 mg / 50 mL Bag,http://www.nlm.nih.gov/research/umls/rxnorm,2480095,acetaminophen 500 MG in 50 ML Injection,,code-search,,Acetaminophen IV 500 mg / 50 mL Bag,2480095,acetaminophen 500 MG in 50 ML Injection,0.90,ok,"IV injection, 500mg in 50mL matches; bag is container qualifier"
ACET650L,Conc: 5 mg / mL,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<105590001.",code-search,,Conc: 5 mg / mL,,,,no-match,
ACET650R,Acetaminophen (Rectal 650mg SUPP,http://www.nlm.nih.gov/research/umls/rxnorm,198443,acetaminophen 650 MG Rectal Suppository,,code-search,,Acetaminophen (Rectal 650mg SUPP,198443,acetaminophen 650 MG Rectal Suppository,0.97,ok,FSN matches input exactly
ACETHDR,ACETHDR,,,,"source display carries no label — it is the formulary code repeated, or a redaction artefact — so no search was made. Searching a pharmacy mnemonic returns a confident answer to a string prefix rather than to a drug.",no-label,,ACETHDR,,,,no-label,
ACI25,Soriatane CK,http://www.nlm.nih.gov/research/umls/rxnorm,16818,acitretin,,code-search,,Soriatane CK,16818,acitretin,0.85,ok,Soriatane is brand name for acitretin
ACY5O,Zovirax,http://www.nlm.nih.gov/research/umls/rxnorm,152535,Zovirax,,term-join,Q1-exact,Zovirax,,,,not-needed,
ACYC200,Zovirax,http://www.nlm.nih.gov/research/umls/rxnorm,152535,Zovirax,,term-join,Q1-exact,Zovirax,,,,not-needed,
ACYC400,Acyclovir 400 mg Tablet,http://www.nlm.nih.gov/research/umls/rxnorm,197311,acyclovir 400 MG Oral Tablet,,code-search,,Acyclovir 400 mg Tablet,197311,acyclovir 400 MG Oral Tablet,0.98,ok,FSN matches input exactly
ACYC40L,Acyclovir Suspension,http://snomed.info/sct,372729009,Aciclovir,,code-search,,Acyclovir Suspension,372729009,Aciclovir,0.85,ok,"Substance matches; 'suspension' is dosage form, not substance"
ADACEL,Tetanus-DiphTox-Acellular Pertuss (Tdap) 0.5 mL Injection,http://www.nlm.nih.gov/research/umls/rxnorm,1300377,"tetanus toxoid, reduced diphtheria toxoid and acellular pertussis vaccine, adsorbed (Tdap generic for Boostrix) 0.5 ML Injection",,code-search,,Tetanus-DiphTox-Acellular Pertuss (Tdap) 0.5 mL Injection,1300377,"tetanus toxoid, reduced diphtheria toxoid and acellular pertussis vaccine, adsorbed (Tdap generic for Boostrix) 0.5 ML Injection",0.95,ok,Tdap 0.5 mL Injection matches exactly
ADACELVLF,Tetanus-DiphTox-Acellular Pertuss (Tdap) 0.5 mL Vial *Latex Free*,http://www.nlm.nih.gov/research/umls/rxnorm,1300377,"tetanus toxoid, reduced diphtheria toxoid and acellular pertussis vaccine, adsorbed (Tdap generic for Boostrix) 0.5 ML Injection",,code-search,,Tetanus-DiphTox-Acellular Pertuss (Tdap) 0.5 mL Vial,1300377,"tetanus toxoid, reduced diphtheria toxoid and acellular pertussis vaccine, adsorbed (Tdap generic for Boostrix) 0.5 ML Injection",0.85,ok,Tdap vial (injection) matches; brand unspecified but both Tdap generics equivalent
ADAL30,NIFEdipine (Extended Release),http://www.nlm.nih.gov/research/umls/rxnorm,7417,nifedipine,,term-join,Q3-paren,NIFEdipine (Extended Release),,,,not-needed,
ADAL40I,*NF* Adalimumab 40 mg / 0.8 mL Syringe,http://www.nlm.nih.gov/research/umls/rxnorm,727703,adalimumab 40 MG in 0.8 ML Prefilled Syringe,,code-search,,Adalimumab 40 mg / 0.8 mL Syringe,727703,adalimumab 40 MG in 0.8 ML Prefilled Syringe,0.95,ok,FSN matches input exactly; biosimilar variants overstep
ADAL60,Procardia XL,http://www.nlm.nih.gov/research/umls/rxnorm,7417,nifedipine,,code-search,,Procardia XL,7417,nifedipine,0.80,ok,Procardia XL is a brand of nifedipine extended release; base ingredient matches
ADAL90,Procardia XL,http://www.nlm.nih.gov/research/umls/rxnorm,7417,nifedipine,,code-search,,Procardia XL,7417,nifedipine,0.80,ok,Procardia XL is a brand of nifedipine extended release; base ingredient matches
ADDE20XR,*NF* ADDerall XR 20mg Capsule SR,http://www.nlm.nih.gov/research/umls/rxnorm,578399,amphetamine aspartate 5 MG / amphetamine sulfate 5 MG / dextroamphetamine saccharate 5 MG / dextroamphetamine sulfate 5 MG Extended Release Oral Capsule,,code-search,,ADDerall XR 20mg Capsule SR,578399,amphetamine aspartate 5 MG / amphetamine sulfate 5 MG / dextroamphetamine saccharate 5 MG / dextroamphetamine sulfate 5 MG Extended Release Oral Capsule,0.85,ok,Adderall XR 20mg = mixed amphetamine salts 20mg extended release capsule
ADDE5,*NF* amphetamine-dextroamphetamine,http://www.nlm.nih.gov/research/umls/rxnorm,253146,amphetamine / dextroamphetamine,,code-search,,amphetamine-dextroamphetamine,253146,amphetamine / dextroamphetamine,0.95,ok,FSN matches the combination drug exactly
ADDE5XR,*NF* ADDerall XR 5mg Capsule SR,http://www.nlm.nih.gov/research/umls/rxnorm,578552,amphetamine aspartate 1.25 MG / amphetamine sulfate 1.25 MG / dextroamphetamine saccharate 1.25 MG / dextroamphetamine sulfate 1.25 MG Extended Release Oral Capsule,,code-search,,ADDerall XR 5mg Capsule SR,578552,amphetamine aspartate 1.25 MG / amphetamine sulfate 1.25 MG / dextroamphetamine saccharate 1.25 MG / dextroamphetamine sulfate 1.25 MG Extended Release Oral Capsule,0.85,ok,Adderall XR 5mg = mixed amphetamine salts 5mg extended release capsule
ADEN6I,Adenosine 6mg/2mL 2mL VIAL,http://www.nlm.nih.gov/research/umls/rxnorm,1654169,adenosine 6 MG in 2 mL Injection,,code-search,,Adenosine 6mg/2mL 2mL VIAL,1654169,adenosine 6 MG in 2 mL Injection,0.90,ok,FSN matches adenosine 6mg/2mL; vial container not specified in code
ADVA100/50H,Fluticasone-Salmeterol Diskus (100/50) 100/50 mcg Diskus,http://www.nlm.nih.gov/research/umls/rxnorm,896161,"fluticasone propionate/salmeterol 100/50 MCG/INHAL Dry Powder Inhaler, 14 Blisters",,code-search,,Fluticasone-Salmeterol Diskus (100/50) 100/50 mcg Diskus,896161,"fluticasone propionate/salmeterol 100/50 MCG/INHAL Dry Powder Inhaler, 14 Blisters",0.80,ok,Matches 100/50 strength Diskus (dry powder inhaler); blister count unspecified
ADVA250IH,Fluticasone-Salmeterol Diskus (250/50),http://www.nlm.nih.gov/research/umls/rxnorm,1359859,fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler,,code-search,,Fluticasone-Salmeterol Diskus (250/50),1359859,fluticasone propionate 0.25 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler,0.90,ok,250/50 mcg fluticasone/salmeterol DPI matches Diskus without pack-size specifier
ADVA500/50,Fluticasone-Salmeterol Diskus (500/50)  500/50mcg Diskus,http://www.nlm.nih.gov/research/umls/rxnorm,1359858,fluticasone propionate 0.5 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler,,code-search,,Fluticasone-Salmeterol Diskus (500/50) 500/50mcg Diskus,1359858,fluticasone propionate 0.5 MG/ACTUAT / salmeterol 0.05 MG/ACTUAT Dry Powder Inhaler,0.90,ok,500/50 mcg per actuation DPI matches Diskus strength
AGGRCAP,Dipyridamole-Aspirin 200-25mg Capsule,http://www.nlm.nih.gov/research/umls/rxnorm,1856542,aspirin 25 MG / dipyridamole 200 MG Extended Release Oral Capsule,,code-search,,Dipyridamole-Aspirin 200-25mg Capsule,1856542,aspirin 25 MG / dipyridamole 200 MG Extended Release Oral Capsule,0.90,ok,FSN captures both drugs and dose strengths
ALBE200,Albendazole 200 mg Tab,http://www.nlm.nih.gov/research/umls/rxnorm,199672,albendazole 200 MG Oral Tablet,,code-search,,Albendazole 200 mg Tab,199672,albendazole 200 MG Oral Tablet,0.85,ok,Tab denotes oral tablet; matches dose and drug
ALBU100,Albumin 25% (25g /100mL) 100 mL Bag,http://www.nlm.nih.gov/research/umls/rxnorm,1741380,albumin human 25 % in 100 ML Injection,,code-search,,Albumin 25% (25g /100mL) 100 mL Bag,1741380,albumin human 25 % in 100 ML Injection,0.85,ok,FSN matches albumin 25% 100 mL; bag is container form
ALBU17H,Ventolin HFA,http://www.nlm.nih.gov/research/umls/rxnorm,435,albuterol,,code-search,,Ventolin HFA,435,albuterol,0.80,ok,Ventolin HFA is brand for albuterol/salbutamol; generic ingredient matches
ALBU2,Albuterol Sulfate (Extended Release),http://www.nlm.nih.gov/research/umls/rxnorm,142153,albuterol sulfate,,term-join,Q3-paren,Albuterol Sulfate (Extended Release),,,,not-needed,
ALBU25,"Albumin, Human 25 %",http://www.nlm.nih.gov/research/umls/rxnorm,1741378,"albumin human, USP 250 MG/ML Injection",,code-search,,"Albumin, Human 25 %",1741378,"albumin human, USP 250 MG/ML Injection",0.80,ok,25% equals 250 MG/ML; matches concentration without volume
ALBU3H,Albuterol Sulfate,http://www.nlm.nih.gov/research/umls/rxnorm,142153,albuterol sulfate,,term-join,Q1-exact,Albuterol Sulfate,,,,not-needed,
ALBU4R,Albuterol Sulfate (Extended Release) 4mg ER Tablet,http://www.nlm.nih.gov/research/umls/rxnorm,359144,albuterol sulfate 4 MG 12HR Extended Release Oral Tablet,,code-search,,Albuterol Sulfate (Extended Release) 4mg ER Tablet,359144,albuterol sulfate 4 MG 12HR Extended Release Oral Tablet,0.95,ok,FSN matches input exactly: albuterol sulfate 4mg ER oral tablet
ALBU5250,Albumin 5% (25g / 500mL),http://www.nlm.nih.gov/research/umls/rxnorm,1741423,albumin human 5 % in 500 ML Injection,,code-search,,Albumin 5% (25g / 500mL),1741423,albumin human 5 % in 500 ML Injection,0.95,ok,FSN matches albumin 5% 500mL injection exactly
ALBU5500,Albumin 5% (25g / 500mL) 500mL Bottle,http://www.nlm.nih.gov/research/umls/rxnorm,1741423,albumin human 5 % in 500 ML Injection,,code-search,,Albumin 5% (25g / 500mL) 500mL Bottle,1741423,albumin human 5 % in 500 ML Injection,0.90,ok,Albumin 5% in 500mL matches; 25g/500mL is the same concentration
ALBU5H,Albuterol Sulfate,http://www.nlm.nih.gov/research/umls/rxnorm,142153,albuterol sulfate,,term-join,Q1-exact,Albuterol Sulfate,,,,not-needed,
ALEN5,Alendronate Sodium 5mg Tab,http://www.nlm.nih.gov/research/umls/rxnorm,904425,alendronate sodium 5 MG Oral Tablet,,code-search,,Alendronate Sodium 5mg Tab,904425,alendronate sodium 5 MG Oral Tablet,0.97,ok,FSN matches input exactly
ALEN70,Fosamax,http://www.nlm.nih.gov/research/umls/rxnorm,114265,Fosamax,,term-join,Q1-exact,Fosamax,,,,not-needed,
ALIS150,Tekturna,http://www.nlm.nih.gov/research/umls/rxnorm,700402,Tekturna,,term-join,Q1-exact,Tekturna,,,,not-needed,
ALLO100,Allopurinol 100mg Tab,http://www.nlm.nih.gov/research/umls/rxnorm,197319,allopurinol 100 MG Oral Tablet,,code-search,,Allopurinol 100mg Tab,197319,allopurinol 100 MG Oral Tablet,0.95,ok,"FSN matches input; plain oral tablet, not ER or combination"
ALLO20S,Allopurinol,http://www.nlm.nih.gov/research/umls/rxnorm,519,allopurinol,,term-join,Q1-exact,Allopurinol,,,,not-needed,
ALLO300,Allopurinol 300mg Tab,http://www.nlm.nih.gov/research/umls/rxnorm,197320,allopurinol 300 MG Oral Tablet,,code-search,,Allopurinol 300mg Tab,197320,allopurinol 300 MG Oral Tablet,0.95,ok,FSN matches input exactly
ALPH0.15O,Brimonidine-Timolol,http://www.nlm.nih.gov/research/umls/rxnorm,597142,brimonidine / timolol,,code-search,,Brimonidine-Timolol,597142,brimonidine / timolol,0.95,ok,FSN matches the combination product exactly
ALPR1,Xanax,http://www.nlm.nih.gov/research/umls/rxnorm,202363,Xanax,,term-join,Q1-exact,Xanax,,,,not-needed,
ALPR25,Xanax XR,http://www.nlm.nih.gov/research/umls/rxnorm,596,alprazolam,,code-search,,Xanax XR,596,alprazolam,0.85,ok,Xanax XR is extended-release alprazolam; base concept matches
ALTE1/1I,Alteplase 1mg/1mL (Clearance ie. Temp TLCL ),http://www.nlm.nih.gov/research/umls/rxnorm,8410,alteplase,,code-search,,Alteplase 1mg/1mL (Clearance ie. Temp TLCL ),8410,alteplase,0.85,ok,Ingredient alteplase; concentration/clearance are non-coded qualifiers
ALTE1/2I,Alteplase (Catheter Clearance),http://www.nlm.nih.gov/research/umls/rxnorm,8410,alteplase,,term-join,Q3-paren,Alteplase (Catheter Clearance),,,,not-needed,
ALTE1/5I,Alteplase (Catheter Clearance),http://www.nlm.nih.gov/research/umls/rxnorm,8410,alteplase,,term-join,Q3-paren,Alteplase (Catheter Clearance),,,,not-needed,
ALTE100I,Alteplase,http://www.nlm.nih.gov/research/umls/rxnorm,8410,alteplase,,term-join,Q1-exact,Alteplase,,,,not-needed,
ALTE10100NS,___,,,,"source display carries no label — it is the formulary code repeated, or a redaction artefact — so no search was made. Searching a pharmacy mnemonic returns a confident answer to a string prefix rather than to a drug.",no-label,,,,,,no-label,
ALTE1I,Alteplase (Catheter Clearance) 1 mg / 1 mL Syringe,http://snomed.info/sct,387152000,Alteplase,,code-search,,Alteplase (Catheter Clearance) 1 mg / 1 mL Syringe,387152000,Alteplase,0.85,ok,Substance VS; Alteplase is the active substance
ALTE4/400,ALTE4/400,,,,"source display carries no label — it is the formulary code repeated, or a redaction artefact — so no search was made. Searching a pharmacy mnemonic returns a confident answer to a string prefix rather than to a drug.",no-label,,ALTE4/400,,,,no-label,
ALTE8/80NS,ALTE8/80NS,,,,"source display carries no label — it is the formulary code repeated, or a redaction artefact — so no search was made. Searching a pharmacy mnemonic returns a confident answer to a string prefix rather than to a drug.",no-label,,ALTE8/80NS,,,,no-label,
ALTEEVD1,Alteplase 1mg/1mL Syringe (For External Ventricular Drain),http://www.nlm.nih.gov/research/umls/rxnorm,8410,alteplase,,code-search,,Alteplase 1mg/1mL Syringe (For External Ventricular Drain),8410,alteplase,0.80,ok,Base drug matches; specific syringe formulation not coded
ALUMI30L,Aluminum Hydroxide Suspension,http://www.nlm.nih.gov/research/umls/rxnorm,612,aluminum hydroxide,,code-search,,Aluminum Hydroxide Suspension,612,aluminum hydroxide,0.85,ok,Base concept matches; concentration-specific candidates overstep
ALVI12,Alvimopan 12 mg Capsule,http://www.nlm.nih.gov/research/umls/rxnorm,799835,alvimopan 12 MG Oral Capsule,,code-search,,Alvimopan 12 mg Capsule,799835,alvimopan 12 MG Oral Capsule,0.98,ok,FSN matches input exactly
AMAN100,Amantadine 100 mg Cap,http://www.nlm.nih.gov/research/umls/rxnorm,849389,amantadine HCl 100 MG Oral Capsule,,code-search,,Amantadine 100 mg Cap,849389,amantadine HCl 100 MG Oral Capsule,0.95,ok,FSN matches capsule form and strength exactly
AMAN100/PL,Amantadine,http://www.nlm.nih.gov/research/umls/rxnorm,620,amantadine,,term-join,Q1-exact,Amantadine,,,,not-needed,
AMAN100L,Amantadine Syrup 100 mg / 10 mL UDCup,http://www.nlm.nih.gov/research/umls/rxnorm,849385,amantadine HCl 50 MG in 5 mL Oral Solution,,code-search,,Amantadine Syrup 100 mg / 10 mL UDCup,849385,amantadine HCl 50 MG in 5 mL Oral Solution,0.80,ok,10 MG/ML oral solution matches 100 mg/10 mL concentration
AMBI5,Zolpidem Tartrate 5mg Tablet,http://www.nlm.nih.gov/research/umls/rxnorm,854876,zolpidem tartrate 5 MG Oral Tablet,,code-search,,Zolpidem Tartrate 5mg Tablet,854876,zolpidem tartrate 5 MG Oral Tablet,0.90,ok,FSN matches; oral tablet is the generic form
AMBR5,Ambrisentan 5 mg Tablet,http://www.nlm.nih.gov/research/umls/rxnorm,722122,ambrisentan 5 MG Oral Tablet,,code-search,,Ambrisentan 5 mg Tablet,722122,ambrisentan 5 MG Oral Tablet,0.98,ok,FSN matches input exactly
AMIBOLUS,Amiodarone 150 mg / 100 mL 5% Dextrose,http://www.nlm.nih.gov/research/umls/rxnorm,1046406,amiodarone HCl 150 MG in 100 ML Injection,,code-search,,Amiodarone 150 mg / 100 mL 5% Dextrose,1046406,amiodarone HCl 150 MG in 100 ML Injection,0.90,ok,Matches amiodarone 150mg in 100mL; dextrose diluent implied
AMIC1.25L,Aminocaproic Acid,http://www.nlm.nih.gov/research/umls/rxnorm,99,6-aminocaproic acid,,term-join,Q1-exact,Aminocaproic Acid,,,,not-needed,
AMIC2.5L,Aminocaproic Acid 25 % Oral Rinse,http://www.nlm.nih.gov/research/umls/rxnorm,582299,aminocaproic acid 0.25 GM/mL Oral Solution,,code-search,,Aminocaproic Acid 25 % Oral Rinse,582299,aminocaproic acid 0.25 GM/mL Oral Solution,0.80,ok,"25% equals 0.25 GM/mL; closest concentration match, form is solution not rinse"
AMIC250L,Aminocaproic Acid 25% Oral Rinse,http://www.nlm.nih.gov/research/umls/rxnorm,582299,aminocaproic acid 0.25 GM/mL Oral Solution,,code-search,,Aminocaproic Acid 25% Oral Rinse,582299,aminocaproic acid 0.25 GM/mL Oral Solution,0.80,ok,25% equals 0.25 GM/mL; oral rinse is a form of oral solution
AMIC4L,Aminocaproic Acid 25% Oral Rinse 4 g / 16 mL Syringe,http://www.nlm.nih.gov/research/umls/rxnorm,582299,aminocaproic acid 0.25 GM/mL Oral Solution,,code-search,,Aminocaproic Acid 25% Oral Rinse 4 g / 16 mL Syringe,582299,aminocaproic acid 0.25 GM/mL Oral Solution,0.90,ok,Aminocaproic acid 25% (0.25 GM/mL) oral solution matches; rinse/syringe are delivery details
AMIC5L,Aminocaproic Acid 25 % Oral Rinse,http://www.nlm.nih.gov/research/umls/rxnorm,582299,aminocaproic acid 0.25 GM/mL Oral Solution,,code-search,,Aminocaproic Acid 25 % Oral Rinse,582299,aminocaproic acid 0.25 GM/mL Oral Solution,0.80,ok,"25% equals 0.25 GM/mL; closest concentration match, form is solution not rinse"
AMID200,Pacerone,http://www.nlm.nih.gov/research/umls/rxnorm,219038,Pacerone,,term-join,Q1-exact,Pacerone,,,,not-needed,
AMID200M,Amiodarone (*Mylan Brand*) 200 mg Tab,http://www.nlm.nih.gov/research/umls/rxnorm,833528,amiodarone HCl 200 MG Oral Tablet,,code-search,,Amiodarone (*Mylan Brand*) 200 mg Tab,833528,amiodarone HCl 200 MG Oral Tablet,0.90,ok,FSN matches amiodarone 200 mg tablet; brand is non-coded qualifier
AMIL5,Amiloride HCl 5mg Tablet,http://www.nlm.nih.gov/research/umls/rxnorm,977880,aMILoride HCl 5 MG Oral Tablet,,code-search,,Amiloride HCl 5mg Tablet,977880,aMILoride HCl 5 MG Oral Tablet,0.95,ok,FSN matches input exactly
AMIN10250NS,___,,,,"source display carries no label — it is the formulary code repeated, or a redaction artefact — so no search was made. Searching a pharmacy mnemonic returns a confident answer to a string prefix rather than to a drug.",no-label,,,,,,no-label,
AMIN10500NS,___,,,,"source display carries no label — it is the formulary code repeated, or a redaction artefact — so no search was made. Searching a pharmacy mnemonic returns a confident answer to a string prefix rather than to a drug.",no-label,,,,,,no-label,
AMIN1NS50,Aminocaproic Acid 1 g / 50 mL 0.9% Sodium Chloride,http://snomed.info/sct,59882007,Aminocaproic acid,,code-search,,Aminocaproic Acid 1 g / 50 mL 0.9% Sodium Chloride,59882007,Aminocaproic acid,0.85,ok,Substance matches; concentration/diluent are product details
AMIN2NS100,Aminocaproic Acid 2 g / 100 mL 0.9% Sodium Chloride,http://snomed.info/sct,59882007,Aminocaproic acid,,code-search,,Aminocaproic Acid 2 g / 100 mL 0.9% Sodium Chloride,59882007,Aminocaproic acid,0.85,ok,Substance is aminocaproic acid; concentration/vehicle are formulation details
AMIN4,*NF* Aminosalicylic Acid 4 g Packet,http://www.nlm.nih.gov/research/umls/rxnorm,248277,aminosalicylic acid 4 GM Delayed Release Oral Granules,,code-search,,Aminosalicylic Acid 4 g Packet,248277,aminosalicylic acid 4 GM Delayed Release Oral Granules,0.85,ok,4 g aminosalicylic acid packet matches this product
AMIN500,Aminocaproic Acid 500 mg Tab,http://www.nlm.nih.gov/research/umls/rxnorm,197351,aminocaproic acid 500 MG Oral Tablet,,code-search,,Aminocaproic Acid 500 mg Tab,197351,aminocaproic acid 500 MG Oral Tablet,0.98,ok,FSN matches input exactly
AMINTOP20,Aminocaproic Acid 25% Topical 5 g / 20 mL Topical Bottle,http://snomed.info/sct,59882007,Aminocaproic acid,,code-search,,Aminocaproic Acid 25% Topical 5 g / 20 mL Topical Bottle,59882007,Aminocaproic acid,0.80,ok,Substance matches input; candidates are wrong substance (gadoteric acid)
AMIO150DK,Amiodarone (for dilution),http://www.nlm.nih.gov/research/umls/rxnorm,703,amiodarone,,term-join,Q3-paren,Amiodarone (for dilution),,,,not-needed,
AMIO150I,Amiodarone 150mg/3mL Vial,http://www.nlm.nih.gov/research/umls/rxnorm,1663224,amiodarone HCl 150 MG in 3 ML Injection,,code-search,,Amiodarone 150mg/3mL Vial,1663224,amiodarone HCl 150 MG in 3 ML Injection,0.90,ok,Matches amiodarone 150mg/3mL; vial as injection
AMIO40L,Amiodarone Oral Suspension,,,,"code-search proposed 703 'amiodarone' at 0.70, below the 0.8 threshold.",code-search,,Amiodarone Oral Suspension,703,amiodarone,0.70,below-threshold,No oral suspension form; closest ingredient match
AMIO450/250N,Amiodarone 450 mg / 250 mL 0.9% Sodium Chloride  (Peripheral or Central Line),http://www.nlm.nih.gov/research/umls/rxnorm,1663276,amiodarone hydrochloride 1.8 MG/ML Injection,,code-search,,Amiodarone 450 mg / 250 mL 0.9% Sodium Chloride (Peripheral or Central Line),1663276,amiodarone hydrochloride 1.8 MG/ML Injection,0.80,ok,450mg/250mL = 1.8mg/mL amiodarone; diluent qualifier not separately coded
AMIO600/500D5W,Amiodarone 600 mg / 500 mL 5% Dextrose  (Peripheral or Central Line) **Standard Conc**,http://www.nlm.nih.gov/research/umls/rxnorm,849874,amiodarone hydrochloride 1.2 MG/ML Injectable Solution,,code-search,,Amiodarone 600 mg / 500 mL 5% Dextrose (Peripheral or Central Line) **Standard Conc**,849874,amiodarone hydrochloride 1.2 MG/ML Injectable Solution,0.85,ok,600mg/500mL = 1.2 mg/mL amiodarone injectable; diluent/line are qualifiers
