mimic_code,mimic_display,snomed_code,snomed_display,comment,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
80057,GRAM NEGATIVE DIPLOCOCCI,83410001,Gram-negative diplococcus,,83410001,Gram-negative diplococcus (organism),0.97,ok,FSN matches input exactly
80058,GRAM NEGATIVE ROD(S),87172008,Gram-negative bacillus,,87172008,Gram-negative bacillus,0.95,ok,FSN matches; rod = bacillus
80059,CANDIDA SPECIES,3265006,Candida species,,3265006,Candida species,1.00,ok,
80060,CANDIDA ALBICANS,53326005,Candida albicans,,53326005,Candida albicans,1.00,ok,
80061,RHODOTORULA SPECIES,51976007,Rhodotorula species,,51976007,Rhodotorula species,1.00,ok,
80062,ASPERGILLUS NIGER,89354002,Aspergillus niger,,89354002,Aspergillus niger,1.00,ok,
80063,ASPERGILLUS SPECIES,2429008,Aspergillus species,,2429008,Aspergillus species,1.00,ok,
80064,PENICILLIUM SPECIES,42993004,Penicillium species,,42993004,Penicillium species,1.00,ok,
80065,CRYPTOCOCCUS NEOFORMANS,67168003,Cryptococcus neoformans,,67168003,Cryptococcus neoformans,1.00,ok,
80066,ASPERGILLUS FUMIGATUS,32684000,Aspergillus fumigatus,,32684000,Aspergillus fumigatus,1.00,ok,
80067,NOCARDIA ASTEROIDES,30092002,Nocardia asteroides,,30092002,Nocardia asteroides,1.00,ok,
80068,NOCARDIA SPECIES,59674005,Nocardia species,,59674005,Nocardia species,1.00,ok,
80069,MYCOBACTERIUM TUBERCULOSIS,113861009,Mycobacterium tuberculosis,,113861009,Mycobacterium tuberculosis,1.00,ok,
80070,GRAM NEGATIVE ROD #1,87172008,Gram-negative bacillus,,87172008,Gram-negative bacillus,0.95,ok,FSN matches Gram-negative rod; #1 is line number
80071,GRAM NEGATIVE ROD #2,87172008,Gram-negative bacillus,,87172008,Gram-negative bacillus,0.90,ok,"FSN matches 'gram negative rod'; #2 is list index, not clinical meaning"
80072,GRAM NEGATIVE ROD #3,87172008,Gram-negative bacillus,,87172008,Gram-negative bacillus,0.85,ok,FSN matches 'gram negative rod'; #3 is unstated numbering
80073,GRAM NEGATIVE ROD #4,87172008,Gram-negative bacillus,,87172008,Gram-negative bacillus,0.90,ok,"FSN matches; '#4' is lab numbering, not clinical meaning"
80074,ANAEROBIC GRAM NEGATIVE ROD #2,243386003,Anaerobic Gram-negative bacillus,,243386003,Anaerobic Gram-negative bacillus,0.95,ok,FSN matches input exactly
80075,YEAST,62093005,Yeast,,62093005,Yeast,1.00,ok,
80076,STREPTOCOCCUS PNEUMONIAE,9861002,Streptococcus pneumoniae,,9861002,Streptococcus pneumoniae,1.00,ok,
80078,ANAEROBIC GRAM POSITIVE COCCUS(I),243416009,Anaerobic Gram-positive coccus,,243416009,Anaerobic Gram-positive coccus (organism),0.98,ok,FSN matches input exactly
80079,ANAEROBIC GRAM POSITIVE ROD(S),243398008,Anaerobic Gram-positive bacillus,,243398008,Anaerobic Gram-positive bacillus,0.95,ok,FSN matches input exactly; rod = bacillus
80080,BACTERIA,409822003,Domain Bacteria,,409822003,Domain Bacteria,0.95,ok,
80081,GRAM POSITIVE BACTERIA,8745002,Gram-positive bacteria,,8745002,Gram-positive bacteria,0.97,ok,FSN matches input exactly
80082,BACILLUS SPECIES,44762009,Bacillus species,,44762009,Bacillus species,1.00,ok,
80084,PROTEUS SPECIES,50517009,Proteus species,,50517009,Proteus species,1.00,ok,
80085,CORYNEBACTERIUM SPECIES (DIPHTHEROIDS),77086004,Corynebacterium species,,77086004,Corynebacterium species,0.95,ok,FSN Genus Corynebacterium matches input; diphtheroids is synonym
80086,ACIDFAST BACILLI,243365003,Acid-fast bacillus,,243365003,Acid-fast bacillus,0.85,ok,FSN matches input exactly
80087,STENOTROPHOMONAS MALTOPHILIA,113697002,Stenotrophomonas maltophilia,,113697002,Stenotrophomonas maltophilia,1.00,ok,
80088,LACTOBACILLUS SPECIES,43690008,Lactobacillus species,,43690008,Lactobacillus species,1.00,ok,
80089,GAMMA(I.E. NON-HEMOLYTIC) STREPTOCOCCUS,22339002,Gamma-haemolytic Streptococcus,,22339002,Gamma-haemolytic Streptococcus,0.97,ok,FSN matches input exactly
80090,SERRATIA SPECIES,42025004,Serratia species,,42025004,Serratia species,1.00,ok,
80091,LISTERIA MONOCYTOGENES,36094007,Listeria monocytogenes,,36094007,Listeria monocytogenes,1.00,ok,
80092,AEROCOCCUS VIRIDANS,78803006,Aerococcus viridans,,78803006,Aerococcus viridans,1.00,ok,
80093,MYCOBACTERIUM GORDONAE,24871004,Mycobacterium gordonae,,24871004,Mycobacterium gordonae,1.00,ok,
80094,KLEBSIELLA SPECIES,75032006,Klebsiella species,,75032006,Klebsiella species,1.00,ok,
80095,MYCOBACTERIUM FORTUITUM,243378003,Mycobacterium fortuitum,,243378003,Mycobacterium fortuitum,1.00,ok,
80096,STREPTOMYCES SPECIES,47304000,Streptomyces species,,47304000,Streptomyces species,1.00,ok,
80097,PROVIDENCIA SPECIES,112284001,Providencia species,,112284001,Providencia species,1.00,ok,
80098,CITROBACTER SPECIES,75972000,Citrobacter species,,75972000,Citrobacter species,1.00,ok,
80099,CANDIDA PARAPSILOSIS,61302002,Candida parapsilosis,,61302002,Candida parapsilosis,1.00,ok,
80100,CANDIDA GUILLIERMONDII,29812000,Meyerozyma guilliermondii,,29812000,Meyerozyma guilliermondii,0.95,ok,
80101,CANDIDA KRUSEI,16452009,Pichia kudriavzevii,,16452009,Pichia kudriavzevii,0.95,ok,
80102,SACCHAROMYCES CEREVISIAE,58296003,Saccharomyces cerevisiae,,58296003,Saccharomyces cerevisiae,1.00,ok,
80103,SPOROBOLOMYCES SALMONICOLOR,243446007,Sporobolomyces salmonicolor,,243446007,Sporobolomyces salmonicolor,1.00,ok,
80105,RHIZOPUS SPECIES,17683005,Rhizopus species,,17683005,Rhizopus species,1.00,ok,
80106,CANDIDA TROPICALIS,47885008,Candida tropicalis,,47885008,Candida tropicalis,1.00,ok,
80107,CAMPYLOBACTER SPECIES,35408001,Campylobacter species,,35408001,Campylobacter species,1.00,ok,
80108,PROPIONIBACTERIUM ACNES,39473003,Cutibacterium acnes,,39473003,Cutibacterium acnes,0.95,ok,
80110,MUCOR SP.,49782006,Mucor species,,49782006,Mucor species,0.97,ok,FSN Genus Mucor matches 'Mucor sp.' at genus level
80111,ENTEROCOCCUS AVIUM,87875008,Enterococcus avium,,87875008,Enterococcus avium,1.00,ok,
80112,BACTEROIDES FRAGILIS GROUP,417375007,Bacteroides fragilis group,,417375007,Bacteroides fragilis group,1.00,ok,
80113,ENTEROBACTER SPECIES,58683007,Enterobacter species,,58683007,Enterobacter species,1.00,ok,
80114,ASPERGILLUS FLAVUS,66821001,Aspergillus flavus,,66821001,Aspergillus flavus,1.00,ok,
80115,PROPIONIBACTERIUM SPECIES,34844008,Propionibacterium species,,34844008,Propionibacterium species,1.00,ok,
80116,FUSARIUM SPECIES,35238009,Fusarium species,,35238009,Fusarium species,1.00,ok,
80117,AUREOBASIDIUM PULLULANS,39129008,Aureobasidium pullulans,,39129008,Aureobasidium pullulans,1.00,ok,
80118,STREPTOCOCCUS SALIVARIUS,39888004,Streptococcus salivarius,,39888004,Streptococcus salivarius,1.00,ok,
80119,NUTRITIONALLY VARIANT STREPTOCOCCUS,698214003,Nutritionally variant streptococci,,698214003,Nutritionally variant streptococci,0.97,ok,FSN matches input exactly
80121,BACTEROIDES FRAGILIS,55247009,Bacteroides fragilis,,55247009,Bacteroides fragilis,1.00,ok,
80122,KLUYVERA SPECIES,61161003,Kluyvera species,,61161003,Kluyvera species,1.00,ok,
80123,ANAEROBIC BACTERIA,59343002,Anaerobic bacteria,,59343002,Anaerobic bacteria,1.00,ok,
80124,EXOPHIALA JEANSELMEI COMPLEX,38224003,Exophiala jeanselmei,,38224003,Exophiala jeanselmei,0.90,ok,FSN matches the named organism in the complex
80125,FUSOBACTERIUM SPECIES,33562003,Fusobacterium species,,33562003,Fusobacterium species,1.00,ok,
80126,CLADOSPORIUM SPECIES,32043002,Cladosporium species,,32043002,Cladosporium species,1.00,ok,
80127,FUNGUS,414561005,Fungi,,414561005,Fungi,0.95,ok,
80128,FUSOBACTERIUM NUCLEATUM,32763000,Fusobacterium nucleatum,,32763000,Fusobacterium nucleatum,1.00,ok,
80129,CLOSTRIDIUM SEPTICUM,33101000,Clostridium septicum,,33101000,Clostridium septicum,1.00,ok,
80130,MYCELIA STERILIA,243555008,Mycelia sterilia,,243555008,Mycelia sterilia,1.00,ok,
80131,SALMONELLA HADAR,49491006,Salmonella Hadar,,49491006,Salmonella Hadar,1.00,ok,
80132,ENTAMOEBA COLI,79235009,Entamoeba coli,,79235009,Entamoeba coli,1.00,ok,
80133,GIARDIA LAMBLIA,78181009,Giardia duodenalis,,78181009,Giardia duodenalis,0.93,ok,
80134,ENDOLIMAX NANA,53272006,Endolimax nana,,53272006,Endolimax nana,1.00,ok,
80135,ASCARIS LUMBRICOIDES,19061001,Ascaris lumbricoides,,19061001,Ascaris lumbricoides,1.00,ok,
80136,ACTINOMYCES ODONTOLYTICUS,12069003,Actinomyces odontolyticus,,12069003,Actinomyces odontolyticus,1.00,ok,
80137,CANDIDA LUSITANIAE,50164000,Clavispora lusitaniae,,50164000,Clavispora lusitaniae,0.95,ok,
80138,STAPHYLOCOCCUS SPECIES,65119002,Staphylococcus species,,65119002,Staphylococcus species,1.00,ok,
80139,CLOSTRIDIUM DIFFICILE,5933001,Clostridium difficile,,5933001,Clostridium difficile,1.00,ok,
80140,BLASTOCYSTIS HOMINIS,28923009,Blastocystis hominis,,28923009,Blastocystis hominis,1.00,ok,
80141,CORYNEBACTERIUM JEIKEIUM (C.D.C. GROUP JK),63410006,Corynebacterium jeikeium,,63410006,Corynebacterium jeikeium (organism),0.98,ok,FSN matches input exactly
80142,FUSOBACTERIUM NECROPHORUM,27274008,Fusobacterium necrophorum,,27274008,Fusobacterium necrophorum,1.00,ok,
80143,CYTOMEGALOVIRUS,407444007,Cytomegalovirus species,,407444007,Cytomegalovirus species,0.95,ok,
80144,HERPES SIMPLEX VIRUS TYPE 1,15302007,Human herpes simplex virus type 1,,15302007,Human herpes simplex virus type 1,0.95,ok,FSN and synonyms match input exactly
80145,HERPES SIMPLEX VIRUS TYPE 2,13687007,Human herpes simplex virus type 2,,13687007,Human herpes simplex virus type 2,0.97,ok,FSN matches input exactly; synonym Herpes simplex virus 2
80146,ADENOVIRUS,424470006,Adenoviridae,,424470006,Adenoviridae,0.85,ok,Generic 'adenovirus' maps to family Adenoviridae; species candidates overstep
80147,CHLAMYDIA TRACHOMATIS,63938009,Chlamydia trachomatis,,63938009,Chlamydia trachomatis,1.00,ok,
80148,ASPERGILLUS VERSICOLOR GROUP,415881005,Aspergillus versicolor Group,,415881005,Aspergillus versicolor Group,1.00,ok,
80149,PAECILOMYCES SPECIES,26001000,Paecilomyces species,,26001000,Paecilomyces species,1.00,ok,
80150,TRICHODERMA SP.,83597000,Trichoderma species,,83597000,Trichoderma species,0.95,ok,FSN Genus Trichoderma matches unspecified species
80151,CITROBACTER KOSERI,114264004,Citrobacter koseri,,114264004,Citrobacter koseri,1.00,ok,
80152,ESCHERICHIA FERGUSONII,72461005,Escherichia fergusonii,,72461005,Escherichia fergusonii,1.00,ok,
80153,MORAXELLA OSLOENSIS,72401008,Moraxella osloensis,,72401008,Moraxella osloensis,1.00,ok,
80155,"STAPHYLOCOCCUS, COAGULASE NEGATIVE",116197008,"Staphylococcus, coagulase negative",,116197008,"Staphylococcus, coagulase negative",1.00,ok,
80156,CORYNEBACTERIUM STRIATUM,63815007,Corynebacterium striatum,,63815007,Corynebacterium striatum,1.00,ok,
80157,ACREMONIUM SPECIES,63996006,Acremonium species,,63996006,Acremonium species,1.00,ok,
80158,MYCOBACTERIUM AVIUM COMPLEX,58503001,"Mycobacterium, avium-intracellulare group",,58503001,"Mycobacterium, avium-intracellulare group",0.95,ok,
80159,MYCOBACTERIUM TUBERCULOSIS COMPLEX,113858008,Mycobacterium tuberculosis complex,,113858008,Mycobacterium tuberculosis complex,1.00,ok,
80160,BACILLUS SUBTILIS,83512007,Bacillus subtilis,,83512007,Bacillus subtilis,1.00,ok,
80161,STRONGYLOIDES STERCORALIS,42625000,Strongyloides stercoralis,,42625000,Strongyloides stercoralis,1.00,ok,
80162,STAPHYLOCOCCUS LUGDUNENSIS,103494005,Staphylococcus lugdunensis,,103494005,Staphylococcus lugdunensis,1.00,ok,
80163,MOLD,84489001,Mould,,84489001,Mould,0.95,ok,
80164,ENTEROBACTER ASBURIAE,33115003,Enterobacter asburiae,,33115003,Enterobacter asburiae,1.00,ok,
80165,TRICHOPHYTON SPECIES,88578003,Trichophyton species,,88578003,Trichophyton species,1.00,ok,
80168,ENTEROCOCCUS FAECIUM,90272000,Enterococcus faecium,,90272000,Enterococcus faecium,1.00,ok,
80169,ENTAMOEBA HARTMANNI,70632005,Entamoeba hartmanni,,70632005,Entamoeba hartmanni,1.00,ok,
80170,LEUCONOSTOC SPECIES,43639007,Leuconostoc species,,43639007,Leuconostoc species,1.00,ok,
80171,STREPTOCOCCUS ANGINOSUS,44304009,Streptococcus anginosus,,44304009,Streptococcus anginosus,1.00,ok,
80172,ENTEROCOCCUS FAECALIS,78065002,Enterococcus faecalis,,78065002,Enterococcus faecalis,1.00,ok,
80173,VEILLONELLA SPECIES,29875005,Veillonella species,,29875005,Veillonella species,1.00,ok,
80174,CURVULARIA SP.,5214001,Curvularia species,,5214001,Curvularia species,0.97,ok,FSN Genus Curvularia matches 'Curvularia sp.' exactly
80175,VIRUS,49872002,Virus,,49872002,Virus,1.00,ok,
80176,VARICELLA-ZOSTER VIRUS,19551004,Human herpesvirus 3,,19551004,Human herpesvirus 3,0.95,ok,
80177,RESPIRATORY SYNCYTIAL VIRUS (RSV),6415009,Human respiratory syncytial virus,,6415009,Human respiratory syncytial virus,0.92,ok,FSN matches RSV; synonym 'Respiratory syncytial virus; RSV' exact
80178,INFLUENZA A VIRUS,407479009,Influenza A virus,,407479009,Influenza A virus,1.00,ok,
80179,INFLUENZA B VIRUS,407480007,Influenza B virus,,407480007,Influenza B virus,1.00,ok,
80180,PARAINFLUENZA VIRUS TYPE 1,407489008,Human parainfluenza virus 1,,407489008,Human parainfluenza virus 1,0.97,ok,FSN matches input exactly
80181,PARAINFLUENZA VIRUS TYPE 3,407493002,Human parainfluenza virus 3,,407493002,Human parainfluenza virus 3,0.85,ok,Parainfluenza virus type 3 refers to human HPIV-3
80182,OCHROBACTRUM ANTHROPI,116490002,Brucella anthropi,,116490002,Brucella anthropi,0.95,ok,
80183,GEMELLA MORBILLORUM,113765006,Gemella morbillorum,,113765006,Gemella morbillorum,1.00,ok,
80184,ENTEROCOCCUS GALLINARUM,53233007,Enterococcus gallinarum,,53233007,Enterococcus gallinarum,1.00,ok,
80185,CAMPYLOBACTER JEJUNI,66543000,Campylobacter jejuni,,66543000,Campylobacter jejuni,1.00,ok,
80186,PSEUDALLESCHERIA BOYDII,24305000,Scedosporium boydii,,24305000,Scedosporium boydii,0.95,ok,
80187,NOCARDIA ASTEROIDES COMPLEX,414864009,Nocardia asteroides complex,,414864009,Nocardia asteroides complex,1.00,ok,
80188,SCEDOSPORIUM (APIOSPERMUM) BOYDII COMPLEX,51221000112104,Scedosporium apiospermum complex,,51221000112104,Scedosporium apiospermum complex,0.95,ok,FSN matches input exactly
80189,PEDIOCOCCUS SPECIES,243236007,Pediococcus species,,243236007,Pediococcus species,1.00,ok,
80190,SYNCEPHALASTRUM SPECIES,62678005,Syncephalastrum species,,62678005,Syncephalastrum species,1.00,ok,
80191,"HAEMOPHILUS INFLUENZAE, BETA-LACTAMASE POSITIVE",722353005,"Haemophilus influenzae, beta lactamase positive",,722353005,"Haemophilus influenzae, beta lactamase positive",0.98,ok,FSN matches input exactly
80192,"HAEMOPHILUS INFLUENZAE, BETA-LACTAMASE NEGATIVE",722351007,"Haemophilus influenzae, beta lactamase negative",,722351007,"Haemophilus influenzae, beta lactamase negative",0.98,ok,FSN matches input exactly
80193,CORYNEBACTERIUM UREALYTICUM SP. NOV.,113613004,Corynebacterium urealyticum,,113613004,Corynebacterium urealyticum (organism),0.95,ok,FSN matches input exactly
80194,ACINETOBACTER BAUMANNII,91288006,Acinetobacter baumannii,,91288006,Acinetobacter baumannii,1.00,ok,
80195,AEROMONAS SPECIES,88529008,Aeromonas species,,88529008,Aeromonas species,1.00,ok,
80196,SALMONELLA SPECIES,27268008,Salmonella species,,27268008,Salmonella species,1.00,ok,
80197,CITROBACTER YOUNGAE,114443001,Citrobacter youngae,,114443001,Citrobacter youngae,1.00,ok,
80198,HAEMOPHILUS INFLUENZAE,44470000,Haemophilus influenzae,,44470000,Haemophilus influenzae,1.00,ok,
80199,MALASSEZIA FURFUR,29619007,Malassezia furfur,,29619007,Malassezia furfur,1.00,ok,
80200,CHAETOMIUM SPECIES,10210008,Chaetomium species,,10210008,Chaetomium species,1.00,ok,
80201,CITROBACTER KOSERI,114264004,Citrobacter koseri,,114264004,Citrobacter koseri,1.00,ok,
80202,LEGIONELLA PNEUMOPHILA,80897008,Legionella pneumophila,,80897008,Legionella pneumophila,1.00,ok,
80204,ENTEROCOCCUS CASSELIFLAVUS,30949009,Enterococcus casseliflavus,,30949009,Enterococcus casseliflavus,1.00,ok,
80205,BACTEROIDES UREOLYTICUS GROUP,450602004,Campylobacter ureolyticus,,450602004,Campylobacter ureolyticus,0.85,ok,Synonym 'Bacteroides ureolyticus' matches; 'group' is non-coded qualifier
80206,RHINOVIRUS,1838001,Human rhinovirus,,1838001,Human rhinovirus,0.90,ok,Generic rhinovirus maps to the general human rhinovirus species
80207,STREPTOCOCCUS SPECIES,58800005,Streptococcus species,,58800005,Streptococcus species,1.00,ok,
80208,BURKHOLDERIA SPECIES,414324002,Burkholderia species,,414324002,Burkholderia species,1.00,ok,
80209,LISTERIA SPECIES,23566007,Listeria species,,23566007,Listeria species,1.00,ok,
80210,CAPNOCYTOPHAGA SPECIES,22294008,Capnocytophaga species,,22294008,Capnocytophaga species,1.00,ok,
80211,STACHYBOTRYS SPP.,61175005,Stachybotrys species,,61175005,Stachybotrys species,0.85,ok,FSN Genus Stachybotrys matches 'spp.' exactly
80212,PORPHYROMONAS SPECIES,114154000,Porphyromonas species,,114154000,Porphyromonas species,1.00,ok,
80213,"BETA STREPTOCOCCI, NOT GROUP A",713922006,"Beta-hemolytic Streptococcus, non-Group A",,713922006,"Beta-hemolytic Streptococcus, non-Group A",0.97,ok,FSN matches input exactly
80215,ASPERGILLUS NIDULANS,60264008,Aspergillus nidulans,,60264008,Aspergillus nidulans,1.00,ok,
80216,ACINETOBACTER SP.,7757008,Acinetobacter species,,7757008,Acinetobacter species,0.95,ok,FSN Genus Acinetobacter matches input exactly
80217,ENTAMOEBA HISTOLYTICA/DISPAR,363769000,Entamoeba histolytica/Entamoeba dispar complex,,363769000,Entamoeba histolytica/Entamoeba dispar complex,0.97,ok,FSN matches input exactly
80218,ENTEROBACTERIACEAE,106544002,Enterobacteriaceae,,106544002,Enterobacteriaceae,1.00,ok,
80220,AFB GROWN IN CULTURE; ADDITIONAL INFORMATION TO FOLLOW,243365003,Acid-fast bacillus,,243365003,Acid-fast bacillus,0.85,ok,AFB grown in culture maps to Acid-fast bacillus organism
80221,CORYNEBCATERIUM AMYCOLATUM,113611002,Corynebacterium amycolatum,,113611002,Corynebacterium amycolatum,0.95,ok,FSN matches input (typo corrected)
80222,POSITIVE FOR GROUP B BETA STREPTOCOCCI,43492007,Group B streptococcus,,43492007,Group B streptococcus,0.95,ok,FSN Streptococcus agalactiae; synonym Beta-hemolytic Streptococcus group B matches input
80223,PROBABLE ENTEROCOCCUS,2785000,Enterococcus species,,2785000,Enterococcus species,0.85,ok,Probable is a certainty qualifier; base concept is Enterococcus genus
80224,BETA STREPTOCOCCUS NOT GROUP A OR B,406609007,"Beta-haemolytic streptococcus, non-Group A, non-Group B",,406609007,"Beta-haemolytic streptococcus, non-Group A, non-Group B",0.97,ok,FSN matches input exactly
80225,"NON-FERMENTER, NOT PSEUDOMONAS AERUGINOSA",243328000,Non-fermentative Gram-negative bacillus,,243328000,Non-fermentative Gram-negative bacillus,0.85,ok,FSN/synonym 'Non-fermenter' matches; exclusion of P. aeruginosa is a qualifier
80227,PROBABLE GARDNERELLA VAGINALIS,64071004,Gardnerella vaginalis,,64071004,Gardnerella vaginalis,0.90,ok,Probable is a certainty qualifier; organism matches exactly
80228,CANDIDA GLABRATA,444877006,Nakaseomyces glabratus,,444877006,Nakaseomyces glabratus,0.95,ok,
80229,PRESUMPTIVE STREPTOCOCCUS BOVIS,415599007,Streptococcus bovis group,,415599007,Streptococcus bovis group,0.90,ok,Presumptive is a non-coded qualifier; base concept is Streptococcus bovis group
80230,POSITIVE FOR INFLUENZA A VIRAL ANTIGEN,407479009,Influenza A virus,,407479009,Influenza A virus,0.85,ok,FSN matches Influenza A virus organism
