mimic_code,mimic_display,loinc_code,loinc_display,comment,codesearch_query,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
50878,Asparate Aminotransferase (AST),1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Asparate Aminotransferase (AST),1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,0.85,ok,AST measured in blood; serum/plasma is the standard blood specimen
50879,Barbiturate Screen,3376-1,"Barbiturates [Presence] in Serum, Plasma or Blood",,Hospital laboratory analyte measured in Blood: Barbiturate Screen,3376-1,"Barbiturates [Presence] in Serum, Plasma or Blood",0.85,ok,"Barbiturate screen in blood; matches analyte, specimen, and screen method"
50880,Benzodiazepine Screen,46976-7,Benzodiazepines [Presence] in Serum or Plasma by Screen method,,Hospital laboratory analyte measured in Blood: Benzodiazepine Screen,46976-7,Benzodiazepines [Presence] in Serum or Plasma by Screen method,0.85,ok,Benzodiazepine screen in blood; serum/plasma is the blood specimen
50881,Beta-2 Microglobulin,1952-1,Beta-2-Microglobulin [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Beta-2 Microglobulin,1952-1,Beta-2-Microglobulin [Mass/volume] in Serum or Plasma,0.85,ok,Blood analyte; serum/plasma is the blood specimen for B2M
50882,Bicarbonate,1959-6,Bicarbonate [Moles/volume] in Blood,,Hospital laboratory analyte measured in Blood: Bicarbonate,1959-6,Bicarbonate [Moles/volume] in Blood,0.85,ok,"FSN matches Bicarbonate in Blood exactly, no unstated specifier"
50883,"Bilirubin, Direct",1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma,,"Hospital laboratory analyte measured in Blood: Bilirubin, Direct",1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma,0.80,ok,"Direct bilirubin measured in blood; serum/plasma is standard specimen, no whole-blood LOINC exists"
50884,"Bilirubin, Indirect",1971-1,Bilirubin.indirect [Mass/volume] in Serum or Plasma,,"Hospital laboratory analyte measured in Blood: Bilirubin, Indirect",1971-1,Bilirubin.indirect [Mass/volume] in Serum or Plasma,0.85,ok,Bilirubin indirect analyte matches; specimen Serum/Plasma vs Blood minor mismatch
50885,"Bilirubin, Total",42719-5,Bilirubin.total [Mass/volume] in Blood,,"Hospital laboratory analyte measured in Blood: Bilirubin, Total",42719-5,Bilirubin.total [Mass/volume] in Blood,0.85,ok,FSN matches total bilirubin measured in blood
50886,Blood Culture Hold,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Blood Culture Hold' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Blood Culture Hold,,,,no-match,
50887,Blue Top Hold,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Blue Top Hold' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Blue Top Hold,,,,no-match,
50888,Blue Top Hold Frozen,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Blue Top Hold Frozen' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Blue Top Hold Frozen,,,,no-match,
50889,C-Reactive Protein,105126-7,"C reactive protein [Mass/volume] in Serum, Plasma or Blood",,Hospital laboratory analyte measured in Blood: C-Reactive Protein,105126-7,"C reactive protein [Mass/volume] in Serum, Plasma or Blood",0.85,ok,General CRP test including blood; no method overstepping
50890,C3,4485-9,Complement C3 [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: C3,4485-9,Complement C3 [Mass/volume] in Serum or Plasma,0.85,ok,C3 analyte measured in blood; serum/plasma is the standard blood specimen
50891,C4,4498-2,Complement C4 [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: C4,4498-2,Complement C4 [Mass/volume] in Serum or Plasma,0.85,ok,C4 analyte measured in blood (serum/plasma)
50892,CA-125,10334-1,Cancer Ag 125 [Units/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: CA-125,10334-1,Cancer Ag 125 [Units/volume] in Serum or Plasma,0.85,ok,CA-125 analyte measured in blood (serum/plasma); no unstated method or qualifier
50893,"Calcium, Total",49765-1,Calcium [Mass/volume] in Blood,,"Hospital laboratory analyte measured in Blood: Calcium, Total",49765-1,Calcium [Mass/volume] in Blood,0.85,ok,Total calcium in blood; candidate 47597-0 oversteps with protein correction
50894,Calculated Free Testosterone,103227-5,Testosterone Free [Mass/volume] in Serum or Plasma by Calculation,,Hospital laboratory analyte measured in Blood: Calculated Free Testosterone,103227-5,Testosterone Free [Mass/volume] in Serum or Plasma by Calculation,0.85,ok,Calculated free testosterone in blood (serum/plasma); mass/volume unit unspecified in input
50895,Calculated TBG,3020-5,Thyroxine binding globulin [Mass/volume] in Blood,,Hospital laboratory analyte measured in Blood: Calculated TBG,3020-5,Thyroxine binding globulin [Mass/volume] in Blood,0.85,ok,TBG measured in Blood; matches specimen and analyte
50896,Calculated Thyroxine (T4) Index,32215-6,Thyroxine (T4) free index in Serum or Plasma by calculation,,Hospital laboratory analyte measured in Blood: Calculated Thyroxine (T4) Index,32215-6,Thyroxine (T4) free index in Serum or Plasma by calculation,0.85,ok,"Calculated thyroxine index; FSN matches, specimen Ser/Plas vs Blood"
50897,Call,,,"code-search returned no match for 'Hospital laboratory analyte measured in Blood: Call' within (http://loinc.org)(CLASSTYPE=1,STATUS=ACTIVE).",Hospital laboratory analyte measured in Blood: Call,,,,no-match,
50898,Cancer Antigen 27.29,17842-6,Cancer Ag 27-29 [Units/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Cancer Antigen 27.29,17842-6,Cancer Ag 27-29 [Units/volume] in Serum or Plasma,0.85,ok,Blood analyte CA 27.29 quantitative in serum/plasma
50899,Carbamazepine,3432-2,carBAMazepine [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Carbamazepine,3432-2,carBAMazepine [Mass/volume] in Serum or Plasma,0.85,ok,Carbamazepine measured in blood; serum/plasma is the standard blood specimen
50900,Carcinoembyronic Antigen (CEA),2039-6,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Carcinoembyronic Antigen (CEA),2039-6,Carcinoembryonic Ag [Mass/volume] in Serum or Plasma,0.85,ok,CEA measured in blood; serum/plasma is the blood specimen
50901,Centromere,16137-2,Centromere Ab [Presence] in Serum,,Hospital laboratory analyte measured in Blood: Centromere,16137-2,Centromere Ab [Presence] in Serum,0.80,ok,Centromere antibody measured in blood (serum); generic presence test
50902,Chloride,2069-3,Chloride [Moles/volume] in Blood,,Hospital laboratory analyte measured in Blood: Chloride,2069-3,Chloride [Moles/volume] in Blood,0.85,ok,FSN matches Chloride in Blood exactly
50903,Cholesterol Ratio (Total/HDL),9830-1,Cholesterol.total/Cholesterol in HDL [Mass Ratio] in Serum or Plasma,,Hospital laboratory analyte measured in Blood: Cholesterol Ratio (Total/HDL),9830-1,Cholesterol.total/Cholesterol in HDL [Mass Ratio] in Serum or Plasma,0.85,ok,FSN matches Total/HDL cholesterol ratio; Blood maps to Serum/Plasma
50904,"Cholesterol, HDL",2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,,"Hospital laboratory analyte measured in Blood: Cholesterol, HDL",2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,0.85,ok,Standard HDL cholesterol test; matches analyte and property
50905,"Cholesterol, LDL, Calculated",13457-7,Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation,,"Hospital laboratory analyte measured in Blood: Cholesterol, LDL, Calculated",13457-7,Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation,0.85,ok,FSN matches LDL cholesterol calculated in blood
50906,"Cholesterol, LDL, Measured",2089-1,Cholesterol in LDL [Mass/volume] in Serum or Plasma,,"Hospital laboratory analyte measured in Blood: Cholesterol, LDL, Measured",2089-1,Cholesterol in LDL [Mass/volume] in Serum or Plasma,0.85,ok,LDL cholesterol measured in blood; standard quantitative test
50907,"Cholesterol, Total",2093-3,Cholesterol [Mass/volume] in Serum or Plasma,,"Hospital laboratory analyte measured in Blood: Cholesterol, Total",2093-3,Cholesterol [Mass/volume] in Serum or Plasma,0.85,ok,Total cholesterol measured in blood; standard lab analyte
