mimic_code,mimic_display,snomed_code,snomed_display,comment,codesearch_query,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
224295,Cordis/Introducer Dressing Change,1230246000,Replacement of dressing of insertion site of vascular catheter,,Cordis/Introducer Dressing Change,1230246000,Replacement of dressing of insertion site of vascular catheter,0.85,ok,Cordis/introducer is a vascular catheter; dressing change at insertion site matches
224296,Cordis/Introducer Insertion Date,439272007,Date of procedure,,Cordis/Introducer Insertion Date,439272007,Date of procedure,0.80,ok,Temporal observable for date of a procedure; Cordis/introducer insertion is the procedure event
224298,Cordis/Introducer Tubing Change,,,code-search returned no match for 'Cordis/Introducer Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Cordis/Introducer Tubing Change,,,,no-match,
224878,GU Catheter Insertion Date,439771001,Date of event,,GU Catheter Insertion Date,439771001,Date of event,0.80,ok,Flowsheet records date/time of GU catheter insertion event
225083,Pregnancy due date,,,code-search returned no match for 'Pregnancy due date' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Pregnancy due date,,,,no-match,
225128,Last dialysis,265764009,Renal dialysis,,Last dialysis,265764009,Renal dialysis,0.85,ok,Event 'last dialysis' refers to a dialysis procedure; renal dialysis captures it
225213,Trauma Line Cap Change,,,"code-search proposed 225199003 |Changing intravenous infusion line| at 0.60 for 'Trauma Line Cap Change', below the 0.8 threshold.",Trauma Line Cap Change,225199003,Changing intravenous infusion line,0.60,below-threshold,Closest concept to line cap change event; procedure for changing IV line
225214,Trauma Line Change over Wire Date,416504003,Vascular line exchange over wire,,Trauma Line Change over Wire Date,416504003,Vascular line exchange over wire,0.85,ok,Line change over wire maps to vascular line exchange over wire
225216,Trauma Line Dressing Change,18949003,Change of dressing,,Trauma Line Dressing Change,18949003,Change of dressing,0.85,ok,Core event is dressing change; date/time is recording context
225218,Trauma Line Tubing Change,,,code-search returned no match for 'Trauma Line Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Trauma Line Tubing Change,,,,no-match,
225221,CCO PAC Cap Change,,,"code-search proposed 422463007 |Pulmonary artery catheter care| at 0.70 for 'CCO PAC Cap Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable.",CCO PAC Cap Change,422463007,Pulmonary artery catheter care,0.70,device-care,Closest broader match for PAC cap change; no specific cap-change code exists
225222,CCO PAC Change over Wire Date,,,"code-search proposed 416504003 |Vascular line exchange over wire| at 0.75 for 'CCO PAC Change over Wire Date', below the 0.8 threshold.",CCO PAC Change over Wire Date,416504003,Vascular line exchange over wire,0.75,below-threshold,CCO PAC change over wire = vascular line exchange over wire
225224,CCO PAC Dressing Change,18949003,Change of dressing,,CCO PAC Dressing Change,18949003,Change of dressing,0.85,ok,FSN matches dressing change; PAC context is qualifier
225226,CCO PAC Tubing Change,,,"code-search proposed 422463007 |Pulmonary artery catheter care| at 0.70 for 'CCO PAC Tubing Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable.",CCO PAC Tubing Change,422463007,Pulmonary artery catheter care,0.70,device-care,Tubing change is part of PAC care; no specific tubing change code
225279,Date of Admission to Hospital,399423000,Date of admission,,Date of Admission to Hospital,399423000,Date of admission,0.85,ok,FSN matches the event being recorded
225316,CCO PAC Insertion Date,439771001,Date of event,,CCO PAC Insertion Date,439771001,Date of event,0.80,ok,Captures date/time recorded for an event
225317,Trauma Line Insertion Date,,,"code-search proposed 397914003 |Uncomplicated intravascular line insertion| at 0.60 for 'Trauma Line Insertion Date', below the 0.8 threshold.",Trauma Line Insertion Date,397914003,Uncomplicated intravascular line insertion,0.60,below-threshold,Line insertion procedure for the trauma line event; 'uncomplicated' is unstated qualifier
225318,Dialysis Catheter Cap Change,,,code-search returned no match for 'Dialysis Catheter Cap Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Dialysis Catheter Cap Change,,,,no-match,
225319,Dialysis Catheter Change over Wire Date,,,"code-search proposed 416504003 |Vascular line exchange over wire| at 0.72 for 'Dialysis Catheter Change over Wire Date', below the 0.8 threshold.",Dialysis Catheter Change over Wire Date,416504003,Vascular line exchange over wire,0.72,below-threshold,Captures 'change over wire' procedure; broader than dialysis-specific but no overstepping
225321,Dialysis Catheter Dressing Change,1230246000,Replacement of dressing of insertion site of vascular catheter,,Dialysis Catheter Dressing Change,1230246000,Replacement of dressing of insertion site of vascular catheter,0.85,ok,Dialysis catheter is a vascular catheter; dressing change of its insertion site
225322,Dialysis Catheter Insertion Date,439771001,Date of event,,Dialysis Catheter Insertion Date,439771001,Date of event,0.80,ok,Temporal observable capturing date/time of an event
225324,Dialysis CatheterTubing Change,,,"code-search proposed 103713001 |Replacement of catheter| at 0.70 for 'Dialysis CatheterTubing Change', below the 0.8 threshold.",Dialysis CatheterTubing Change,103713001,Replacement of catheter,0.70,below-threshold,No specific dialysis catheter tubing change code; broadest procedure match
225327,Tunneled (Hickman) Cap Change,,,"code-search proposed 449584006 |Care of tunneled central venous catheter| at 0.70 for 'Tunneled (Hickman) Cap Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable.",Tunneled (Hickman) Cap Change,449584006,Care of tunneled central venous catheter,0.70,device-care,No exact 'cap change' code; closest broader match is care of tunneled CVC
225328,Tunneled (Hickman) Change over Wire Date,416504003,Vascular line exchange over wire,,Tunneled (Hickman) Change over Wire Date,416504003,Vascular line exchange over wire,0.80,ok,Captures the change-over-wire procedure for the Hickman line
225329,Tunneled (Hickman) Dressing Change,1230246000,Replacement of dressing of insertion site of vascular catheter,,Tunneled (Hickman) Dressing Change,1230246000,Replacement of dressing of insertion site of vascular catheter,0.85,ok,Dressing change at vascular catheter insertion site matches Hickman dressing change
225330,Tunneled (Hickman) Insertion Date,442309004,Insertion of tunnelled central venous catheter,,Tunneled (Hickman) Insertion Date,442309004,Insertion of tunnelled central venous catheter,0.85,ok,Hickman is a tunneled central venous catheter; insertion procedure matches
225332,Tunneled (Hickman) Tubing Change,,,"code-search proposed 439355003 |Replacement of tunneled centrally inserted central venous catheter| at 0.85 for 'Tunneled (Hickman) Tubing Change', but changing the tubing does not replace the catheter — replacing it is what the sibling column 225328 Tunneled (Hickman) Change over Wire Date records. The concept is right about the device and wrong about the action, so the mapping would assert something this column does not record.",Tunneled (Hickman) Tubing Change,439355003,Replacement of tunneled centrally inserted central venous catheter,0.85,wrong-action,Hickman is a tunneled central venous catheter; change = replacement
225335,IABP Cap Change,,,"code-search proposed 34475007 |Intraaortic balloon pump maintenance| at 0.60 for 'IABP Cap Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable.",IABP Cap Change,34475007,Intraaortic balloon pump maintenance,0.60,device-care,IABP cap change is a maintenance event; closest broader match
225336,IABP Change over Wire Date,,,"code-search proposed 416504003 |Vascular line exchange over wire| at 0.60 for 'IABP Change over Wire Date', below the 0.8 threshold.",IABP Change over Wire Date,416504003,Vascular line exchange over wire,0.60,below-threshold,Closest procedure for IABP change over wire; no IABP-specific code
225337,IABP Dressing Change,18949003,Change of dressing,,IABP Dressing Change,18949003,Change of dressing,0.85,ok,Core procedure is dressing change; IABP is context qualifier
225338,IABP Insertion Date,16965008,Insertion of intra-aortic balloon pump,,IABP Insertion Date,16965008,Insertion of intra-aortic balloon pump,0.85,ok,Core concept is IABP insertion; date/time is a recording qualifier
225340,IABP Tubing Change,,,"code-search proposed 34475007 |Intraaortic balloon pump maintenance| at 0.75 for 'IABP Tubing Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable.",IABP Tubing Change,34475007,Intraaortic balloon pump maintenance,0.75,device-care,Tubing change is a maintenance procedure on IABP; closest broader match
225343,Midline Cap Change,,,code-search returned no match for 'Midline Cap Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Midline Cap Change,,,,no-match,
225344,Midline Change over Wire Date,439771001,Date of event,,Midline Change over Wire Date,439771001,Date of event,0.80,ok,Captures date/time recorded for an event
225345,Midline Dressing Change,18949003,Change of dressing,,Midline Dressing Change,18949003,Change of dressing,0.85,ok,Core event is midline dressing change; date/time is flowsheet metadata
225346,Midline Insertion Date,439771001,Date of event,,Midline Insertion Date,439771001,Date of event,0.80,ok,Temporal observable capturing date/time of an event
225348,Midline Tubing Change,,,code-search returned no match for 'Midline Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Midline Tubing Change,,,,no-match,
225351,PA Catheter Cap Change,,,"code-search proposed 422463007 |Pulmonary artery catheter care| at 0.70 for 'PA Catheter Cap Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable.",PA Catheter Cap Change,422463007,Pulmonary artery catheter care,0.70,device-care,No exact cap change code; closest broader match for PA catheter care
225352,PA Catheter Change over Wire Date,,,"code-search proposed 416504003 |Vascular line exchange over wire| at 0.75 for 'PA Catheter Change over Wire Date', below the 0.8 threshold.",PA Catheter Change over Wire Date,416504003,Vascular line exchange over wire,0.75,below-threshold,Closest match for PA catheter change over wire; broader vascular line exchange
225353,PA Catheter Dressing Change,1230246000,Replacement of dressing of insertion site of vascular catheter,,PA Catheter Dressing Change,1230246000,Replacement of dressing of insertion site of vascular catheter,0.85,ok,Dressing change at vascular catheter insertion site; PA catheter is a vascular catheter
225354,PA Catheter Insertion Date,65677008,Pulmonary catheterisation with Swan-Ganz catheter,,PA Catheter Insertion Date,65677008,Pulmonary catheterisation with Swan-Ganz catheter,0.85,ok,PA catheter insertion; synonym matches pulmonary artery catheter insertion
225356,PA Catheter Tubing Change,,,"code-search proposed 422463007 |Pulmonary artery catheter care| at 0.75 for 'PA Catheter Tubing Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable.",PA Catheter Tubing Change,422463007,Pulmonary artery catheter care,0.75,device-care,No specific 'change of PA catheter tubing' code; closest broader match is PA catheter care
225367,Pheresis Catheter Cap Change,,,code-search returned no match for 'Pheresis Catheter Cap Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Pheresis Catheter Cap Change,,,,no-match,
225368,Pheresis Catheter Change over Wire Date,,,"code-search proposed 439272007 |Date of procedure| at 0.70 for 'Pheresis Catheter Change over Wire Date', below the 0.8 threshold.",Pheresis Catheter Change over Wire Date,439272007,Date of procedure,0.70,below-threshold,Observable for date of a procedure; matches date/time recorded for event
225369,Pheresis Catheter Dressing Change,1230246000,Replacement of dressing of insertion site of vascular catheter,,Pheresis Catheter Dressing Change,1230246000,Replacement of dressing of insertion site of vascular catheter,0.85,ok,Dressing change at vascular catheter site; pheresis catheter is a vascular catheter
225370,Pheresis Catheter Insertion Date,439272007,Date of procedure,,Pheresis Catheter Insertion Date,439272007,Date of procedure,0.85,ok,Temporal observable matching date/time recorded for a procedure event
225372,Pheresis Catheter Tubing Change,,,"code-search proposed 103713001 |Replacement of catheter| at 0.75 for 'Pheresis Catheter Tubing Change', below the 0.8 threshold.",Pheresis Catheter Tubing Change,103713001,Replacement of catheter,0.75,below-threshold,No specific pheresis catheter tubing change code; generic catheter replacement is closest broader match
225375,Indwelling Port (PortaCath) Cap Change,,,code-search returned no match for 'Indwelling Port (PortaCath) Cap Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Indwelling Port (PortaCath) Cap Change,,,,no-match,
225376,Indwelling Port (PortaCath) Change over Wire Date,416504003,Vascular line exchange over wire,,Indwelling Port (PortaCath) Change over Wire Date,416504003,Vascular line exchange over wire,0.80,ok,PortaCath change over wire = vascular line exchange over wire
225377,Indwelling Port (PortaCath) Dressing Change,18949003,Change of dressing,,Indwelling Port (PortaCath) Dressing Change,18949003,Change of dressing,0.85,ok,"Core concept is dressing change; PortaCath is context, not overstepping"
225378,Indwelling Port (PortaCath) Insertion Date,,,code-search proposed 1507661000168104 |Insertion of central venous catheter with subcutaneous access port| at 0.85 but that concept is not in the SNOMED international core.,Indwelling Port (PortaCath) Insertion Date,1507661000168104,Insertion of central venous catheter with subcutaneous access port,0.85,extension,FSN matches PortaCath insertion; synonym 'Port-a-cath insertion'
225380,Indwelling Port (PortaCath)Tubing Change,,,code-search returned no match for 'Indwelling Port (PortaCath)Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Indwelling Port (PortaCath)Tubing Change,,,,no-match,
225383,Presep Catheter Cap Change,,,"code-search proposed 103713001 |Replacement of catheter| at 0.60 for 'Presep Catheter Cap Change', below the 0.8 threshold.",Presep Catheter Cap Change,103713001,Replacement of catheter,0.60,below-threshold,No exact 'catheter cap change' code; broadest matching procedure
225384,Presep Catheter Change over Wire Date,416504003,Vascular line exchange over wire,,Presep Catheter Change over Wire Date,416504003,Vascular line exchange over wire,0.85,ok,Catheter change over wire = line exchange over wire; Presep is a CVC brand
225385,Presep Catheter Dressing Change,1230246000,Replacement of dressing of insertion site of vascular catheter,,Presep Catheter Dressing Change,1230246000,Replacement of dressing of insertion site of vascular catheter,0.85,ok,Presep catheter is a vascular catheter; dressing change matches
225386,Presep Catheter Insertion Date,439771001,Date of event,,Presep Catheter Insertion Date,439771001,Date of event,0.80,ok,Date/time recorded for an event; observable entity matches
225390,Presep Catheter Tubing Change,,,code-search returned no match for 'Presep Catheter Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Presep Catheter Tubing Change,,,,no-match,
225391,Triple Introducer Cap Change,,,code-search returned no match for 'Triple Introducer Cap Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Triple Introducer Cap Change,,,,no-match,
225392,Triple Introducer Change over Wire Date,439771001,Date of event,,Triple Introducer Change over Wire Date,439771001,Date of event,0.80,ok,Temporal observable capturing date/time of an event
225393,Triple Introducer Dressing Change,18949003,Change of dressing,,Triple Introducer Dressing Change,18949003,Change of dressing,0.85,ok,Core event is dressing change; no specific triple introducer code exists
225394,Triple Introducer Insertion Date,,,code-search returned no match for 'Triple Introducer Insertion Date' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Triple Introducer Insertion Date,,,,no-match,
225396,Triple Introducer Tubing Change,,,code-search returned no match for 'Triple Introducer Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Triple Introducer Tubing Change,,,,no-match,
225753,22 Gauge Insertion Date,439771001,Date of event,,22 Gauge Insertion Date,439771001,Date of event,0.80,ok,Temporal observable capturing date/time of an event
225754,20 Gauge Insertion Date,,,code-search returned no match for '20 Gauge Insertion Date' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,20 Gauge Insertion Date,,,,no-match,
225755,18 Gauge Insertion Date,439771001,Date of event,,18 Gauge Insertion Date,439771001,Date of event,0.80,ok,Date/time recorded for an event (18 gauge insertion)
225756,16 Gauge Insertion Date,,,"code-search proposed 439771001 |Date of event| at 0.60 for '16 Gauge Insertion Date', below the 0.8 threshold.",16 Gauge Insertion Date,439771001,Date of event,0.60,below-threshold,Closest temporal observable to flowsheet date/time recorded for event
225757,14 Gauge Insertion Date,439771001,Date of event,,14 Gauge Insertion Date,439771001,Date of event,0.80,ok,FSN captures date/time recorded for an event
225758,RIC Insertion Date,439771001,Date of event,,RIC Insertion Date,439771001,Date of event,0.80,ok,Date/time recorded for an event; Date of event matches
225762,Sheath Cap Change,,,code-search returned no match for 'Sheath Cap Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Sheath Cap Change,,,,no-match,
225763,Sheath Change over Wire Date,416504003,Vascular line exchange over wire,,Sheath Change over Wire Date,416504003,Vascular line exchange over wire,0.85,ok,Sheath change over wire = vascular line exchange over wire; date/time is qualifier
225765,Sheath Dressing Change,18949003,Change of dressing,,Sheath Dressing Change,18949003,Change of dressing,0.85,ok,Sheath dressing change maps to Change of dressing; date/time is documentation attribute
225766,Sheath Insertion Date,,,code-search returned no match for 'Sheath Insertion Date' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Sheath Insertion Date,,,,no-match,
225769,Sheath Tubing Change,,,code-search returned no match for 'Sheath Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Sheath Tubing Change,,,,no-match,
226126,ICP Line Dressing Change,18949003,Change of dressing,,ICP Line Dressing Change,18949003,Change of dressing,0.85,ok,Core event is ICP line dressing change; base concept Change of dressing
226128,ICP Line Insertion Date,230940006,Insertion of intracranial pressure catheter,,ICP Line Insertion Date,230940006,Insertion of intracranial pressure catheter,0.85,ok,ICP line insertion maps to intracranial pressure catheter insertion procedure
226132,ICP Line Tubing Change,,,"code-search proposed 21151009 |Intracranial pressure monitor maintenance| at 0.70 for 'ICP Line Tubing Change', a generic device-care concept. It is equally true of this item's insertion, dressing, cap, tubing and wire changes, so mapping it here would make those distinct flowsheet columns indistinguishable.",ICP Line Tubing Change,21151009,Intracranial pressure monitor maintenance,0.70,device-care,No exact 'ICP line tubing change' code; maintenance is closest broader match
226482,Blood Clot Outdates,117073009,Blood product unit expired,,Blood Clot Outdates,117073009,Blood product unit expired,0.80,ok,Outdates refers to blood product expiry; FSN matches event
226515,Date of Birth,184099003,Date of birth,,Date of Birth,184099003,Date of birth,0.85,ok,FSN matches the event concept exactly
226516,Discharge Date/Time,442864001,Date of discharge,,Discharge Date/Time,442864001,Date of discharge,0.80,ok,Observable for discharge date/time; matches input concept
226518,Expected Discharge Date,442864001,Date of discharge,,Expected Discharge Date,442864001,Date of discharge,0.80,ok,Closest observable for expected discharge date
226532,Organ Bank Notified,,,code-search returned no match for 'Organ Bank Notified' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Organ Bank Notified,,,,no-match,
226719,Last menses,,,code-search returned no match for 'Last menses' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Last menses,,,,no-match,
226724,Hospital Admit Date,399423000,Date of admission,,Hospital Admit Date,399423000,Date of admission,0.85,ok,FSN captures hospital admit date; flowsheet context is qualifier
227126,Indwelling (PortaCath) Port #1 Date Accessed,397958003,Accessing of implantable venous access port,,Indwelling (PortaCath) Port Date Accessed,397958003,Accessing of implantable venous access port,0.85,ok,FSN matches PortaCath port access event; date/time is context
227197,Indwelling (PortaCath) Port #2 Date Accessed,397958003,Accessing of implantable venous access port,,Indwelling (PortaCath) Port Date Accessed,397958003,Accessing of implantable venous access port,0.85,ok,FSN matches PortaCath port access event; date/time is context
227198,Indwelling (PortaCath) Port #1 Date De-accessed,,,code-search returned no match for 'Indwelling (PortaCath) Port Date De-accessed' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Indwelling (PortaCath) Port Date De-accessed,,,,no-match,
227199,Indwelling (PortaCath) Port #2 Date De-accessed,,,code-search returned no match for 'Indwelling (PortaCath) Port Date De-accessed' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Indwelling (PortaCath) Port Date De-accessed,,,,no-match,
227361,Indwelling (PortaCath) Dressing Change,18949003,Change of dressing,,Indwelling (PortaCath) Dressing Change,18949003,Change of dressing,0.85,ok,Core concept is dressing change; PortaCath is context
227541,SvO2 Calibrated,,,"code-search proposed 250551006 |Venous oxygen saturation measurement| at 0.70 for 'SvO2 Calibrated', below the 0.8 threshold.",SvO2 Calibrated,250551006,Venous oxygen saturation measurement,0.70,below-threshold,SvO2 event; closest concept is venous oxygen saturation measurement
227542,ScvO2 (Presep) Calibrated,,,code-search returned no match for 'ScvO2 (Presep) Calibrated' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,ScvO2 (Presep) Calibrated,,,,no-match,
227584,GU Catheter D/C Date,439771001,Date of event,,GU Catheter D/C Date,439771001,Date of event,0.80,ok,Input is recording date/time for an event; observable matches
227720,AVA Cap Change,,,code-search returned no match for 'AVA Cap Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,AVA Cap Change,,,,no-match,
227721,AVA Change over Wire Date,439771001,Date of event,,AVA Change over Wire Date,439771001,Date of event,0.85,ok,Date/time recorded for an event; matches observable entity
227722,AVA Dressing Change,18949003,Change of dressing,,AVA Dressing Change,18949003,Change of dressing,0.80,ok,Core clinical concept is dressing change; AVA qualifier not separately coded
227724,AVA Insertion Date,439771001,Date of event,,AVA Insertion Date,439771001,Date of event,0.80,ok,Temporal observable capturing date of an event
227729,AVA Tubing Change,,,code-search returned no match for 'AVA Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,AVA Tubing Change,,,,no-match,
227790,Impaired Skin  - Dressing Change #1,18949003,Change of dressing,,Impaired Skin  - Dressing Change,18949003,Change of dressing,0.85,ok,FSN matches dressing change procedure; impaired skin is context
227791,Impaired Skin  - Dressing Change #2,18949003,Change of dressing,,Impaired Skin  - Dressing Change,18949003,Change of dressing,0.85,ok,FSN matches dressing change procedure; impaired skin is context
227792,Impaired Skin  - Dressing Change #3,18949003,Change of dressing,,Impaired Skin  - Dressing Change,18949003,Change of dressing,0.85,ok,FSN matches dressing change procedure; impaired skin is context
227793,Impaired Skin  - Dressing Change #4,18949003,Change of dressing,,Impaired Skin  - Dressing Change,18949003,Change of dressing,0.85,ok,FSN matches dressing change procedure; impaired skin is context
227794,Impaired Skin  - Dressing Change #5,18949003,Change of dressing,,Impaired Skin  - Dressing Change,18949003,Change of dressing,0.85,ok,FSN matches dressing change procedure; impaired skin is context
227795,Impaired Skin  - Dressing Change #6,18949003,Change of dressing,,Impaired Skin  - Dressing Change,18949003,Change of dressing,0.85,ok,FSN matches dressing change procedure; impaired skin is context
227796,Impaired Skin  - Dressing Change #7,18949003,Change of dressing,,Impaired Skin  - Dressing Change,18949003,Change of dressing,0.85,ok,FSN matches dressing change procedure; impaired skin is context
227797,Impaired Skin  - Dressing Change #8,18949003,Change of dressing,,Impaired Skin  - Dressing Change,18949003,Change of dressing,0.85,ok,FSN matches dressing change procedure; impaired skin is context
227798,Impaired Skin  - Dressing Change #9,18949003,Change of dressing,,Impaired Skin  - Dressing Change,18949003,Change of dressing,0.85,ok,FSN matches dressing change procedure; impaired skin is context
227800,Impaired Skin  - Dressing Change #10,18949003,Change of dressing,,Impaired Skin  - Dressing Change,18949003,Change of dressing,0.85,ok,FSN matches dressing change procedure; impaired skin is context
227817,Referral Date,,,"code-search proposed 3457005 |Patient referral| at 0.70 for 'Referral Date', below the 0.8 threshold.",Referral Date,3457005,Patient referral,0.70,below-threshold,Referral event; no date/time-specific code exists
227907,Date - Student,,,"code-search proposed 439771001 |Date of event| at 0.75 for 'Date - Student', below the 0.8 threshold.",Date - Student,439771001,Date of event,0.75,below-threshold,Closest observable entity capturing date/time of an event
227911,Date - Therapist,,,"code-search proposed 439771001 |Date of event| at 0.70 for 'Date - Therapist', below the 0.8 threshold.",Date - Therapist,439771001,Date of event,0.70,below-threshold,Date/time recorded for an event; closest match
228160,Impella Aortic Pressure Tubing Change,,,code-search returned no match for 'Impella Aortic Pressure Tubing Change' within (<<71388002 OR <<404684003 OR <<272379006 OR <<364713004).,Impella Aortic Pressure Tubing Change,,,,no-match,
