mimic_code,mimic_display,target_system,target_code,target_display,comment,method,join_rung,query,normalisation,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
225801,Lipids 20%,http://www.nlm.nih.gov/research/umls/rxnorm,200317,soybean oil 20 % Injectable Suspension,,code-search,,Lipids 20%,,200317,soybean oil 20 % Injectable Suspension,0.85,ok,20% IV lipid emulsion commonly refers to soy-based fat emulsion
225823,D5 1/2NS,http://www.nlm.nih.gov/research/umls/rxnorm,1795251,glucose 50 MG/ML / sodium chloride 4.5 MG/ML Injection,,code-search,,D5 1/2NS,,1795251,glucose 50 MG/ML / sodium chloride 4.5 MG/ML Injection,0.85,ok,D5 1/2NS = dextrose 5% in 0.45% NaCl; generic form matches without volume
225825,D5NS,http://www.nlm.nih.gov/research/umls/rxnorm,1795346,dextrose 5 % / sodium chloride 0.9 % in 1000 ML Injection,,code-search,,D5NS,,1795346,dextrose 5 % / sodium chloride 0.9 % in 1000 ML Injection,0.85,ok,D5NS = dextrose 5% in normal saline (0.9% NaCl)
225827,D5LR,http://www.nlm.nih.gov/research/umls/rxnorm,847627,lactated Ringers with dextrose 5 % Injectable Solution,,code-search,,D5LR,,847627,lactated Ringers with dextrose 5 % Injectable Solution,0.85,ok,D5LR = dextrose 5% in lactated Ringer's; FSN matches
225828,LR,http://www.nlm.nih.gov/research/umls/rxnorm,847630,lactated Ringers Injectable Solution,,code-search,,LR,,847630,lactated Ringers Injectable Solution,0.80,ok,LR commonly denotes lactated Ringer's solution
225830,Multivitamins,http://snomed.info/sct,412250002,Multivitamin agent,,code-search,,Multivitamins,,412250002,Multivitamin agent,0.95,ok,FSN matches generic input exactly
225832,Folic Acid,http://www.nlm.nih.gov/research/umls/rxnorm,4511,folic acid,,term-join,Q1-exact,Folic Acid,,,,,not-needed,
225833,Thiamine,http://www.nlm.nih.gov/research/umls/rxnorm,10454,thiamine,,term-join,Q1-exact,Thiamine,,,,,not-needed,
225834,K Phos,http://www.nlm.nih.gov/research/umls/rxnorm,34322,potassium phosphate,,term-join,Q2-salt,K Phos,,,,,not-needed,
225835,Na Phos,http://www.nlm.nih.gov/research/umls/rxnorm,36709,sodium phosphate,,term-join,Q2-salt,Na Phos,,,,,not-needed,
225837,Acyclovir,http://www.nlm.nih.gov/research/umls/rxnorm,281,acyclovir,,term-join,Q1-exact,Acyclovir,,,,,not-needed,
225838,Ambisome,http://www.nlm.nih.gov/research/umls/rxnorm,151338,AmBisome,,term-join,Q1-exact,Ambisome,,,,,not-needed,
225840,Amikacin,http://www.nlm.nih.gov/research/umls/rxnorm,641,amikacin,,term-join,Q1-exact,Amikacin,,,,,not-needed,
225842,Ampicillin,http://www.nlm.nih.gov/research/umls/rxnorm,733,ampicillin,,term-join,Q1-exact,Ampicillin,,,,,not-needed,
225843,Ampicillin/Sulbactam (Unasyn),http://www.nlm.nih.gov/research/umls/rxnorm,1009148,ampicillin / sulbactam,,term-join,Q3-paren,Ampicillin / Sulbactam (Unasyn),N2-slash,,,,not-needed,
225844,Atovaquone,http://www.nlm.nih.gov/research/umls/rxnorm,60212,atovaquone,,term-join,Q1-exact,Atovaquone,,,,,not-needed,
225845,Azithromycin,http://www.nlm.nih.gov/research/umls/rxnorm,18631,azithromycin,,term-join,Q1-exact,Azithromycin,,,,,not-needed,
225847,Aztreonam,http://www.nlm.nih.gov/research/umls/rxnorm,1272,aztreonam,,term-join,Q1-exact,Aztreonam,,,,,not-needed,
225848,Caspofungin,http://www.nlm.nih.gov/research/umls/rxnorm,140108,caspofungin,,term-join,Q1-exact,Caspofungin,,,,,not-needed,
225850,Cefazolin,http://www.nlm.nih.gov/research/umls/rxnorm,2180,cefazolin,,term-join,Q1-exact,Cefazolin,,,,,not-needed,
225851,Cefepime,http://www.nlm.nih.gov/research/umls/rxnorm,20481,cefepime,,term-join,Q1-exact,Cefepime,,,,,not-needed,
225853,Ceftazidime,http://www.nlm.nih.gov/research/umls/rxnorm,2191,ceftazidime,,term-join,Q1-exact,Ceftazidime,,,,,not-needed,
225855,Ceftriaxone,http://www.nlm.nih.gov/research/umls/rxnorm,2193,ceftriaxone,,term-join,Q1-exact,Ceftriaxone,,,,,not-needed,
225859,Ciprofloxacin,http://www.nlm.nih.gov/research/umls/rxnorm,2551,ciprofloxacin,,term-join,Q1-exact,Ciprofloxacin,,,,,not-needed,
225860,Clindamycin,http://www.nlm.nih.gov/research/umls/rxnorm,2582,clindamycin,,term-join,Q1-exact,Clindamycin,,,,,not-needed,
225862,Colistin,http://www.nlm.nih.gov/research/umls/rxnorm,2709,colistin,,term-join,Q1-exact,Colistin,,,,,not-needed,
225863,Daptomycin,http://www.nlm.nih.gov/research/umls/rxnorm,22299,daptomycin,,term-join,Q1-exact,Daptomycin,,,,,not-needed,
225865,Doxycycline,http://www.nlm.nih.gov/research/umls/rxnorm,3640,doxycycline,,term-join,Q1-exact,Doxycycline,,,,,not-needed,
225866,Erythromycin,http://www.nlm.nih.gov/research/umls/rxnorm,4053,erythromycin,,term-join,Q1-exact,Erythromycin,,,,,not-needed,
225868,Ethambutol,http://www.nlm.nih.gov/research/umls/rxnorm,4110,ethambutol,,term-join,Q1-exact,Ethambutol,,,,,not-needed,
225869,Fluconazole,http://www.nlm.nih.gov/research/umls/rxnorm,4450,fluconazole,,term-join,Q1-exact,Fluconazole,,,,,not-needed,
225871,Foscarnet,http://www.nlm.nih.gov/research/umls/rxnorm,33562,foscarnet,,term-join,Q1-exact,Foscarnet,,,,,not-needed,
225873,Gancyclovir,,,,"code-search proposed 372848001 'Ganciclovir' at 0.65, below the 0.8 threshold.",code-search,,Gancyclovir,,372848001,Ganciclovir,0.65,below-threshold,
225875,Gentamicin,http://www.nlm.nih.gov/research/umls/rxnorm,1596450,gentamicin,,term-join,Q1-exact,Gentamicin,,,,,not-needed,
225876,Imipenem/Cilastatin,http://www.nlm.nih.gov/research/umls/rxnorm,34482,cilastatin / imipenem,,code-search,,Imipenem / Cilastatin,N2-slash,34482,cilastatin / imipenem,0.92,ok,
225877,Isoniazid,http://www.nlm.nih.gov/research/umls/rxnorm,6038,isoniazid,,term-join,Q1-exact,Isoniazid,,,,,not-needed,
225879,Levofloxacin,http://www.nlm.nih.gov/research/umls/rxnorm,82122,levofloxacin,,term-join,Q1-exact,Levofloxacin,,,,,not-needed,
225881,Linezolid,http://www.nlm.nih.gov/research/umls/rxnorm,190376,linezolid,,term-join,Q1-exact,Linezolid,,,,,not-needed,
225883,Meropenem,http://www.nlm.nih.gov/research/umls/rxnorm,29561,meropenem,,term-join,Q1-exact,Meropenem,,,,,not-needed,
225884,Metronidazole,http://www.nlm.nih.gov/research/umls/rxnorm,6922,metronidazole,,term-join,Q1-exact,Metronidazole,,,,,not-needed,
225885,Micafungin,http://www.nlm.nih.gov/research/umls/rxnorm,325887,micafungin,,term-join,Q1-exact,Micafungin,,,,,not-needed,
225886,Moxifloxacin,http://www.nlm.nih.gov/research/umls/rxnorm,139462,moxifloxacin,,term-join,Q1-exact,Moxifloxacin,,,,,not-needed,
225888,Nafcillin,http://www.nlm.nih.gov/research/umls/rxnorm,7233,nafcillin,,term-join,Q1-exact,Nafcillin,,,,,not-needed,
225890,Penicillin G potassium,http://www.nlm.nih.gov/research/umls/rxnorm,203133,penicillin G potassium,,term-join,Q1-exact,Penicillin G potassium,,,,,not-needed,
225892,Piperacillin,http://www.nlm.nih.gov/research/umls/rxnorm,8339,piperacillin,,term-join,Q1-exact,Piperacillin,,,,,not-needed,
225893,Piperacillin/Tazobactam (Zosyn),http://www.nlm.nih.gov/research/umls/rxnorm,74169,piperacillin / tazobactam,,term-join,Q3-paren,Piperacillin / Tazobactam (Zosyn),N2-slash,,,,not-needed,
225895,Pyrazinamide,http://www.nlm.nih.gov/research/umls/rxnorm,8987,pyrazinamide,,term-join,Q1-exact,Pyrazinamide,,,,,not-needed,
225896,Quinine,http://www.nlm.nih.gov/research/umls/rxnorm,9071,quinine,,term-join,Q1-exact,Quinine,,,,,not-needed,
225898,Rifampin,http://www.nlm.nih.gov/research/umls/rxnorm,9384,rifampin,,term-join,Q1-exact,Rifampin,,,,,not-needed,
225899,Bactrim (SMX/TMP),http://www.nlm.nih.gov/research/umls/rxnorm,151399,Bactrim,,term-join,Q3-paren,Bactrim (SMX/TMP),,,,,not-needed,
225902,Tobramycin,http://www.nlm.nih.gov/research/umls/rxnorm,10627,tobramycin,,term-join,Q1-exact,Tobramycin,,,,,not-needed,
225903,Valgancyclovir,,,,"code-search proposed 395266000 'Valganciclovir' at 0.65, below the 0.8 threshold.",code-search,,Valgancyclovir,,395266000,Valganciclovir,0.65,below-threshold,
225905,Voriconazole,http://www.nlm.nih.gov/research/umls/rxnorm,121243,voriconazole,,term-join,Q1-exact,Voriconazole,,,,,not-needed,
225906,Enoxaparin (Lovenox),http://www.nlm.nih.gov/research/umls/rxnorm,67108,enoxaparin,,term-join,Q3-paren,Enoxaparin (Lovenox),,,,,not-needed,
225907,Famotidine (Pepcid),http://www.nlm.nih.gov/research/umls/rxnorm,4278,famotidine,,term-join,Q3-paren,Famotidine (Pepcid),,,,,not-needed,
225908,Fondaparinux,http://www.nlm.nih.gov/research/umls/rxnorm,321208,fondaparinux,,term-join,Q1-exact,Fondaparinux,,,,,not-needed,
225909,Lansoprazole (Prevacid),http://www.nlm.nih.gov/research/umls/rxnorm,17128,lansoprazole,,term-join,Q3-paren,Lansoprazole (Prevacid),,,,,not-needed,
225910,Pantoprazole (Protonix),http://www.nlm.nih.gov/research/umls/rxnorm,40790,pantoprazole,,term-join,Q3-paren,Pantoprazole (Protonix),,,,,not-needed,
225911,Ranitidine (Prophylaxis),http://www.nlm.nih.gov/research/umls/rxnorm,9143,ranitidine,,term-join,Q3-paren,Ranitidine (Prophylaxis),,,,,not-needed,
225912,Carafate (Sucralfate),http://www.nlm.nih.gov/research/umls/rxnorm,227743,Carafate,,term-join,Q3-paren,Carafate (Sucralfate),,,,,not-needed,
225913,Coumadin (Warfarin),http://www.nlm.nih.gov/research/umls/rxnorm,202421,Coumadin,,term-join,Q3-paren,Coumadin (Warfarin),,,,,not-needed,
225914,Factor VIIa,http://www.nlm.nih.gov/research/umls/rxnorm,4256,factor VIIa,,term-join,Q1-exact,Factor VIIa,,,,,not-needed,
225915,Profilnine,http://www.nlm.nih.gov/research/umls/rxnorm,1670388,Profilnine,,term-join,Q1-exact,Profilnine,,,,,not-needed,
225916,TPN w/ Lipids,http://snomed.info/sct,789708003,Total parenteral nutrition agent,,code-search,,TPN w/ Lipids,,789708003,Total parenteral nutrition agent,0.85,ok,TPN = total parenteral nutrition; lipids are a component of TPN
225917,TPN without Lipids,http://snomed.info/sct,789708003,Total parenteral nutrition agent,,code-search,,TPN without Lipids,,789708003,Total parenteral nutrition agent,0.85,ok,TPN base concept; 'without lipids' is a non-coded qualifier
225920,Peripheral Parenteral Nutrition,,,,"code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK), its ingredient-only subset, or SNOMED CT <<410942007 OR <<763158003 OR <<256906008 OR <<410652009.",code-search,,Peripheral Parenteral Nutrition,,,,,no-match,
225928,Impact with Fiber (Full),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Impact with Fiber,N1-rate,,,,not-searchable,
225929,ProBalance (Full),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,ProBalance,N1-rate,,,,not-searchable,
225930,Peptamen 1.5 (Full),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Peptamen 1.5,N1-rate,,,,not-searchable,
225931,Nutren 2.0 (Full),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Nutren 2.0,N1-rate,,,,not-searchable,
225934,Vivonex (Full),,,,"Not sent to code-search: the label carries an ICU rate fraction, so it records how much of a prescribed tube feed was running. RxNorm holds no concept for any of these branded enteral formulas at any term type — measured by expanding the whole code system with no term-type filter, not assumed — and SNOMED CT answers them only with a nutritional-supplement class code or with a lexical collision on the brand name.",rate-fraction,,Vivonex,N1-rate,,,,not-searchable,
