mimic_code,mimic_display,ucum_code,ucum_display,comment,tier,source_valid_ucum,source_canonical,target_canonical,dimension_changed
(100 mcg/mL),(100 mcg/mL),,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
(1250 mg),(1250 mg),,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
(18 mg/3 mL),(18 mg/3 mL),,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
(2 mg/mL),(2 mg/mL),,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
(21)/75 mg (7),(21)/75 mg (7),,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
(24)/75 mg (4),(24)/75 mg (4),,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
(25 mg/2.5gram),(25 mg/2.5gram),,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
(3 mL),(3 mL),,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
(300 mcg),(300 mcg),,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
(4 mg/mL),(4 mg/mL),,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
(50 mg/5 gram),(50 mg/5 gram),,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
(500 mg),(500 mg),,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
(60 mg/mL),(60 mg/mL),,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
(65 mg iron),(65 mg iron),,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
(84)/10 mcg (7),(84)/10 mcg (7),,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
(morphine),(morphine),,,"Names the substance, not a unit. Morphine-equivalent dosing has no UCUM expression.",declined,no,,,
*IV~mL~mL~,*IV~mL~mL~,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
*IV~mcg~mL~,*IV~mcg~mL~,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
+/-,+/-,,,"A qualitative result marker on HCG, Urine, Qualitative. Not a unit; the value it accompanies is not a measured quantity.",declined,no,,,
-,-,,,"A placeholder for a missing unit, not a unit.",declined,no,,,
"-109,000 unit","-109,000 unit",,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
-12 gram/160 mL,-12 gram/160 mL,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
-120000 unit,-120000 unit,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
-125 unit,-125 unit,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
-200 mg,-200 mg,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
-60000 unit,-60000 unit,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
/ 0 Units,/ 0 Units,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
/0mg,/0mg,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,yes,(uncanonicalisable) x,,
/hour,/hour,/h,/h,,curated,no,,s-1 x0.00027777777777777777777777777777777777777777777778,
/hpf,/hpf,/[HPF],/[HPF],,curated,no,,1 x1,
/hr,/hr,/h,/h,,curated,no,,s-1 x0.00027777777777777777777777777777777777777777777778,
/min,/min,/min,/min,,curated,yes,s-1 x0.01666666666666666666666666666666666666666666666667,s-1 x0.01666666666666666666666666666666666666666666666667,no
/mm3,/mm3,/mm3,/mm3,,curated,yes,m-3 x1000000000,m-3 x1000000000,no
0,0,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,yes,1 x0,,
0.8 mg,0.8 mg,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
0/mg,0/mg,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,yes,g-1 x0,,
1 mg/mL,1 mg/mL,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
100,100,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,yes,1 x100,,
1000ML NS,1000ML NS,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
150,150,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,yes,1 x150,,
15000 unit,15000 unit,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
"180,000 unit","180,000 unit",,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
180000 unit,180000 unit,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
200,200,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,yes,1 x200,,
250,250,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,yes,1 x250,,
300,300,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,yes,1 x300,,
350,350,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,yes,1 x350,,
400,400,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,yes,1 x400,,
450,450,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,yes,1 x450,,
4ML,4ML,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
50,50,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,yes,1 x50,,
50 units/ml,50 units/ml,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
500,500,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,yes,1 x500,,
550,550,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,yes,1 x550,,
600,600,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,yes,1 x600,,
60mg,60mg,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
61500 unit,61500 unit,,,"Records a quantity or an ETL accident rather than a unit of measure — it carries a digit, a backslash, a tilde or an asterisk, or is wrapped in parentheses. Declined by a stated rule applied uniformly to every source string no explicit answer above covers, rather than row by row. Where a whole dose was written into the unit column (`(1,000 mg)`, `mEq / 250 mL NS`) the fix is in the ETL that filled it, not here: a ConceptMap can supply a unit, never split a value out of one.",declined-by-rule,no,,,
AERA,AERA,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
AERO,AERO,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
AMP,AMP,{ampule},{ampule},,dose-form,no,,1 x1,
Appl,Appl,{applicator},{applicator},,dose-form,no,,1 x1,
BAG,BAG,{bag},{bag},,dose-form,no,,1 x1,
BAGS,BAGS,{bag},{bag},,dose-form,no,,1 x1,
BTL,BTL,{bottle},{bottle},,dose-form,no,,1 x1,
BU,BU,[beth'U],[beth'U],"Bethesda units, on Factor IX Inhibitor. One occurrence in the whole warehouse.",curated,no,,(arbitrary) x,
BULK,BULK,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
Bottle,Bottle,{bottle},{bottle},,dose-form,no,,1 x1,
CADD,CADD,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
CAN,CAN,{can},{can},,dose-form,no,,1 x1,
CAP,CAP,{capsule},{capsule},,dose-form,no,,1 x1,
CART,CART,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
CON,CON,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
CONC,CONC,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
CPT,CPT,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
CRE,CRE,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
CREA,CREA,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
CUP,CUP,{cup},{cup},,dose-form,no,,1 x1,
Cap,Cap,{capsule},{capsule},,dose-form,no,,1 x1,
DBTL,DBTL,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
DEV,DEV,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
DOSE,DOSE,{dose},{dose},,dose-form,no,,1 x1,
DROP,DROP,{drop},{drop},,dose-form,no,,1 x1,
DROPS,DROPS,{drop},{drop},,dose-form,no,,1 x1,
DROPs,DROPs,{drop},{drop},,dose-form,no,,1 x1,
DRP,DRP,{drop},{drop},,dose-form,no,,1 x1,
Degree,Degree,deg,deg,"Head of Bed Measurement: an angle in degrees of arc, not a temperature.",curated,no,,rad x0.01745329251994329576923690768488612713442871888543121719498786903828205619281457556837420964177500047,
Dose,Dose,{dose},{dose},,dose-form,no,,1 x1,
Drop,Drop,{drop},{drop},,dose-form,no,,1 x1,
EA,EA,{each},{each},"`EA` is `each`, a dispensing count. As UCUM it parses — as the EXA-AMPERE, 10^18 amperes. Found by _check_dimension rather than by reading the table, which is the whole argument for that gate: it is the same class as `K/uL` and `N/A`, and nobody had noticed it.",dose-form,yes,C.s-1 x1000000000000000000,1 x1,yes
EFT,EFT,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
ELIX,ELIX,,,"A preparation descriptor rather than a quantity: it answers what kind of product this is, not how much was given. Unlike the countable dose forms it cannot be annotated, because annotating it would attach a number to something no number was recorded for.",declined,no,,,
ENE,ENE,{enema},{enema},,dose-form,no,,1 x1,
