mimic_code,mimic_display,rxnorm_code,rxnorm_display,comment,method,join_rung,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
000300,Minoxidil,6984,minoxidil,,term-join,Q1-exact,,,,not-needed,
000301,terazosin,37798,terazosin,,term-join,Q1-exact,,,,not-needed,
000302,terazosin,37798,terazosin,,term-join,Q1-exact,,,,not-needed,
000303,terazosin,37798,terazosin,,term-join,Q1-exact,,,,not-needed,
000304,terazosin,37798,terazosin,,term-join,Q1-exact,,,,not-needed,
000326,reserpine,9260,reserpine,,term-join,Q1-exact,,,,not-needed,
000327,reserpine,9260,reserpine,,term-join,Q1-exact,,,,not-needed,
000340,clonidine-chlorthalidone [Clorpres],216099,Clorpres,,term-join,B5-brand,,,,not-needed,
000341,clonidine-chlorthalidone,214418,chlorthalidone / clonidine,,code-search,,214418,chlorthalidone / clonidine,0.95,ok,FSN matches the combination drug exactly
000342,clonidine-chlorthalidone,214418,chlorthalidone / clonidine,,code-search,,214418,chlorthalidone / clonidine,0.95,ok,FSN matches the combination drug exactly
000343,clonidine [Catapres-TTS-1],2599,clonidine,,term-join,B1-generic,,,,not-needed,
000344,clonidine [Catapres-TTS-2],2599,clonidine,,term-join,B1-generic,,,,not-needed,
000345,clonidine [Catapres-TTS-3],2599,clonidine,,term-join,B1-generic,,,,not-needed,
000346,clonidine HCl [Catapres],142432,clonidine hydrochloride,,term-join,B2-generic-salt,,,,not-needed,
000347,clonidine HCl [Catapres],142432,clonidine hydrochloride,,term-join,B2-generic-salt,,,,not-needed,
000348,clonidine HCl [Catapres],142432,clonidine hydrochloride,,term-join,B2-generic-salt,,,,not-needed,
000360,methyldopa,6876,methyldopa,,term-join,Q1-exact,,,,not-needed,
000361,Methyldopa,6876,methyldopa,,term-join,Q1-exact,,,,not-needed,
000362,methyldopa,6876,methyldopa,,term-join,Q1-exact,,,,not-needed,
000364,Tenex,71556,Tenex,,term-join,Q1-exact,,,,not-needed,
000373,mecamylamine,6673,mecamylamine,,term-join,Q1-exact,,,,not-needed,
000374,captopril-hydrochlorothiazide,214357,captopril / hydrochlorothiazide,,code-search,,214357,captopril / hydrochlorothiazide,0.95,ok,Generic combination product matches input exactly
000375,captopril-hydrochlorothiazide,214357,captopril / hydrochlorothiazide,,code-search,,214357,captopril / hydrochlorothiazide,0.95,ok,Generic combination product matches input exactly
000378,captopril,1998,captopril,,term-join,Q1-exact,,,,not-needed,
000379,Captopril,1998,captopril,,term-join,Q1-exact,,,,not-needed,
000380,CAPTopril 25mg TAB,317173,captopril 25 MG Oral Tablet,,code-search,,317173,captopril 25 MG Oral Tablet,0.97,ok,FSN matches captopril 25mg tablet exactly
000381,Captopril,1998,captopril,,term-join,Q1-exact,,,,not-needed,
000382,Enalapril-Hydrochlorothiazide,214536,enalapril / hydrochlorothiazide,,code-search,,214536,enalapril / hydrochlorothiazide,0.95,ok,FSN matches the combination drug exactly
000383,Enalaprilat,3829,enalaprilat,,term-join,Q1-exact,,,,not-needed,
000384,Vasotec,224921,Vasotec,,term-join,Q1-exact,,,,not-needed,
000385,Vasotec,224921,Vasotec,,term-join,Q1-exact,,,,not-needed,
000386,Vasotec,224921,Vasotec,,term-join,Q1-exact,,,,not-needed,
000387,Vasotec,224921,Vasotec,,term-join,Q1-exact,,,,not-needed,
000388,Zestoretic,85783,Zestoretic,,term-join,Q1-exact,,,,not-needed,
000389,Zestoretic,85783,Zestoretic,,term-join,Q1-exact,,,,not-needed,
000390,Zestril,196472,Zestril,,term-join,Q1-exact,,,,not-needed,
000391,Zestril,196472,Zestril,,term-join,Q1-exact,,,,not-needed,
000392,Zestril,196472,Zestril,,term-join,Q1-exact,,,,not-needed,
000393,Zestril,196472,Zestril,,term-join,Q1-exact,,,,not-needed,
000407,propranolol-hydrochlorothiazid,214623,hydrochlorothiazide / propranolol,,code-search,,214623,hydrochlorothiazide / propranolol,0.90,ok,Generic combination product matches input exactly
000410,propranolol-hydrochlorothiazid,214623,hydrochlorothiazide / propranolol,,code-search,,214623,hydrochlorothiazide / propranolol,0.90,ok,Generic combination product matches input exactly
000412,metoprolol ta-hydrochlorothiaz,214621,hydrochlorothiazide / metoprolol,,code-search,,214621,hydrochlorothiazide / metoprolol,0.90,ok,Combination product matches metoprolol + hydrochlorothiazide
000413,metoprolol ta-hydrochlorothiaz [Lopressor HCT],218072,Lopressor HCT,,term-join,B5-brand,,,,not-needed,
000414,metoprolol ta-hydrochlorothiaz,214621,hydrochlorothiazide / metoprolol,,code-search,,214621,hydrochlorothiazide / metoprolol,0.90,ok,Combination product matches metoprolol + hydrochlorothiazide
000419,Tenoretic 100,197382,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet,,code-search,,197382,atenolol 100 MG / chlorthalidone 25 MG Oral Tablet,0.85,ok,Tenoretic 100 is atenolol 100mg/chlorthalidone 25mg tablet
000420,Tenoretic 50,152916,atenolol 50 MG / chlorthalidone 12.5 MG Oral Tablet,,code-search,,152916,atenolol 50 MG / chlorthalidone 12.5 MG Oral Tablet,0.85,ok,Tenoretic 50 is atenolol 50mg/chlorthalidone 12.5mg tablet
000435,iohexol,5956,iohexol,,term-join,Q1-exact,,,,not-needed,
000454,Nitrotab,541854,Nitrotab,,term-join,Q1-exact,,,,not-needed,
000455,Nitro-Time,4917,nitroglycerin,,code-search,,4917,nitroglycerin,0.85,ok,Nitro-Time is a brand of nitroglycerin; generic ingredient matches
000456,Nitroglycerin,4917,nitroglycerin,,term-join,Q1-exact,,,,not-needed,
000464,Nitroglycerin Ointment  2%,242946,nitroglycerin 2 % Topical Ointment,,code-search,,242946,nitroglycerin 2 % Topical Ointment,0.97,ok,FSN matches input exactly
000465,nitroglycerin [Nitro-Dur],4917,nitroglycerin,,term-join,B1-generic,,,,not-needed,
000466,nitroglycerin [Nitro-Dur],4917,nitroglycerin,,term-join,B1-generic,,,,not-needed,
000467,nitroglycerin [Nitro-Dur],4917,nitroglycerin,,term-join,B1-generic,,,,not-needed,
000468,nitroglycerin [Nitro-Dur],4917,nitroglycerin,,term-join,B1-generic,,,,not-needed,
000469,nitroglycerin [Nitro-Dur],4917,nitroglycerin,,term-join,B1-generic,,,,not-needed,
000470,nitroglycerin,4917,nitroglycerin,,term-join,Q1-exact,,,,not-needed,
000474,Nitrostat,202525,Nitrostat,,term-join,Q1-exact,,,,not-needed,
000475,Nitrostat,202525,Nitrostat,,term-join,Q1-exact,,,,not-needed,
000476,Nitrostat,202525,Nitrostat,,term-join,Q1-exact,,,,not-needed,
000477,nitroglycerin,4917,nitroglycerin,,term-join,Q1-exact,,,,not-needed,
000505,isosorbide dinitrate [Dilatrate-SR],6058,isosorbide dinitrate,,term-join,B1-generic,,,,not-needed,
000507,Isosorbide Dinitrate 10mg TAB,381056,isosorbide dinitrate 10 MG Oral Tablet,,code-search,,381056,isosorbide dinitrate 10 MG Oral Tablet,0.90,ok,TAB indicates oral tablet; matches strength and form
000508,Isosorbide Dinitrate,6058,isosorbide dinitrate,,term-join,Q1-exact,,,,not-needed,
000509,Isosorbide Dinitrate,6058,isosorbide dinitrate,,term-join,Q1-exact,,,,not-needed,
000510,isosorbide dinitrate [Isordil],6058,isosorbide dinitrate,,term-join,B1-generic,,,,not-needed,
000511,isosorbide dinitrate [Isordil Titradose],6058,isosorbide dinitrate,,term-join,B1-generic,,,,not-needed,
000512,isosorbide dinitrate,6058,isosorbide dinitrate,,term-join,Q1-exact,,,,not-needed,
000514,isosorbide dinitrate [IsoDitrate],6058,isosorbide dinitrate,,term-join,B1-generic,,,,not-needed,
000516,isosorbide dinitrate,6058,isosorbide dinitrate,,term-join,Q1-exact,,,,not-needed,
000524,papaverine,7895,papaverine,,term-join,Q1-exact,,,,not-needed,
000527,papaverine,7895,papaverine,,term-join,Q1-exact,,,,not-needed,
000557,alprostadil,598,alprostadil,,term-join,Q1-exact,,,,not-needed,
000560,ethanolamine oleate [Ethamolin],24460,ethanolamine oleate,,term-join,B1-generic,,,,not-needed,
000561,Verapamil 5mg/2mL 2mL VIAL,1665057,verapamil HCl 5 MG in 2 ML Injection,,code-search,,1665057,verapamil HCl 5 MG in 2 ML Injection,0.85,ok,FSN matches concentration 5mg/2mL; vial presentation
000563,Verapamil 5mg/2mL 2mL VIAL,1665057,verapamil HCl 5 MG in 2 ML Injection,,code-search,,1665057,verapamil HCl 5 MG in 2 ML Injection,0.85,ok,FSN matches concentration 5mg/2mL; vial presentation
000564,verapamil [Calan],11170,verapamil,,term-join,B1-generic,,,,not-needed,
000565,Verapamil,11170,verapamil,,term-join,Q1-exact,,,,not-needed,
000566,verapamil [Calan],11170,verapamil,,term-join,B1-generic,,,,not-needed,
000567,verapamil [Calan SR],11170,verapamil,,term-join,B1-generic,,,,not-needed,
000568,Procardia,203423,Procardia,,term-join,Q1-exact,,,,not-needed,
000569,Nifedipine,7417,nifedipine,,term-join,Q1-exact,,,,not-needed,
000570,Diltiazem HCl,203211,diltiazem hydrochloride,,term-join,Q2-salt,,,,not-needed,
000571,Diltiazem HCl,203211,diltiazem hydrochloride,,term-join,Q2-salt,,,,not-needed,
000572,Diltiazem HCl,203211,diltiazem hydrochloride,,term-join,Q2-salt,,,,not-needed,
000573,diltiazem HCl [Cardizem],203211,diltiazem hydrochloride,,term-join,B2-generic-salt,,,,not-needed,
000574,diltiazem HCl [Cardizem],203211,diltiazem hydrochloride,,term-join,B2-generic-salt,,,,not-needed,
000575,diltiazem HCl [Cardizem],203211,diltiazem hydrochloride,,term-join,B2-generic-salt,,,,not-needed,
000576,diltiazem HCl [Cardizem],203211,diltiazem hydrochloride,,term-join,B2-generic-salt,,,,not-needed,
000577,Nicardipine,7396,nicardipine,,term-join,Q1-exact,,,,not-needed,
000578,nicardipine,7396,nicardipine,,term-join,Q1-exact,,,,not-needed,
000579,NiMODipine 30mg CAP,198037,niMODipine 30 MG Oral Capsule,,code-search,,198037,niMODipine 30 MG Oral Capsule,0.97,ok,CAP indicates capsule; matches form and strength
000584,sodium chloride,9863,sodium chloride,,term-join,Q1-exact,,,,not-needed,
000585,sodium chloride,9863,sodium chloride,,term-join,Q1-exact,,,,not-needed,
000586,Sodium Chloride,9863,sodium chloride,,term-join,Q1-exact,,,,not-needed,
000587,sodium chloride,9863,sodium chloride,,term-join,Q1-exact,,,,not-needed,
000588,sodium chloride [NebuSal],9863,sodium chloride,,term-join,B1-generic,,,,not-needed,
000591,Acetylcysteine 20% (Oral),544419,acetylcysteine 200 MG/ML Oral Solution,,code-search,,544419,acetylcysteine 200 MG/ML Oral Solution,0.90,ok,20% equals 200 MG/ML; oral solution matches
000592,Acetylcysteine 20% (Oral),544419,acetylcysteine 200 MG/ML Oral Solution,,code-search,,544419,acetylcysteine 200 MG/ML Oral Solution,0.90,ok,20% equals 200 MG/ML; oral solution matches
000610,codeine-guaifenesin,214442,codeine / guaifenesin,,code-search,,214442,codeine / guaifenesin,0.95,ok,FSN matches input exactly
000625,Tussin CF Cough-Cold,,,"code-search proposed 214494 'dextromethorphan / guaifenesin / phenylephrine' at 0.80, below the 0.85 threshold.",code-search,,214494,dextromethorphan / guaifenesin / phenylephrine,0.80,below-threshold,Tussin CF Cough-Cold brand maps to this ingredient combination
000650,dextromethorphan-guaifenesin,214488,dextromethorphan / guaifenesin,,code-search,,214488,dextromethorphan / guaifenesin,0.97,ok,FSN matches input exactly
000652,Tussin DM Max,214488,dextromethorphan / guaifenesin,,code-search,,214488,dextromethorphan / guaifenesin,0.85,ok,Tussin DM is dextromethorphan/guaifenesin; Max is strength qualifier
000653,Tussin DM,214488,dextromethorphan / guaifenesin,,code-search,,214488,dextromethorphan / guaifenesin,0.85,ok,Tussin DM is dextromethorphan/guaifenesin combination
000702,phenylephrine-guaifenesin,214597,guaifenesin / phenylephrine,,code-search,,214597,guaifenesin / phenylephrine,0.95,ok,FSN matches the two-ingredient combination exactly
000728,pseudoephedrine-codeine-GG [Guaifenesin DAC],466489,codeine / guaifenesin / pseudoephedrine,,code-search,,466489,codeine / guaifenesin / pseudoephedrine,0.95,ok,FSN matches the three-ingredient combination exactly
000749,GUIAFEN-PSE,214599,guaifenesin / pseudoephedrine,,code-search,,214599,guaifenesin / pseudoephedrine,0.95,ok,FSN matches input exactly
000755,pseudoephedrine-guaifenesin,214599,guaifenesin / pseudoephedrine,,code-search,,214599,guaifenesin / pseudoephedrine,0.97,ok,FSN matches the two-ingredient combination exactly
000756,guaifenesin,5032,guaifenesin,,term-join,Q1-exact,,,,not-needed,
000757,guaifenesin,5032,guaifenesin,,term-join,Q1-exact,,,,not-needed,
000758,guaifenesin [Liquituss GG],5032,guaifenesin,,term-join,B1-generic,,,,not-needed,
000759,Tussin,579827,Tussinate,,code-search,,579827,Tussinate,0.85,ok,
000760,guaifenesin,5032,guaifenesin,,term-join,Q1-exact,,,,not-needed,
000761,guaifenesin [Mucus Relief],5032,guaifenesin,,term-join,B1-generic,,,,not-needed,
000762,Mucus Relief ER,5032,guaifenesin,,code-search,,5032,guaifenesin,0.85,ok,Brand name 'Mucus Relief ER' refers to guaifenesin extended-release; ingredient matches
000841,promethazine-codeine,214444,codeine / promethazine,,code-search,,214444,codeine / promethazine,0.95,ok,FSN matches the two-ingredient combination exactly
000845,hydrocodone-homatropine,214614,homatropine / hydrocodone,,code-search,,214614,homatropine / hydrocodone,0.90,ok,Generic combination matches input without dose-form specificity
000846,Tussigon,220542,Tussigon,,term-join,Q1-exact,,,,not-needed,
000852,hydrocodone-chlorpheniramine,214392,chlorpheniramine / hydrocodone,,code-search,,214392,chlorpheniramine / hydrocodone,0.95,ok,Exact two-ingredient combination matches input
000867,Coricidin HBP Cold & Flu,214390,chlorpheniramine / dextromethorphan,,code-search,,214390,chlorpheniramine / dextromethorphan,0.85,ok,Coricidin HBP Cold & Flu contains chlorpheniramine and dextromethorphan
000916,doxylamine-dextromethorphan,815166,dextromethorphan / doxylamine,,code-search,,815166,dextromethorphan / doxylamine,0.95,ok,Exact two-ingredient combination match
000918,chlorpheniramine-DM,214390,chlorpheniramine / dextromethorphan,,code-search,,214390,chlorpheniramine / dextromethorphan,0.85,ok,FSN matches input exactly
001104,Tylenol Allergy Sinus Day Time,689786,acetaminophen / diphenhydramine / pseudoephedrine,,code-search,,689786,acetaminophen / diphenhydramine / pseudoephedrine,0.85,ok,Tylenol Allergy Sinus Daytime contains these three ingredients; generic combination matches
001108,pseudoephedrine-acetaminophen,214187,acetaminophen / pseudoephedrine,,code-search,,214187,acetaminophen / pseudoephedrine,0.95,ok,FSN matches the two-ingredient combination exactly
001150,Nasal Decongestant,,,code-search returned no match within (http://www.nlm.nih.gov/research/umls/rxnorm)(TTY=IN;TTY=PIN;TTY=MIN;TTY=BN;TTY=SCD;TTY=GPCK;TTY=BPCK) or its ingredient-only subset.,code-search,,,,,no-match,
001151,Wal-Act,1014651,Wal-Act,,term-join,Q1-exact,,,,not-needed,
001156,menthol,6750,menthol,,term-join,Q1-exact,,,,not-needed,
001164,water,11295,water,,term-join,Q1-exact,,,,not-needed,
001165,"water for injection, sterile [Sterile Water for Injection]",107129,sterile water,,code-search,,107129,sterile water,0.85,ok,Closest match to sterile water for injection
001167,Sterile Water 20mL VIAL,107129,sterile water,,code-search,,107129,sterile water,0.85,ok,FSN matches sterile water; 20mL vial is packaging detail
001168,water for inhal with nebulizer,204918,water 100 % Inhalation Solution,,code-search,,204918,water 100 % Inhalation Solution,0.85,ok,Water for inhalation; nebulizer is delivery device
001171,"water for inhalation, sterile",,,"code-search proposed 107129 'sterile water' at 0.80, below the 0.85 threshold.",code-search,,107129,sterile water,0.80,below-threshold,Sterile water matches; inhalation is a use qualifier not separately coded
001177,sodium bicarbonate,36676,sodium bicarbonate,,term-join,Q1-exact,,,,not-needed,
001179,sodium bicarbonate,36676,sodium bicarbonate,,term-join,Q1-exact,,,,not-needed,
001181,Sodium Bicarbonate 8.4%,36676,sodium bicarbonate,,code-search,,36676,sodium bicarbonate,0.85,ok,Base concept matches; 8.4% is a concentration qualifier not separately coded
001183,Sodium Bicarbonate 4.2% (Neut),1868469,sodium bicarbonate 4.2 % (2.5 MEQ) in 5 ML Injection,,code-search,,1868469,sodium bicarbonate 4.2 % (2.5 MEQ) in 5 ML Injection,0.85,ok,Matches 4.2% sodium bicarbonate concentration; Neut is brand qualifier
001185,Sodium Bicarbonate 8.4% (Nephron),36676,sodium bicarbonate,,code-search,,36676,sodium bicarbonate,0.85,ok,Base ingredient matches; concentration and brand are qualifiers
001187,lactated ringers,847630,lactated Ringers Injectable Solution,,code-search,,847630,lactated Ringers Injectable Solution,0.95,ok,FSN matches input exactly; other candidates add unstated ingredients
001192,disulfiram [Antabuse],3554,disulfiram,,term-join,B1-generic,,,,not-needed,
001193,disulfiram [Antabuse],3554,disulfiram,,term-join,B1-generic,,,,not-needed,
001194,sodium polystyrene sulfonate [Kionex],56512,sodium polystyrene sulfonate,,term-join,B1-generic,,,,not-needed,
001195,SPS,1799649,SPS,,term-join,Q1-exact,,,,not-needed,
001196,sodium polystyrene sulfonate,56512,sodium polystyrene sulfonate,,term-join,Q1-exact,,,,not-needed,
001198,potassium chloride in 0.9%NaCl,214792,potassium chloride / sodium chloride,,code-search,,214792,potassium chloride / sodium chloride,0.85,ok,Generic combination matches input without unstated concentration
001201,"potassium, sodium phosphates",1007291,"potassium phosphate / sodium phosphate, dibasic",,code-search,,1007291,"potassium phosphate / sodium phosphate, dibasic",0.85,ok,Combination of potassium and sodium phosphates; dibasic form unstated but closest match
001202,Thermotabs,220298,Thermotabs,,term-join,Q1-exact,,,,not-needed,
001205,sodium acetate,56443,sodium acetate,,term-join,Q1-exact,,,,not-needed,
001208,sodium chloride 0.9 %,9863,sodium chloride,,code-search,,9863,sodium chloride,0.90,ok,FSN matches; 0.9% is a concentration qualifier
001209,sodium chloride 0.45 %,9863,sodium chloride,,code-search,,9863,sodium chloride,0.85,ok,Base concept matches; 0.45% concentration is unstated qualifier
001210,Sodium Chloride  (Mini Bag Plus),9863,sodium chloride,,term-join,Q3-paren,,,,not-needed,
001211,Sodium Chloride 3% (Hypertonic),,,"code-search proposed 9863 'sodium chloride' at 0.80, below the 0.85 threshold.",code-search,,9863,sodium chloride,0.80,below-threshold,Base concept matches; 3% hypertonic strength not separately coded
001213,sodium chloride 5 %,9863,sodium chloride,,code-search,,9863,sodium chloride,0.85,ok,Base concept matches; 5% concentration not coded
001218,sodium chloride 0.9 % [Saline Flush],313002,sodium chloride 0.9 % Injectable Solution,,code-search,,313002,sodium chloride 0.9 % Injectable Solution,0.85,ok,Saline flush is injectable sodium chloride 0.9% solution
001219,sodium chloride,9863,sodium chloride,,term-join,Q1-exact,,,,not-needed,
001221,Sodium Chloride 0.9 %,9863,sodium chloride,,code-search,,9863,sodium chloride,0.90,ok,FSN matches; 0.9% is a concentration qualifier
001224,Sodium Chloride (Bulk),9863,sodium chloride,,term-join,Q3-paren,,,,not-needed,
001226,Sodium Chloride,9863,sodium chloride,,term-join,Q1-exact,,,,not-needed,
001231,sodium chloride,9863,sodium chloride,,term-join,Q1-exact,,,,not-needed,
001233,sodium phosphate,36709,sodium phosphate,,term-join,Q1-exact,,,,not-needed,
001240,potassium bicarb-citric acid [Klor-Con/EF],217909,Klor-Con/EF,,term-join,B5-brand,,,,not-needed,
001241,potassium acetate,54987,potassium acetate,,term-join,Q1-exact,,,,not-needed,
001243,potassium acetate,54987,potassium acetate,,term-join,Q1-exact,,,,not-needed,
001248,potassium chloride [Klor-Con Sprinkle],8591,potassium chloride,,term-join,B1-generic,,,,not-needed,
001249,Potassium Chloride,8591,potassium chloride,,term-join,Q1-exact,,,,not-needed,
001251,potassium chloride,8591,potassium chloride,,term-join,Q1-exact,,,,not-needed,
001255,Potassium Ch 20mEq/50mL 50mL BAG,1860466,potassium chloride 20 MEQ in 50 ML Injection,,code-search,,1860466,potassium chloride 20 MEQ in 50 ML Injection,0.95,ok,"FSN matches drug, strength, and volume exactly"
001258,potassium chloride (bulk),8591,potassium chloride,,term-join,Q3-paren,,,,not-needed,
001260,potassium chloride,8591,potassium chloride,,term-join,Q1-exact,,,,not-needed,
001262,Potassium Chloride (Powder),8591,potassium chloride,,term-join,Q3-paren,,,,not-needed,
001263,potassium chloride [Klor-Con],8591,potassium chloride,,term-join,B1-generic,,,,not-needed,
001264,potassium chloride [K-Sol],8591,potassium chloride,,term-join,B1-generic,,,,not-needed,
001265,potassium chloride,8591,potassium chloride,,term-join,Q1-exact,,,,not-needed,
001266,potassium chloride [K-Sol],8591,potassium chloride,,term-join,B1-generic,,,,not-needed,
001268,potassium chloride,8591,potassium chloride,,term-join,Q1-exact,,,,not-needed,
001269,potassium chloride,8591,potassium chloride,,term-join,Q1-exact,,,,not-needed,
001272,potassium bicarb & chloride,34296,potassium bicarbonate,,code-search,,34296,potassium bicarbonate,0.85,ok,Primary ingredient; no single code for the pair without extra components
001275,potassium chloride [K-Tab],8591,potassium chloride,,term-join,B1-generic,,,,not-needed,
001276,potassium chloride,8591,potassium chloride,,term-join,Q1-exact,,,,not-needed,
001278,potassium chloride [K-Tab],8591,potassium chloride,,term-join,B1-generic,,,,not-needed,
001279,potassium gluconate,89903,potassium gluconate,,term-join,Q1-exact,,,,not-needed,
001280,Potassium Gluconate,89903,potassium gluconate,,term-join,Q1-exact,,,,not-needed,
001283,potassium phosphate dibasic,55018,dibasic potassium phosphate,,code-search,,55018,dibasic potassium phosphate,0.92,ok,
001292,potassium,8588,potassium,,term-join,Q1-exact,,,,not-needed,
