mimic_code,mimic_display,target_system,target_code,target_display,comment,method,join_rung,ndc_property_rxcui,ndc_property_display,display_rxcui,display_source
00002411233,Olanzapine (Disintegrating Tablet),,,,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label 'Olanzapine (Disintegrating Tablet)' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept.",lookup,,,,,
00002411533,OLANZapine,http://www.nlm.nih.gov/research/umls/rxnorm,61381,olanzapine,"RxNorm 20231106 lists no concept carrying this NDC. Mapped instead through the MIMIC label 'OLANZapine', from the committed medication-name-standard.csv row for that label. This is an ingredient- or class-level generalisation, NOT the packaged product the NDC identifies.",lookup,display-name-table,,,61381,OLANZapine
00002411633,OLANZapine,http://www.nlm.nih.gov/research/umls/rxnorm,61381,olanzapine,"RxNorm 20231106 lists no concept carrying this NDC. Mapped instead through the MIMIC label 'OLANZapine', from the committed medication-name-standard.csv row for that label. This is an ingredient- or class-level generalisation, NOT the packaged product the NDC identifies.",lookup,display-name-table,,,61381,OLANZapine
00002411733,OLANZapine,http://www.nlm.nih.gov/research/umls/rxnorm,153048,ZyPREXA 10 MG Oral Tablet,"RxNorm 20231106 lists this NDC on RxCUI 153048. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,153048,ZyPREXA 10 MG Oral Tablet,61381,OLANZapine
00002416530,Raloxifene,,,,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label 'Raloxifene' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept.",lookup,,,,,
00002418430,raloxifene,http://www.nlm.nih.gov/research/umls/rxnorm,1490067,Evista 60 MG Oral Tablet,"RxNorm 20231106 lists this NDC on RxCUI 1490067. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,1490067,Evista 60 MG Oral Tablet,72143,raloxifene
00002445385,ZyPREXA Zydis,http://www.nlm.nih.gov/research/umls/rxnorm,754506,ZyPREXA ZYDIS 5 MG Disintegrating Oral Tablet,"RxNorm 20231106 lists this NDC on RxCUI 754506. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,754506,ZyPREXA ZYDIS 5 MG Disintegrating Oral Tablet,,
00002445485,OLANZapine (Disintegrating Tablet),http://www.nlm.nih.gov/research/umls/rxnorm,754503,ZyPREXA ZYDIS 10 MG Disintegrating Oral Tablet,"RxNorm 20231106 lists this NDC on RxCUI 754503. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,754503,ZyPREXA ZYDIS 10 MG Disintegrating Oral Tablet,61381,OLANZapine (Disintegrating Tablet)
00002475977,Prasugrel,http://www.nlm.nih.gov/research/umls/rxnorm,613391,prasugrel,"RxNorm 20231106 lists no concept carrying this NDC. Mapped instead through the MIMIC label 'Prasugrel', from the committed medication-name-standard.csv row for that label. This is an ingredient- or class-level generalisation, NOT the packaged product the NDC identifies.",lookup,display-name-table,,,613391,Prasugrel
00002512377,Prasugrel,http://www.nlm.nih.gov/research/umls/rxnorm,855816,Effient 10 MG Oral Tablet,"RxNorm 20231106 lists this NDC on RxCUI 855816. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,855816,Effient 10 MG Oral Tablet,613391,Prasugrel
00002714001,Reopro,,,,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label 'Reopro' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept.",lookup,,,,,
00002717510,DOBUTamine,http://www.nlm.nih.gov/research/umls/rxnorm,3616,dobutamine,"RxNorm 20231106 lists no concept carrying this NDC. Mapped instead through the MIMIC label 'DOBUTamine', from the committed medication-name-standard.csv row for that label. This is an ingredient- or class-level generalisation, NOT the packaged product the NDC identifies.",lookup,display-name-table,,,3616,DOBUTamine
00002735501,Vancomycin Oral Liquid,http://www.nlm.nih.gov/research/umls/rxnorm,11124,vancomycin,"RxNorm 20231106 lists no concept carrying this NDC. Mapped instead through the MIMIC label 'Vancomycin Oral Liquid', from the committed medication-name-standard.csv row for that label. This is an ingredient- or class-level generalisation, NOT the packaged product the NDC identifies.",lookup,display-name-table,,,11124,Vancomycin Oral Liquid
00002750201,Gemcitabine,http://www.nlm.nih.gov/research/umls/rxnorm,12574,gemcitabine,"RxNorm 20231106 lists no concept carrying this NDC. Mapped instead through the MIMIC label 'Gemcitabine', from the committed medication-name-standard.csv row for that label. This is an ingredient- or class-level generalisation, NOT the packaged product the NDC identifies.",lookup,display-name-table,,,12574,Gemcitabine
00002751001,Insulin Pump (Self Administering Medication),http://www.nlm.nih.gov/research/umls/rxnorm,865098,HumaLOG 100 UNT/ML Injectable Solution,"RxNorm 20231106 lists this NDC on RxCUI 865098. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,865098,HumaLOG 100 UNT/ML Injectable Solution,,
00002751101,insulin lispro protam-lispro,http://www.nlm.nih.gov/research/umls/rxnorm,752388,HumaLOG Mix 75/25 Injectable Suspension,"RxNorm 20231106 lists this NDC on RxCUI 752388. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,752388,HumaLOG Mix 75/25 Injectable Suspension,816726,insulin lispro protam-lispro
00002751201,Insulin,http://www.nlm.nih.gov/research/umls/rxnorm,731281,HumaLOG Mix 50/50 Injectable Suspension,"RxNorm 20231106 lists this NDC on RxCUI 731281. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,731281,HumaLOG Mix 50/50 Injectable Suspension,67866001,Insulin
00002755901,Drotrecogin Alfa (Xigris),,,,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label 'Drotrecogin Alfa (Xigris)' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept.",lookup,,,,,
00002759701,OLANZapine,http://www.nlm.nih.gov/research/umls/rxnorm,545353,ZyPREXA 10 MG Injection,"RxNorm 20231106 lists this NDC on RxCUI 545353. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,545353,ZyPREXA 10 MG Injection,61381,OLANZapine
00002762301,PEMEtrexed,http://www.nlm.nih.gov/research/umls/rxnorm,1728075,ALIMTA 500 MG Injection,"RxNorm 20231106 lists this NDC on RxCUI 1728075. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,1728075,ALIMTA 500 MG Injection,68446,PEMEtrexed
00002763511,OLANZapine pamoate,http://www.nlm.nih.gov/research/umls/rxnorm,1718936,ZyPREXA Relprevv 210 MG Injection,"RxNorm 20231106 lists this NDC on RxCUI 1718936. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,1718936,ZyPREXA Relprevv 210 MG Injection,,
00002763611,ZyPREXA Relprevv,http://www.nlm.nih.gov/research/umls/rxnorm,1718932,ZyPREXA Relprevv 300 MG Injection,"RxNorm 20231106 lists this NDC on RxCUI 1718932. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,1718932,ZyPREXA Relprevv 300 MG Injection,,
00002763711,OLANZapine,http://www.nlm.nih.gov/research/umls/rxnorm,1718928,ZyPREXA Relprevv 405 MG Injection,"RxNorm 20231106 lists this NDC on RxCUI 1718928. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,1718928,ZyPREXA Relprevv 405 MG Injection,61381,OLANZapine
00002767801,Ramucirumab,http://www.nlm.nih.gov/research/umls/rxnorm,1657781,Cyramza 500 MG in 50 ML Injection,"RxNorm 20231106 lists this NDC on RxCUI 1657781. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,1657781,Cyramza 500 MG in 50 ML Injection,,
00002821501,Insulin (Regular) Intraperitoneal,http://www.nlm.nih.gov/research/umls/rxnorm,311036,HumuLIN R 100 UNT/ML Injectable Solution,"RxNorm 20231106 lists this NDC on RxCUI 311036. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,311036,HumuLIN R 100 UNT/ML Injectable Solution,253182,Insulin (Regular) Intraperitoneal
00002831501,Insulin NPH Human Recomb,http://www.nlm.nih.gov/research/umls/rxnorm,311026,HumuLIN N 100 UNT/ML Injectable Suspension,"RxNorm 20231106 lists this NDC on RxCUI 311026. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,311026,HumuLIN N 100 UNT/ML Injectable Suspension,,
00002840001,teriparatide,http://www.nlm.nih.gov/research/umls/rxnorm,1435117,FORTEO 20 MCG/Dose in 28 Dose Pen Injector,"RxNorm 20231106 lists this NDC on RxCUI 1435117. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,1435117,FORTEO 20 MCG/Dose in 28 Dose Pen Injector,32915,teriparatide
00002850101,Insulin Regular Human (U-500),http://www.nlm.nih.gov/research/umls/rxnorm,351859,HumuLIN R (concentrated) 500 UNT/ML Injectable Solution,"RxNorm 20231106 lists this NDC on RxCUI 351859. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,351859,HumuLIN R (concentrated) 500 UNT/ML Injectable Solution,,
00002871501,Insulin Human 70/30,http://www.nlm.nih.gov/research/umls/rxnorm,106892,HumuLIN 70/30 Injectable Suspension,"RxNorm 20231106 lists this NDC on RxCUI 106892. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,106892,HumuLIN 70/30 Injectable Suspension,,
00002897101,Teriparatide,,,,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label 'Teriparatide' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept.",lookup,,,,,
00003021501,daclatasvir,http://www.nlm.nih.gov/research/umls/rxnorm,1606218,daclatasvir,"RxNorm 20231106 lists no concept carrying this NDC. Mapped instead through the MIMIC label 'daclatasvir', from the committed medication-name-standard.csv row for that label. This is an ingredient- or class-level generalisation, NOT the packaged product the NDC identifies.",lookup,display-name-table,,,1606218,daclatasvir
00003029305,Triamcinolone Acetonide Inj,http://www.nlm.nih.gov/research/umls/rxnorm,2480108,Kenalog 40 MG in 1 ML Injection,"RxNorm 20231106 lists this NDC on RxCUI 2480108. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,2480108,Kenalog 40 MG in 1 ML Injection,10761,Triamcinolone Acetonide Inj
00003029320,Triamcinolone Acetonide Inj,http://www.nlm.nih.gov/research/umls/rxnorm,1085756,Kenalog 40 MG/ML Injectable Suspension,"RxNorm 20231106 lists this NDC on RxCUI 1085756. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,1085756,Kenalog 40 MG/ML Injectable Suspension,10761,Triamcinolone Acetonide Inj
00003037113,Belatacept,http://www.nlm.nih.gov/research/umls/rxnorm,1112980,Nulojix 250 MG Injection,"RxNorm 20231106 lists this NDC on RxCUI 1112980. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,1112980,Nulojix 250 MG Injection,1112973,Belatacept
00003043730,Amphotericin B Oral Suspension,http://www.nlm.nih.gov/research/umls/rxnorm,199264,amphotericin B 100 MG/ML Oral Suspension,"RxNorm 20231106 lists no concept carrying this NDC. Mapped instead through the MIMIC label 'Amphotericin B Oral Suspension', from the committed medication-name-standard.csv row for that label. This is an ingredient- or class-level generalisation, NOT the packaged product the NDC identifies.",lookup,display-name-table,,,199264,Amphotericin B Oral Suspension
00003049420,Triamcinolone Acetonide Inj,http://www.nlm.nih.gov/research/umls/rxnorm,1085752,Kenalog 10 MG/ML Injectable Suspension,"RxNorm 20231106 lists this NDC on RxCUI 1085752. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,1085752,Kenalog 10 MG/ML Injectable Suspension,10761,Triamcinolone Acetonide Inj
00003052411,DASatinib,http://www.nlm.nih.gov/research/umls/rxnorm,643177,SPRYCEL 70 MG Oral Tablet,"RxNorm 20231106 lists this NDC on RxCUI 643177. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,643177,SPRYCEL 70 MG Oral Tablet,475342,DASatinib
00003052711,DASatinib,http://www.nlm.nih.gov/research/umls/rxnorm,643173,SPRYCEL 20 MG Oral Tablet,"RxNorm 20231106 lists this NDC on RxCUI 643173. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,643173,SPRYCEL 20 MG Oral Tablet,475342,DASatinib
00003056902,Fluphenazine Decanoate,,,,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label 'Fluphenazine Decanoate' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept.",lookup,,,,,
00003059320,Nystop,http://www.nlm.nih.gov/research/umls/rxnorm,218830,Nystop,"RxNorm 20231106 lists no concept carrying this NDC. Mapped instead through the MIMIC label 'Nystop', from the committed medication-name-standard.csv row for that label. This is an ingredient- or class-level generalisation, NOT the packaged product the NDC identifies.",lookup,display-name-table,,,218830,Nystop
00003080110,Fluphenazine,http://www.nlm.nih.gov/research/umls/rxnorm,4496,fluphenazine,"RxNorm 20231106 lists no concept carrying this NDC. Mapped instead through the MIMIC label 'Fluphenazine', from the committed medication-name-standard.csv row for that label. This is an ingredient- or class-level generalisation, NOT the packaged product the NDC identifies.",lookup,display-name-table,,,4496,Fluphenazine
00003085222,Sprycel,http://www.nlm.nih.gov/research/umls/rxnorm,799830,SPRYCEL 100 MG Oral Tablet,"RxNorm 20231106 lists this NDC on RxCUI 799830. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,799830,SPRYCEL 100 MG Oral Tablet,,
00003089331,Apixaban,http://www.nlm.nih.gov/research/umls/rxnorm,1364441,Eliquis 2.5 MG Oral Tablet,"RxNorm 20231106 lists this NDC on RxCUI 1364441. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,1364441,Eliquis 2.5 MG Oral Tablet,1364430,Apixaban
00003089431,INV-Apixaban,http://www.nlm.nih.gov/research/umls/rxnorm,1364447,Eliquis 5 MG Oral Tablet,"RxNorm 20231106 lists this NDC on RxCUI 1364447. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,1364447,Eliquis 5 MG Oral Tablet,1364430,INV-Apixaban
00003148220,Halog,,,,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label 'Halog' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept.",lookup,,,,,
00003161112,Entecavir Oral Solution,http://www.nlm.nih.gov/research/umls/rxnorm,578457,Baraclude 0.5 MG Oral Tablet,"RxNorm 20231106 lists this NDC on RxCUI 578457. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,578457,Baraclude 0.5 MG Oral Tablet,485536,Entecavir Oral Solution
00003161212,Entecavir,http://www.nlm.nih.gov/research/umls/rxnorm,578459,Baraclude 1 MG Oral Tablet,"RxNorm 20231106 lists this NDC on RxCUI 578459. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,578459,Baraclude 1 MG Oral Tablet,306266,Entecavir
00003161412,Entecavir Oral Solution,http://www.nlm.nih.gov/research/umls/rxnorm,607579,Baraclude 0.05 MG in 1 mL Oral Solution,"RxNorm 20231106 lists this NDC on RxCUI 607579. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,607579,Baraclude 0.05 MG in 1 mL Oral Solution,485536,Entecavir Oral Solution
00003196401,Stavudine,,,,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label 'Stavudine' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept.",lookup,,,,,
00003196501,Stavudine,,,,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label 'Stavudine' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept.",lookup,,,,,
00003218710,*NF* Abatacept,http://www.nlm.nih.gov/research/umls/rxnorm,616018,ORENCIA 250 MG Injection,"RxNorm 20231106 lists this NDC on RxCUI 616018. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,616018,ORENCIA 250 MG Injection,,
00003218713,Abatacept,http://www.nlm.nih.gov/research/umls/rxnorm,616018,ORENCIA 250 MG Injection,"RxNorm 20231106 lists this NDC on RxCUI 616018. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,616018,ORENCIA 250 MG Injection,,
00003223011,Aztreonam,http://www.nlm.nih.gov/research/umls/rxnorm,1272,aztreonam,"RxNorm 20231106 lists no concept carrying this NDC. Mapped instead through the MIMIC label 'Aztreonam', from the committed medication-name-standard.csv row for that label. This is an ingredient- or class-level generalisation, NOT the packaged product the NDC identifies.",lookup,display-name-table,,,1272,Aztreonam
00003224011,Aztreonam,http://www.nlm.nih.gov/research/umls/rxnorm,1272,aztreonam,"RxNorm 20231106 lists no concept carrying this NDC. Mapped instead through the MIMIC label 'Aztreonam', from the committed medication-name-standard.csv row for that label. This is an ingredient- or class-level generalisation, NOT the packaged product the NDC identifies.",lookup,display-name-table,,,1272,Aztreonam
00003256016,Aztreonam  Desensitization,http://www.nlm.nih.gov/research/umls/rxnorm,1664984,Azactam 1 GM Injection,"RxNorm 20231106 lists this NDC on RxCUI 1664984. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,1664984,Azactam 1 GM Injection,,
00003362312,Atazanavir,http://www.nlm.nih.gov/research/umls/rxnorm,343047,atazanavir,"RxNorm 20231106 lists no concept carrying this NDC. Mapped instead through the MIMIC label 'Atazanavir', from the committed medication-name-standard.csv row for that label. This is an ingredient- or class-level generalisation, NOT the packaged product the NDC identifies.",lookup,display-name-table,,,343047,Atazanavir
00003362412,Reyataz,http://www.nlm.nih.gov/research/umls/rxnorm,402094,Reyataz 150 MG Oral Capsule,"RxNorm 20231106 lists this NDC on RxCUI 402094. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,402094,Reyataz 150 MG Oral Capsule,382467,Reyataz
00003363112,Reyataz,http://www.nlm.nih.gov/research/umls/rxnorm,402093,Reyataz 200 MG Oral Capsule,"RxNorm 20231106 lists this NDC on RxCUI 402093. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,402093,Reyataz 200 MG Oral Capsule,382467,Reyataz
00003377412,Nivolumab,http://www.nlm.nih.gov/research/umls/rxnorm,1657196,Opdivo 100 MG in 10 ML Injection,"RxNorm 20231106 lists this NDC on RxCUI 1657196. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,1657196,Opdivo 100 MG in 10 ML Injection,1597876,Nivolumab
00004001823,Ticlopidine HCl,,,,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label 'Ticlopidine HCl' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept.",lookup,,,,,
00004003822,ValGANCIclovir Suspension,http://www.nlm.nih.gov/research/umls/rxnorm,284587,Valcyte 450 MG Oral Tablet,"RxNorm 20231106 lists this NDC on RxCUI 284587. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,284587,Valcyte 450 MG Oral Tablet,275891,ValGANCIclovir Suspension
00004003909,ValGANCIclovir Suspension,http://www.nlm.nih.gov/research/umls/rxnorm,863562,Valcyte 50 MG in 1 mL Oral Solution,"RxNorm 20231106 lists this NDC on RxCUI 863562. Package-level identity: the target names the product the package contains, including its brand where the NDC is a branded package.",lookup,ndc-property,863562,Valcyte 50 MG in 1 mL Oral Solution,275891,ValGANCIclovir Suspension
00004004401,levorphanol tartrate,http://www.nlm.nih.gov/research/umls/rxnorm,153973,levorphanol tartrate,"RxNorm 20231106 lists no concept carrying this NDC. Mapped instead through the MIMIC label 'levorphanol tartrate', from the committed medication-name-standard.csv row for that label. This is an ingredient- or class-level generalisation, NOT the packaged product the NDC identifies.",lookup,display-name-table,,,153973,levorphanol tartrate
00004014301,Calcitriol,http://www.nlm.nih.gov/research/umls/rxnorm,1894,calcitriol,"RxNorm 20231106 lists no concept carrying this NDC. Mapped instead through the MIMIC label 'Calcitriol', from the committed medication-name-standard.csv row for that label. This is an ingredient- or class-level generalisation, NOT the packaged product the NDC identifies.",lookup,display-name-table,,,1894,Calcitriol
00004014401,Calcitriol,http://www.nlm.nih.gov/research/umls/rxnorm,1894,calcitriol,"RxNorm 20231106 lists no concept carrying this NDC. Mapped instead through the MIMIC label 'Calcitriol', from the committed medication-name-standard.csv row for that label. This is an ingredient- or class-level generalisation, NOT the packaged product the NDC identifies.",lookup,display-name-table,,,1894,Calcitriol
00004018301,NiCARdipine,http://www.nlm.nih.gov/research/umls/rxnorm,7396,nicardipine,"RxNorm 20231106 lists no concept carrying this NDC. Mapped instead through the MIMIC label 'NiCARdipine', from the committed medication-name-standard.csv row for that label. This is an ingredient- or class-level generalisation, NOT the packaged product the NDC identifies.",lookup,display-name-table,,,7396,NiCARdipine
00004018401,NiCARdipine,http://www.nlm.nih.gov/research/umls/rxnorm,7396,nicardipine,"RxNorm 20231106 lists no concept carrying this NDC. Mapped instead through the MIMIC label 'NiCARdipine', from the committed medication-name-standard.csv row for that label. This is an ingredient- or class-level generalisation, NOT the packaged product the NDC identifies.",lookup,display-name-table,,,7396,NiCARdipine
00004024009,Granisetron HCl,,,,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label 'Granisetron HCl' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept.",lookup,,,,,
00004024126,Kytril,,,,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label 'Kytril' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept.",lookup,,,,,
00004024515,Saquinavir (Invirase) tab,,,,"RxNorm 20231106 lists no concept carrying this NDC, and the MIMIC label 'Saquinavir (Invirase) tab' has no mapped row in medication-name-standard.csv. Both tiers were tried and neither answered. This is the intersection of two gaps — a retired or repackaged NDC the release no longer carries, whose label the drug-name stream also could not resolve — and not a finding that the product has no RxNorm concept.",lookup,,,,,
