mimic_code,mimic_display,snomed_code,snomed_display,comment,codesearch_query,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
70052,PERIPHERAL BLOOD LYMPHOCYTES,122551003,Peripheral blood specimen,,PERIPHERAL BLOOD LYMPHOCYTES,122551003,Peripheral blood specimen,0.85,ok,Specimen VS; peripheral blood specimen matches the specimen type
70053,PERITONEAL FLUID,168139001,Peritoneal fluid,,PERITONEAL FLUID,168139001,Peritoneal fluid,1.00,ok,
70054,PLEURAL FLUID,418564007,Pleural fluid,,PLEURAL FLUID,418564007,Pleural fluid,1.00,ok,
70055,POSTMORTEM CULTURE,,,"code-search proposed 258484005 |Postmortem tissue specimen| at 0.75, below the 0.8 threshold.",POSTMORTEM CULTURE,258484005,Postmortem tissue specimen,0.75,below-threshold,Postmortem specimen; culture aspect not captured
70056,RECTAL - R/O GC,258528007,Rectal swab,,RECTAL - R/O GC,258528007,Rectal swab,0.85,ok,Rectal specimen for GC testing; rectal swab is the specimen type
70057,Rapid Respiratory Viral Screen & Culture,,,code-search returned no match within <<123038009.,Rapid Respiratory Viral Screen & Culture,,,,no-match,
70058,RAPID RESPIRATORY VIRAL ANTIGEN TEST,,,code-search returned no match within <<123038009.,RAPID RESPIRATORY VIRAL ANTIGEN TEST,,,,no-match,
70059,Staph aureus swab,257261003,Swab,,Staph aureus swab,257261003,Swab,0.80,ok,"Swab specimen; Staph aureus is the organism tested, not a specimen type"
70060,Stem Cell - Blood Culture,57731000052104,Stem cell specimen,,Stem Cell - Blood Culture,57731000052104,Stem cell specimen,0.85,ok,Primary concept is stem cell specimen
70061,SKIN SCRAPINGS,446952006,Specimen from skin obtained by scraping,,SKIN SCRAPINGS,446952006,Specimen from skin obtained by scraping,0.85,ok,FSN matches input exactly
70062,SPUTUM,119335007,Coughed sputum specimen,,SPUTUM,119335007,Coughed sputum specimen,0.93,ok,
70064,STOOL,119339001,Faeces specimen,,STOOL,119339001,Faeces specimen,0.95,ok,FSN 'Stool specimen' matches input exactly
70065,SCOTCH TAPE PREP/PADDLE,258664003,Scotch tape slide specimen,,SCOTCH TAPE PREP/PADDLE,258664003,Scotch tape slide specimen,0.90,ok,FSN matches scotch tape prep specimen
70066,STOOL (RECEIVED IN TRANSPORT SYSTEM),119339001,Faeces specimen,,STOOL (RECEIVED IN TRANSPORT SYSTEM),119339001,Faeces specimen,0.85,ok,FSN 'Stool specimen' matches; transport qualifier non-coded
70067,SWAB,257261003,Swab,,SWAB,257261003,Swab,1.00,ok,
70068,SWAB,257261003,Swab,,SWAB,257261003,Swab,1.00,ok,
70069,SWAB,257261003,Swab,,SWAB,257261003,Swab,1.00,ok,
70070,SWAB,257261003,Swab,,SWAB,257261003,Swab,1.00,ok,
70071,SWAB - R/O YEAST,257261003,Swab,,SWAB - R/O YEAST,257261003,Swab (specimen),0.85,ok,R/O yeast is test purpose; specimen is generic swab
70072,TRACHEAL ASPIRATE,445447003,Specimen from trachea obtained by aspiration,,TRACHEAL ASPIRATE,445447003,Specimen from trachea obtained by aspiration,0.95,ok,
70073,TISSUE,119376003,Tissue specimen,,TISSUE,119376003,Tissue specimen,0.95,ok,FSN matches generic tissue specimen concept
70074,THROAT,119389009,Specimen from throat,,THROAT,119389009,Specimen from throat,0.90,ok,General throat specimen matches input without overstepping
70075,THROAT CULTURE,258529004,Throat swab,,THROAT CULTURE,258529004,Throat swab,0.85,ok,Throat swab is the standard specimen for throat culture
70076,TISSUE,119376003,Tissue specimen,,TISSUE,119376003,Tissue specimen,0.95,ok,FSN matches generic tissue specimen concept
70077,URINE,122575003,Urine specimen,,URINE,122575003,Urine specimen,0.95,ok,FSN matches input exactly; general urine specimen
70078,"URINE,PROSTATIC MASSAGE",2531000181101,Urine specimen obtained after prostatic massage,,"URINE,PROSTATIC MASSAGE",2531000181101,Urine specimen obtained after prostatic massage,0.95,ok,FSN matches input exactly
70079,URINE,122575003,Urine specimen,,URINE,122575003,Urine specimen,0.95,ok,FSN matches input exactly; general urine specimen
70080,"URINE,KIDNEY",446907008,Urine specimen obtained from kidney,,"URINE,KIDNEY",446907008,Urine specimen obtained from kidney,0.95,ok,FSN matches input exactly
70081,URINE,122575003,Urine specimen,,URINE,122575003,Urine specimen,0.95,ok,FSN matches input exactly; general urine specimen
70082,"URINE,SUPRAPUBIC ASPIRATE",258576008,Suprapubic aspirate,,"URINE,SUPRAPUBIC ASPIRATE",258576008,Suprapubic aspirate (specimen),0.95,ok,FSN matches input exactly
70083,VARICELLA-ZOSTER CULTURE,,,code-search returned no match within <<123038009.,VARICELLA-ZOSTER CULTURE,,,,no-match,
70084,SWAB,257261003,Swab,,SWAB,257261003,Swab,1.00,ok,
70085,WORM,704663000,Parasitic worm specimen,,WORM,704663000,Parasitic worm specimen,0.95,ok,
70086,XXX,,,code-search returned no match within <<123038009.,XXX,,,,no-match,
70087,Blood (CMV AB),119297000,Blood specimen,,Blood (CMV AB),119297000,Blood specimen,0.85,ok,Input is a blood specimen for CMV antibody testing; blood group candidates are type mismatch
70088,Blood (EBV),119297000,Blood specimen,,Blood (EBV),119297000,Blood specimen,0.85,ok,Blood specimen captures the specimen type; EBV is test context
70089,Blood (Malaria),119297000,Blood specimen,,Blood (Malaria),119297000,Blood specimen,0.85,ok,Blood specimen captures the specimen type; malaria is test context
70090,Mini-BAL,593961000052105,Mini-bronchoalveolar lavage fluid specimen,,Mini-BAL,593961000052105,Mini-bronchoalveolar lavage fluid specimen,0.85,ok,FSN matches Mini-BAL exactly
70091,MRSA SCREEN,,,code-search returned no match within <<123038009.,MRSA SCREEN,,,,no-match,
70092,"SWAB, R/O GC",257261003,Swab,,"SWAB, R/O GC",257261003,Swab (specimen),0.90,ok,"Input is a swab specimen; no site specified, generic swab captures meaning without overstepping"
70093,Blood (Toxo),119297000,Blood specimen,,Blood (Toxo),119297000,Blood specimen,0.85,ok,Blood specimen captures the specimen type; Toxo is test qualifier
90902,AMNIOTIC FLUID,119373006,Amniotic fluid,,AMNIOTIC FLUID,119373006,Amniotic fluid,1.00,ok,
90906,"C, E, & A Screening",,,code-search returned no match within <<123038009.,"C, E, & A Screening",,,,no-match,
90908,Cipro Resistant Screen,,,code-search returned no match within <<123038009.,Cipro Resistant Screen,,,,no-match,
90909,CHORIONIC VILLUS SAMPLE,258565009,Chorionic villi specimen,,CHORIONIC VILLUS SAMPLE,258565009,Chorionic villi specimen,0.95,ok,Specimen concept with synonym 'Chorionic villi sample'; exact match
90912,Foreign Body - Sonication Culture,447103002,Foreign body submitted as specimen,,Foreign Body - Sonication Culture,447103002,Foreign body submitted as specimen,0.90,ok,FSN matches specimen type; sonication is method not coded
90913,HAIR,119326000,Hair specimen,,HAIR,119326000,Hair specimen,0.97,ok,FSN matches input exactly
90914,Infection Control Yeast,,,code-search returned no match within <<123038009.,Infection Control Yeast,,,,no-match,
90915,Isolate,119303007,Microbial isolate,,Isolate,119303007,Microbial isolate specimen,0.85,ok,Generic 'isolate' matches microbial isolate; fungal/viral narrower
90919,Blood (LYME),119297000,Blood specimen,,Blood (LYME),119297000,Blood specimen,0.85,ok,"Specimen is blood; LYME is test context, not specimen type"
90920,PROSTHETIC JOINT FLUID,1003711005,Specimen from prosthetic joint,,PROSTHETIC JOINT FLUID,1003711005,Specimen from prosthetic joint,0.85,ok,FSN captures specimen from prosthetic joint; fluid implied
90921,POST-MORTEM VIRAL CULTURE,,,"code-search proposed 258484005 |Postmortem tissue specimen| at 0.70, below the 0.8 threshold.",POST-MORTEM VIRAL CULTURE,258484005,Postmortem tissue specimen,0.70,below-threshold,"Specimen type; captures postmortem, viral culture unstated"
90922,MICRO PROBLEM PATIENT,,,code-search returned no match within <<123038009.,MICRO PROBLEM PATIENT,,,,no-match,
90928,Swab,257261003,Swab,,SWAB,257261003,Swab,1.00,ok,
90929,Swab R/O Yeast Screen,257261003,Swab,,Swab R/O Yeast Screen,257261003,Swab (specimen),0.85,ok,No body site specified; generic Swab best matches
90930,Touch Prep/Sections,1380394001,Tissue impression specimen,,Touch Prep/Sections,1380394001,Tissue impression specimen,0.85,ok,FSN matches touch prep specimen; 'Sections' not separately coded
90935,VIRAL CULTURE,,,"code-search proposed 621000009105 |Viral isolate specimen| at 0.75, below the 0.8 threshold.",VIRAL CULTURE,621000009105,Viral isolate specimen,0.75,below-threshold,Closest specimen concept for viral culture
