mimic_code,mimic_display,loinc_code,loinc_display,comment,codesearch_query,codesearch_target,codesearch_display,codesearch_confidence,codesearch_status,codesearch_reasoning
226591,L Pleural #2,9129-8,Fluid output chest tube,,L Pleural,9129-8,Fluid output chest tube,0.90,ok,
226592,Mediastinal,,,"code-search returned no match for 'Mediastinal' within (http://loinc.org)(CLASS/""IO_OUT.*"",STATUS=ACTIVE,PROPERTY=LP6893-4).",Mediastinal,,,,no-match,
226593,R Pleural #1,9129-8,Fluid output chest tube,,R Pleural,9129-8,Fluid output chest tube,0.92,ok,
226595,R Pleural #2,9129-8,Fluid output chest tube,,R Pleural,9129-8,Fluid output chest tube,0.92,ok,
226597,JP Medial,9203-1,Fluid output wound drain,,JP Medial,9203-1,Fluid output wound drain,0.90,ok,
226598,JP Lateral,9203-1,Fluid output wound drain,,JP Lateral,9203-1,Fluid output wound drain,0.85,ok,
226599,Jackson Pratt #1,9203-1,Fluid output wound drain,,Jackson Pratt,9203-1,Fluid output wound drain,0.95,ok,
226600,Jackson Pratt #2,9203-1,Fluid output wound drain,,Jackson Pratt,9203-1,Fluid output wound drain,0.95,ok,
226601,Jackson Pratt #3,9203-1,Fluid output wound drain,,Jackson Pratt,9203-1,Fluid output wound drain,0.95,ok,
226602,Jackson Pratt #4,9203-1,Fluid output wound drain,,Jackson Pratt,9203-1,Fluid output wound drain,0.95,ok,
226603,T Tube,9113-2,Fluid output biliary drain,,T Tube,9113-2,Fluid output biliary drain,0.90,ok,
226604,Hemovac #1,9203-1,Fluid output wound drain,,Hemovac,9203-1,Fluid output wound drain,0.85,ok,
226605,Hemovac #2,9203-1,Fluid output wound drain,,Hemovac,9203-1,Fluid output wound drain,0.85,ok,
226606,Cerebral Ventricular #1,9122-3,Fluid output cerebral ventricle drain,,Cerebral Ventricular,9122-3,Fluid output cerebral ventricle drain,0.95,ok,
226607,Cerebral Ventricular #2,9122-3,Fluid output cerebral ventricle drain,,Cerebral Ventricular,9122-3,Fluid output cerebral ventricle drain,0.95,ok,
226608,Cerebral Subdural #1,79556-7,Fluid output neurological drain [Volume] Measured,,Cerebral Subdural,79556-7,Fluid output neurological drain [Volume] Measured,0.80,ok,
226609,Cerebral Subdural #2,79556-7,Fluid output neurological drain [Volume] Measured,,Cerebral Subdural,79556-7,Fluid output neurological drain [Volume] Measured,0.80,ok,
226610,Lumbar,9128-0,Fluid output subarachnoid drain,,Lumbar,9128-0,Fluid output subarachnoid drain,0.95,ok,
226612,Pericardial,9168-6,Fluid output pericardial drain,,Pericardial,9168-6,Fluid output pericardial drain,0.95,ok,
226613,Wound Vac #1,9203-1,Fluid output wound drain,,Wound Vac,9203-1,Fluid output wound drain,0.92,ok,
226614,Wound Vac #2,9203-1,Fluid output wound drain,,Wound Vac,9203-1,Fluid output wound drain,0.92,ok,
226616,Anderson,,,"code-search proposed 9257-7 |Fluid output total Measured| at 0.86, which sums fluid output over every route. This item records one route, so mapping it there would make any total over Observation.code count the same volume twice.",Anderson,9257-7,Fluid output total Measured,0.86,total,
226617,Sump #1,9161-1,Fluid output miscellaneous Measured,,Sump,9161-1,Fluid output miscellaneous Measured,0.85,ok,
226618,Sump #2,9161-1,Fluid output miscellaneous Measured,,Sump,9161-1,Fluid output miscellaneous Measured,0.85,ok,
226619,Pigtail #1,,,"code-search proposed 9161-1 |Fluid output miscellaneous Measured| at 0.78 for 'Pigtail', below the 0.8 threshold.",Pigtail,9161-1,Fluid output miscellaneous Measured,0.78,below-threshold,
226620,Pigtail #2,,,"code-search proposed 9161-1 |Fluid output miscellaneous Measured| at 0.78 for 'Pigtail', below the 0.8 threshold.",Pigtail,9161-1,Fluid output miscellaneous Measured,0.78,below-threshold,
226621,Davol,9203-1,Fluid output wound drain,,Davol,9203-1,Fluid output wound drain,0.93,ok,
226622,Red Rubber,9195-9,Urine output by in and out urethral catheter,,Red Rubber,9195-9,Urine output by in and out urethral catheter,0.90,ok,
226623,Penrose #1,9203-1,Fluid output wound drain,,Penrose,9203-1,Fluid output wound drain,0.92,ok,
226624,Penrose #2,9203-1,Fluid output wound drain,,Penrose,9203-1,Fluid output wound drain,0.92,ok,
226625,Tap,9161-1,Fluid output miscellaneous Measured,,Tap,9161-1,Fluid output miscellaneous Measured,0.80,ok,
226626,OR EBL,9110-8,Blood loss.total intraoperative [Volume] Estimated,,OR EBL,9110-8,Blood loss.total intraoperative [Volume] Estimated,0.95,ok,
226627,OR Urine,9187-6,Urine output,,OR Urine,9187-6,Urine output,0.82,ok,
226628,PACU Drains,9203-1,Fluid output wound drain,,PACU Drains,9203-1,Fluid output wound drain,0.90,ok,
226629,PACU EBL,9110-8,Blood loss.total intraoperative [Volume] Estimated,,PACU EBL,9110-8,Blood loss.total intraoperative [Volume] Estimated,0.95,ok,
226630,PACU Gastric,9149-6,Fluid output gastric tube,,PACU Gastric,9149-6,Fluid output gastric tube,0.95,ok,
226631,PACU Urine,9187-6,Urine output,,PACU Urine,9187-6,Urine output,0.92,ok,
226632,Cath Lab,,,"code-search proposed 9257-7 |Fluid output total Measured| at 0.85, which sums fluid output over every route. This item records one route, so mapping it there would make any total over Observation.code count the same volume twice.",Cath Lab,9257-7,Fluid output total Measured,0.85,total,
226633,Pre-Admission,,,"code-search proposed 9257-7 |Fluid output total Measured| at 0.85, which sums fluid output over every route. This item records one route, so mapping it there would make any total over Observation.code count the same volume twice.",Pre-Admission,9257-7,Fluid output total Measured,0.85,total,
226713,Incontinent/voids (estimate),,,"Not sent to code-search: MIMIC's d_items dictionary records no volume for this item (param_type is 'Text', not 'Numeric'), so no member of (http://loinc.org)(CLASS/""IO_OUT.*"",STATUS=ACTIVE,PROPERTY=LP6893-4) — every one of which is a volume — can be its target.",,,,,not-a-volume,
227487,GU Irrigant Type,,,"Not sent to code-search: MIMIC's d_items dictionary records no volume for this item (param_type is 'Text', not 'Numeric'), so no member of (http://loinc.org)(CLASS/""IO_OUT.*"",STATUS=ACTIVE,PROPERTY=LP6893-4) — every one of which is a volume — can be its target.",,,,,not-a-volume,
227488,GU Irrigant Volume In,,,"code-search returned no match for 'GU Irrigant Volume In' within (http://loinc.org)(CLASS/""IO_OUT.*"",STATUS=ACTIVE,PROPERTY=LP6893-4).",GU Irrigant Volume In,,,,no-match,
227489,GU Irrigant/Urine Volume Out,,,"code-search returned no match for 'GU Irrigant/Urine Volume Out' within (http://loinc.org)(CLASS/""IO_OUT.*"",STATUS=ACTIVE,PROPERTY=LP6893-4).",GU Irrigant/Urine Volume Out,,,,no-match,
227510,TF Residual,9149-6,Fluid output gastric tube,,TF Residual,9149-6,Fluid output gastric tube,0.85,ok,
227511,TF Residual Output,79561-7,Fluid output enteral tube [Volume] Measured,,TF Residual Output,79561-7,Fluid output enteral tube [Volume] Measured,0.95,ok,
227701,Drainage Bag,9161-1,Fluid output miscellaneous Measured,,Drainage Bag,9161-1,Fluid output miscellaneous Measured,0.85,ok,
228103,Stool containment device placed,,,"Not sent to code-search: MIMIC's d_items dictionary records no volume for this item (param_type is 'Date and time', not 'Numeric'), so no member of (http://loinc.org)(CLASS/""IO_OUT.*"",STATUS=ACTIVE,PROPERTY=LP6893-4) — every one of which is a volume — can be its target.",,,,,not-a-volume,
229413,Chest Tube #3,9129-8,Fluid output chest tube,,Chest Tube,9129-8,Fluid output chest tube,0.95,ok,
229414,Chest Tube #4,9129-8,Fluid output chest tube,,Chest Tube,9129-8,Fluid output chest tube,0.95,ok,
